GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
Cook County,5376741,5194675,5223719,1285493,1204516,1037641,971339,409962,217767,97001,36.6,2217734,1314232,1213706,372825,105222,5131695,4192372,2765106,2548996,214832,1427266,118014,2380835,1534352,199897,475363,135045,36178,79188220,347470,794734,590946,229920,3587029,477426,837569,675501,234559,811185,550789,418106,397266,318622,234678,289976,304422,62088,1963070,1116759,846311,225324,2188394,881012,114543,212985,234651,729244,5.1,200237,556374,783539,648244,1958,439488,693579,696344,270307,88676,275598,439735,248248,139011,237200,2169393,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,294370,211419,200690,197458,188031,2403553,Health Care,Professional,Retail Trade,Education,Accommodation and Food Service,325463,234325,229736,206750,205054,Cook County,DuPage County,Lake County,Will County,Kane County,1685990,193187,80831,64322,33217,Cook County,DuPage County,Will County,Lake County,Kane County,1685990,173543,107936,104924,64394,2216958,2004132,2278838,14123.23441,75280543994,58587488314,1.03E+11,46365266674,8434284409,417228142,5308869,0,1.59E+11,72,3.557605898,612992.2556,180985.6794,0.295249537,30674.09635,0.050039941,2482.54325,0.004049877,32479.66819,0.052985446,35382.88201,0.057721581,36258.87404,0.059150623,157150.9429,0.25636693,15375.51482,0.025082723,98588.43606,0.160831454,23613.61858,0.038521887,639844,587751,294423,441052,1183806,173456,779264,276733,7303,20543,248887,484947,54484,107946,322517,315419,104474,111039,99906,824218,554345,203818,66055,3801713,1094162,4895875,3173795,1722080,681519,3173795,1012655,207661,65636,46460,49189,25907,62012,208315,44245,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,,48,56,30,38,18,19
DuPage County,904161,916924,931743,238239,177021,183982,197772,79557,37630,17542,39.1,627050,132004,43312,108353,21024,918835,742562,513461,489858,23322,229101,30938,449683,369486,33257,34128,9348,3464,13295835,13939,104505,153942,69437,634898,46996,116273,115143,46924,186489,123073,38511,53987,51908,45972,68068,83377,88711,341823,250135,91688,17476,359299,214041,43129,3003,11112,87162,6.2,37522,207286,93895,20596,1977,43501,87390,119528,87719,21161,29381,96385,81542,39892,299000,444391,Health Care,Professional,Retail Trade,Manufacturing,Education,51549,45312,44154,42318,38610,587169,Health Care,Retail Trade,Professional,Manufacturing,Wholesale Trade,67087,60223,59282,56996,53548,DuPage County,Cook County,Kane County,Will County,Lake County,193406,173543,22124,19673,11106,DuPage County,Cook County,Will County,Kane County,Lake County,193406,193187,61195,45267,16957,509741,484910,559870,20877.91908,21377463351,17896712016,30406985824,6485948048,3018680494,44891580,2513430,0,39959019376,43,8.290084944,215303.8039,74340.23464,0.345280637,5236.49572,0.024321427,27.05720272,0.00012567,12971.73089,0.060248498,15774.33681,0.073265481,12030.19297,0.055875432,43132.80378,0.200334611,3734.352049,0.017344571,41832.1982,0.194293819,6224.401652,0.028909855,85317,111196,56254,89056,239066,20260,102757,24383,387,1098,22898,62747,5293,12255,45199,51401,14905,18019,18477,196680,129883,49995,16802,700141,176284,876425,639362,237063,79881,639362,92683,27667,11616,10173,5199,2734,19293,64842,2856,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,,58,68,37,46,21,23
Kane County,404119,515269,530839,153625,97896,110338,101962,40562,18715,7741,37,304340,168385,27979,21011,9124,525419,408624,281764,266113,15524,126860,14120,246076,207341,24987,6651,4042,3055,7105770,7813,47412,78044,44781,343510,54761,77366,71653,25881,72952,40897,23310,33060,30459,23738,33541,33942,76912,178050,130827,47223,8709,186759,130385,21019,7383,7020,19798,6.3,45074,73539,38992,29154,1981,14923,45839,65797,49735,10465,28479,62227,31293,8284,232000,227901,Manufacturing,Retail Trade,Health Care,Education,Administration,29343,24743,24393,19655,18250,193451,Manufacturing,Education,Health Care,Retail Trade,Administration,31203,21775,21091,19532,17110,Kane County,Cook County,DuPage County,Lake County,Will County,76689,64394,45267,8213,7446,Kane County,Cook County,DuPage County,McHenry County,Kendall County,76689,33217,22124,12431,9573,164339,155665,178561,22218.92568,7472301950,5977282979,10928420301,1911805529,1187442210,24143942,275130307,0,14326942289,n/a,9.288488261,335401.3489,60707.44518,0.180999407,1304.871072,0.003890477,77.30605855,0.000230488,6524.313543,0.019452258,9522.885898,0.028392509,9880.196386,0.029457831,33868.95619,0.100980382,167974.076,0.500815147,33187.60567,0.098948933,12353.69294,0.036832568,37993,54661,29075,56321,131854,15930,46196,15379,340,1073,13966,38505,4611,8274,25620,30300,9363,11139,9798,90693,59136,24799,6758,402710,93509,496219,340579,155640,62458,340579,128156,4088,881,4085,1528,524,4554,10605,1219,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,,56,66,33,41,23,25
Kendall County,54544,114736,124626,39533,22897,30345,19949,7620,3041,1241,34.9,87623,22616,8184,4132,2071,124276,92166,67387,64083,3271,24779,2986,60001,52780,4486,1744,422,569,0,794,8407,20289,10917,78134,6147,18279,18431,7624,17321,10332,2899,5946,6677,7027,10151,7707,91764,40407,33555,6852,1276,41683,31890,5757,395,713,2879,6.9,22023,13379,4149,2132,2001,2173,6779,15897,13849,2985,5466,21337,6067,644,224200,61940,Retail Trade,Health Care,Manufacturing,Education,Professional,7468,7152,6360,6168,4577,25302,Retail Trade,Education,Manufacturing,Accommodation and Food Service,Transportation,4612,3877,2944,2402,2193,Cook County,DuPage County,Kane County,Kendall County,Will County,15178,14874,9573,7733,6845,Kendall County,Kane County,Will County,Cook County,DuPage County,7733,3466,3246,2426,2168,n/a,n/a,n/a,26136.67077,1674897725,1265868914,2696710643,302746711,84550213,5459158,137785123,0,3227251848,n/a,8.218343141,206339.8926,20251.08299,0.098144294,185.5804255,0.000899392,30.98496305,0.000150165,1656.7641,0.008029296,1717.238572,0.008322378,2270.39419,0.011003176,10213.67644,0.049499282,157425.0816,0.762940601,6980.946433,0.033832267,5608.142902,0.02717915,6829,12444,6895,14239,31947,3513,8460,1936,3,56,1877,6734,784,1607,4343,6633,1792,1805,3036,24815,14269,8263,2283,104187,11558,115745,94830,20915,6492,94830,14512,801,1001,535,497,252,614,2131,572,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,,59,70,36,44,24,26
Lake County,644356,703462,703619,196113,128368,139265,146804,55222,25780,12067,38.2,437597,150590,46334,52499,16599,685542,551056,381084,350731,20615,169972,23221,331548,272667,29088,15948,10542,3303,10082335,12203,66576,109122,56771,457008,43138,96532,83142,28409,120072,85715,31245,39460,37750,29869,43197,63151,86244,244672,179473,65199,18688,263360,177736,26951,6794,8064,39349,6.3,45176,131246,64456,22482,1981,24386,60238,90548,69688,18500,40606,62754,39166,34072,259900,302491,Manufacturing,Retail Trade,Health Care,Education,Professional,39747,33159,31808,26926,25986,304401,Manufacturing,Retail Trade,Health Care,Education,Administration,50745,36339,29212,28159,22845,Lake County,Cook County,DuPage County,McHenry County,Kane County,143152,104924,16957,7675,4276,Lake County,Cook County,McHenry County,DuPage County,Kane County,143152,80831,20189,11106,8213,271033,257955,292282,22231.10444,12856675218,10008730391,21325634097,4026016892,1040911135,35973403,153897431,0,26582432958,55,9.014034913,301189.1488,98707.41074,0.327725654,3364.982289,0.011172322,146.3487519,0.000485903,12151.29227,0.040344389,11662.376,0.038721103,7926.644696,0.02631783,49366.67259,0.16390588,42416.23888,0.14082924,56368.88822,0.187154446,19078.29436,0.063343233,54334,78303,41521,70514,179569,19656,65103,20098,677,1434,17987,46747,4841,9881,32025,37352,10978,13225,13149,135606,88327,33910,13369,531916,130458,662374,474081,188293,66976,474081,113230,19393,7835,6487,1129,5136,9555,22601,2927,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,,61,73,39,48,23,24
McHenry County,260077,308760,307789,82270,52425,63297,68351,25771,10858,4817,40.2,250987,39326,4160,8300,5016,306079,243163,171051,163471,7565,72112,10327,150032,132102,10729,4269,1599,1333,5034070,4073,26205,51131,30403,206909,14873,54107,48913,19302,46461,23253,11828,18097,19452,17112,23648,21675,84803,111812,88631,23181,6320,118132,91230,11427,2476,2834,9238,6.6,27755,58336,21835,10206,1987,6623,25461,46532,32777,6739,19329,47957,17953,3142,219600,149370,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19395,16737,15347,14351,11032,88301,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,13935,11522,10204,9825,6865,McHenry County,Cook County,Lake County,Kane County,DuPage County,47801,43499,20189,12431,10963,McHenry County,Cook County,Lake County,Kane County,DuPage County,47801,8137,7675,6873,2165,76159,74895,80319,23592.52336,4321193978,3418045199,6849879171,921680955,315508041,16943846,282896182,11197674,8398105869,n/a,11.22566383,391047.6548,68159.66166,0.174300142,583.4331079,0.001491974,100.1377877,0.000256076,4784.913693,0.01223614,5003.63445,0.01279546,8788.441824,0.022474094,28118.75384,0.071906208,220299.8373,0.563358032,37565.6473,0.096064116,17643.19388,0.045117759,22710,38574,19459,31069,83541,8030,28271,7513,180,408,6925,21113,2438,4520,14155,19353,5579,6736,7038,62075,40501,16804,4770,261370,29460,290830,249043,41787,14784,249043,26061,5781,481,1186,386,536,1739,5164,453,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,,58,69,34,43,24,26
Will County,502266,677560,688697,195837,124861,149106,135243,51064,23314,9272,37.6,442248,117522,75872,36393,16662,679440,533442,367773,348560,18946,165669,15297,327092,287287,20663,12986,2934,3222,10847755,8334,57012,100238,62264,448262,40752,119769,98161,37351,97646,54583,25816,37648,39146,31996,47952,45290,83504,227848,184653,43195,14720,242568,180744,29340,5004,5372,18682,6.5,70973,111510,42186,17899,1991,13586,47971,98019,69154,13838,40181,91180,41531,11252,224800,318313,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,39898,35370,30149,29879,23287,242069,Education,Retail Trade,Health Care,Manufacturing,Wholesale Trade,34179,28564,24173,24091,22208,Cook County,Will County,DuPage County,Kane County,Lake County,107936,102038,61195,9443,5486,Will County,Cook County,DuPage County,Kane County,Kendall County,102038,64322,19673,7446,6845,120130,155494,208362,24987.97214,10445219534,8613760646,15493996625,2207437453,3097209954,76140545,294625586,2650,21169412813,20,8.856270009,543442.1679,85192.69634,0.156764972,1204.310207,0.002216078,109.7971297,0.00020204,10018.97225,0.018436133,13344.78709,0.024556039,19823.65602,0.03647795,66699.56946,0.122735359,255697.9452,0.470515467,63630.85273,0.117088545,27719.58144,0.051007417,47203,69338,38519,72788,171789,18338,56059,16503,303,972,15228,43886,5831,9417,28638,38724,12163,13101,13460,124695,80011,34130,10554,564570,82998,647568,517638,129930,48798,517638,79552,9759,2916,5166,3907,1320,6869,17692,2749,388523,43768,51980,11021,6974,,,,,,,,,,,,,,,,,,,57,68,34,43,23,25
Region,8146264,8431386,8511032,2191110,1807984,1713974,1641420,669758,337105,149681,37.20736425,4367579,1944675,1419547,603513,175718,8371286,6763385,4547626,4231812,304075,2215759,214903,3945267,2856015,323107,551089,163932,51124,125553985,394626,1104851,1103712,504493,5755750,684093,1319895,1110944,400050,1352126,888642,551715,585464,504014,390392,516533,559564,70443.88307,3107682,1984033,1123649,292513,3400195,1707038,252166,238040,269766,906352,6.008205486,448760,1151670,1049052,750713,1967.503538,544680,967257,1132665,593229,162364,439040,821575,465800,236297,241402.5842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358360,3133051,3598232,17165.48025,1.33E+11,1.06E+11,1.91E+11,1152156928,62220902262,17178586456,620780616,11200324,2.73E+11,,5.647924469,2605716.273,588344.2109,0.225789821,42553.76917,0.01633093,2974.175144,0.001141404,80587.65495,0.030927256,92408.14084,0.035463623,96978.40012,0.037217559,388551.3752,0.149114997,862923.0458,0.33116539,338154.5746,0.129774135,112240.9258,0.043074884,894230,952267,486146,775039,2021572,259183,1086110,362545,9193,25584,327768,704679,78282,153900,472497,499182,159254,175064,164864,1458782,966472,371719,120591,6366607,1618429,7985036,5489328,2495708,960908,5489328,1466849,275150,90366,74092,61835,36409,104636,331350,55021,4687259,1409202,1537534,375993,136276,,,,,,,,,,,,,,,,,,,,,,,,
