MUNI,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,POP_25OV,HS,BACH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,HA_AFT2000,HA_90_70,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK,COMM_OTHER,WORK_FRM_HM,OWN_OCC_HU,RNT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,AVG_HH_SIZE,WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,2010_POP,2000_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,HC_PCT,TR_PCT,HCTR_PCT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,WATER,WATERperc,VACANT,VACperc,PRIV_EMP,EMP_CHANGE,PCT_CHANGE,PJOBS_HH,RET_SALES,RETSALES_PC,TOT_EAV,RES_EAV,FARM_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,MIN_EAV,WALKSCORE,PR_CNTY,CNTY_TOT_POP,CNTY_TOT_HH,CNTY_AVG_HH_SIZE,CNTY_2010_POP,CNTY_2000_POP,CNTY_POP_CHANGE,CNTY_MED_AGE,CNTY_WHITE,CNTY_HISP,CNTY_BLACK,CNTY_ASIAN,CNTY_OTHER,CNTY_UND19,CNTY_A20_34,CNTY_A35_49,CNTY_A50_64,CNTY_A65_79,CNTY_OV80,CNTY_INC_LT_25K,CNTY_INC_25_50K,CNTY_INC_50_75K,CNTY_INC_75_100K,CNTY_INC_100_150K,CNTY_INC_GT_150,CNTY_MEDINC,CNTY_POP_25OV,CNTY_HS,CNTY_BACH,CNTY_HU_TOT,CNTY_OWN_OCC_HU,CNTY_RNT_OCC_HU,CNTY_VAC_HU,CNTY_HU_SNG_DET,CNTY_HU_SNG_ATT,CNTY_HU_2UN,CNTY_HU_3_4UN,CNTY_HU_GT_5UN,CNTY_BR_0_1,CNTY_BR_2,CNTY_BR_3,CNTY_BR_4,CNTY_BR_5,CNTY_MED_ROOMS,CNTY_HV_LT_150K,CNTY_HV_150_300K,CNTY_HV_300_500K,CNTY_HV_GT_500K,CNTY_MED_HV,CNTY_HA_AFT2000,CNTY_HA_90_70,CNTY_HA_40_70,CNTY_HA_BEF1940,CNTY_MED_HA,CNTY_POP_16OV,CNTY_IN_LBFRC,CNTY_EMP,CNTY_UNEMP,CNTY_NOT_IN_LBFRC,CNTY_PRIV_EMP,CNTY_EMP_CHANGE,CNTY_PCT_CHANGE,CNTY_PJOBS_HH,CNTY_TOT_COMM,CNTY_DROVE_AL,CNTY_CARPOOL,CNTY_TRANSIT,CNTY_WALK,CNTY_COMM_OTHER,CNTY_WORK_FRM_HM,CNTY_AVG_VMT,CNTY_HC_PCT,CNTY_TR_PCT,CNTY_HCTR_PCT,CNTY_RET_SALES,CNTY_RETSALES_PC,CNTY_PARK_ACC,POP_HH,CNTY_POP_HH
Dolton,1859,1915,1860,1246,790,413,53161,14645,13016,3093,18036,12392,9879,2513,5644,9269,7604,58,158,601,848,5.8,3862,1950,135,25,129200,139,2775,5821,534,1964,308,2134,5435,1064,328,9395,6815,1148,1288,70,74,171,5972,2111,1186,23230,8083,2.842508969,1242,498,21152,54,284,6760,4985,4524,4673,1631,657,34.6,23153,25614,-2461,8424,Health Care,Retail Trade,Education,Transportation,Administration,1804,952,798,638,636,3384,Health Care,Manufacturing,Retail Trade,Education,Accommodation and Food Service,645,639,547,291,288,Chicago,South Holland,Dolton,Harvey,Calumet,3173,237,226,176,126,Chicago,Dolton,Calumet,South Holland,Lansing,648,226,174,89,86,"21,095",24.65526584,23.1460901,47.80135593,12.89985762,3000.285864,1598.93331,53.29269885,69.1115202,2.303497844,168.0659769,5.601665458,38.86958066,1.29552924,183.0795156,6.102069066,193.686406,6.455598391,346.1517437,11.53729209,0,0,109.4298797,3.64731511,95.55166903,3.184752166,197.4062623,6.579581787,"3,163",-173,-5.2,0.39,"$105,871,278 ","$4,551 ","$240,532,796 ","$173,110,347 ",$0 ,"$30,028,033 ","$34,316,202 ","$3,078,214 ",$0 ,48,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,22976,5114489
Downers Grove,2547,2922,2938,2459,3730,4125,82181,33626,32310,17572,38763,26939,25032,1907,11824,19959,13356,1580,64,216,4731,6.5,1753,4150,6174,3021,340700,1772,9137,7007,2043,1972,2315,4303,6990,5295,1056,23046,18124,1346,2764,705,107,1405,15098,3623,1238,48621,18721,2.559532076,42086,2236,1332,2632,335,12563,7609,10556,10494,5145,2254,41.8,47833,48724,-891,22896,Health Care,Education,Retail Trade,Professional,Manufacturing,2846,2540,2408,2289,1725,42992,Administration,Health Care,Retail Trade,Manufacturing,Education,5601,4763,4666,3868,3209,Chicago,Downers Grove,Naperville,Oak Brook,Westmont,4293,2772,892,743,559,Chicago,Downers Grove,Naperville,Bolingbrook,Aurora,4558,2772,2089,1332,1318,"19,014",29.46423136,23.57219389,53.03642525,25.71612119,9366.061184,5363.045185,57.26041161,262.7964637,2.805837572,535.816155,5.720826978,580.3617027,6.196432965,545.9828769,5.82937551,322.4524148,3.44277502,374.0305823,3.993467211,52.85860062,0.564363179,991.6050247,10.58721489,51.41884017,0.548991077,285.6933376,3.050303985,"42,469","4,386",11.5,2.27,"$999,525,489 ","$20,867 ","$2,269,604,274 ","$1,702,772,320 ","$11,269 ","$498,605,787 ","$67,455,240 ","$759,658 ",$0 ,53,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,47917,905754
East Dundee,209,234,278,164,282,92,68576,2292,2190,698,2425,1617,1530,87,808,1358,915,213,22,62,146,6.1,181,700,156,0,191900,163,445,395,355,1967,78,434,552,259,35,1462,1271,100,16,45,30,47,1037,222,99,2886,1259,2.292295473,2463,322,29,47,25,530,500,741,569,292,254,43.8,2860,2955,-95,1710,Retail Trade,Manufacturing,Health Care,Wholesale Trade,Education,197,176,164,146,142,2500,Retail Trade,Professional,Administration,Manufacturing,Information,456,289,268,257,165,Elgin,Chicago,Schaumburg,Carpentersville,East Dundee,196,166,87,68,59,Elgin,Carpentersville,Chicago,Algonquin,West Dundee,305,167,106,101,68,"21,815",28.59564295,24.57404648,53.16968943,430.1871338,1966.146538,507.7727787,25.82578505,4.63082981,0.235528213,103.6273208,5.270579724,65.70204723,3.34166584,60.76995662,3.090815229,643.5664923,32.73237675,27.40124477,1.393652215,109.645928,5.576691557,144.2120095,7.334753879,143.7079494,7.309116926,155.109981,7.889034614,N/A,N/A,N/A,N/A,"$135,211,039 ","$46,480 ","$106,396,277 ","$69,137,073 ","$8,967 ","$28,256,529 ","$8,993,708 ",$0 ,$0 ,N/A,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,2886,508413
East Hazel Crest,173,230,134,43,94,14,44655,1235,1087,169,1490,1022,833,189,468,752,511,11,47,62,121,5.4,235,161,3,0,133600,67,300,327,58,1969,77,276,295,81,23,800,594,64,89,48,5,3,399,289,64,1853,688,2.639534884,494,266,940,80,73,488,444,374,351,155,41,34.9,1543,1607,-64,297,Education,Health Care,Manufacturing,Public Administration,Retail Trade,62,58,23,21,18,1377,Construction,Administration,Health Care,Manufacturing,Retail Trade,690,281,113,83,59,Homewood,Chicago Heights,Chicago,Tinley Park,Harvey,41,23,19,18,17,Chicago,Homewood,Tinley Park,Mokena,Chicago Heights,111,55,36,28,24,"21,561",21.56615635,24.28302496,45.8491813,N/A,506.6689816,208.863189,41.22280948,11.92352194,2.353315947,17.02416153,3.360016529,9.8702573,1.948068198,12.11252975,2.390619949,43.54947126,8.59525111,191.7811047,37.85136089,0,0,0,0,0,0,11.54474607,2.278557893,N/A,N/A,N/A,N/A,"$4,109,773 ","$2,114 ","$28,408,185 ","$13,514,685 ",$0 ,"$3,531,615 ","$9,212,248 ","$2,149,637 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,1816,5114489
Elburn,305,190,252,264,500,250,81758,3284,3165,1069,3954,3055,2579,458,899,1933,1426,341,49,8,109,6.9,158,946,390,14,243200,787,750,163,233,1997,101,246,774,602,210,2508,2176,197,79,45,11,75,1508,253,172,5595,1761,3.177172061,4949,445,0,154,47,1999,934,1628,643,312,79,34.1,5602,2756,2846,2331,Retail Trade,Manufacturing,Professional,Health Care,Education,266,233,232,231,227,1043,Manufacturing,Construction,Retail Trade,Public Administration,Accommodation and Food Service,178,172,137,91,89,Chicago,St. Charles,Geneva,Aurora,Naperville,247,182,174,149,96,Aurora,Campton Hills,Elburn,North Aurora,Batavia,78,62,54,44,32,"22,869",41.95236664,27.2609002,69.21326685,39.11841663,2009.220212,538.1736373,26.78519925,0,0,69.1391592,3.44109415,3.81270003,0.189760187,73.09977472,3.638216173,105.3917322,5.245404738,6.43221998,0.320135142,517.2283745,25.74274195,213.6256652,10.63226738,26.37315989,1.312606738,455.9437895,22.69257429,"1,603",-229,-12.5,0.91,"$44,505,942 ","$8,150 ","$169,464,801 ","$139,695,490 ","$187,565 ","$16,982,098 ","$12,287,404 ","$312,244 ",$0 ,N/A,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,5595,508413
Elgin,5870,8909,7143,5512,5374,2493,58487,67083,51801,15814,80821,57920,52257,5663,22901,37701,21773,4761,2473,2052,5744,5.8,6577,14757,3314,333,190700,5800,15129,8842,7930,1974,3507,12170,14417,6386,1221,49762,40852,5918,1343,1202,447,1270,24981,10320,2400,109513,35301,3.05172658,45322,49308,7180,5744,1959,34964,24624,22472,17882,6812,2759,32.5,108188,94487,13701,42149,Manufacturing,Health Care,Retail Trade,Education,Administration,6606,4682,4126,3969,3732,53172,Health Care,Education,Manufacturing,Administration,Finance,8325,7310,7176,5328,4871,Elgin,Chicago,Schaumburg,St. Charles,Hoffman Estates,10761,3656,2000,1145,1142,Elgin,Chicago,South Elgin,Carpentersville,Bartlett,10761,2558,1745,1490,1364,"20,591",28.88347489,23.53223602,52.41571091,13.46719906,24121.29243,6923.642968,28.7034494,351.9659116,1.459150303,899.6132545,3.72954002,468.0797694,1.940525247,1430.476007,5.930345609,1799.249843,7.459176778,651.5070476,2.700962436,5340.044965,22.13830366,1230.562948,5.101563078,509.4295779,2.111949761,4516.720138,18.72503371,"41,022","1,834",4.7,1.16,"$993,359,318 ","$9,140 ","$2,300,216,066 ","$1,589,025,998 ","$2,228,265 ","$381,748,482 ","$326,710,249 ","$503,072 ",$0 ,44,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,107729,508413
Elk Grove Village,1788,2956,2474,1983,2473,1491,67983,23527,22003,8342,27400,19328,18255,1073,8072,13597,8210,1334,6,621,3401,5.8,1071,5009,3540,381,274800,593,7760,5042,202,1974,2026,3042,4938,3156,435,17296,15020,1308,587,231,150,637,10001,3164,432,33166,13165,2.506342575,25749,3458,415,2946,598,7516,6001,7105,7624,3468,1452,42.9,33127,34727,-1600,15968,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Education,1951,1644,1523,1370,1326,52943,Manufacturing,Administration,Wholesale Trade,Transportation,Health Care,13523,7878,7492,4529,4460,Chicago,Elk Grove,Schaumburg,Arlington Heights,Des Plaines,2406,2140,1177,895,517,Chicago,Elk Grove,Schaumburg,Arlington Heights,Hoffman Estates,8247,2140,1853,1089,1087,"19,417",27.62834131,23.21127137,50.83961268,25.83825392,7327.336996,2544.345045,34.72400747,211.7601986,2.890002176,185.8009475,2.5357227,223.160192,3.045583847,292.2525897,3.988523933,2813.717051,38.4002681,188.0529738,2.566457281,4.57945013,0.062498151,646.2318316,8.819463769,56.38390899,0.769500693,161.0528072,2.197971886,"48,794","-11,305",-18.8,3.71,"$663,053,573 ","$20,044 ","$2,113,893,660 ","$771,936,926 ",$0 ,"$246,244,078 ","$1,094,378,050 ","$1,334,606 ",$0 ,49,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,32996,5114489
Elmhurst,1699,2378,2206,1690,3342,3992,94424,28079,26634,15757,33653,22306,20721,1585,11347,16292,12317,719,210,160,2886,6.6,591,2971,5004,3898,377200,1962,3728,7672,2930,1959,1772,2920,6542,3632,1426,19243,15396,1262,1955,471,159,1168,12464,2843,985,44385,15307,2.816946495,37722,2718,767,2524,654,13558,6110,10325,8360,3780,2252,39.5,44121,42762,1359,20132,Health Care,Education,Retail Trade,Professional,Manufacturing,2441,2186,1956,1720,1681,29454,Health Care,Wholesale Trade,Education,Manufacturing,Retail Trade,5624,3675,2366,2277,2201,Chicago,Elmhurst,Oak Brook,Schaumburg,Downers Grove,3906,2844,742,419,392,Chicago,Elmhurst,Lombard,Naperville,Villa Park,4298,2844,799,669,538,"19,199",33.04103345,23.30449045,56.3455239,14.46385269,6583.513083,3706.287921,56.29650727,152.9144036,2.322687016,419.5362822,6.372529026,158.2672391,2.40399369,620.9727306,9.432239639,538.6637316,8.182010498,415.9652318,6.318286705,0,0,434.7575423,6.603731729,26.75141025,0.406339441,109.3965903,1.661674989,"27,930",-572,-2,1.82,"$862,515,640 ","$19,632 ","$2,153,797,013 ","$1,785,510,536 ",$0 ,"$230,401,863 ","$136,695,852 ","$1,188,762 ",$0 ,55,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,43119,905754
Elmwood Park,1742,2545,1453,1272,1453,662,56396,17685,15365,4478,20645,14438,12858,1561,6207,9949,5118,71,738,1299,2712,5.2,1245,3033,1830,322,241900,332,1443,5564,2610,1952,1733,3375,3158,1245,438,12221,9509,1197,1078,357,80,326,6430,2697,822,24876,9127,2.703845732,17939,5556,222,780,379,5251,5633,5234,5068,2249,1441,39.8,24883,25405,-522,10486,Health Care,Manufacturing,Retail Trade,Accommodation and Food Service,Education,1385,1194,1177,788,782,2906,Health Care,Retail Trade,Professional,Accommodation and Food Service,Manufacturing,627,582,410,287,162,Chicago,Elmwood Park,Oak Park,Melrose Park,Elk Grove,3805,458,273,265,246,Chicago,Elmwood Park,River Grove,Oak Park,Melrose Park,945,458,50,44,43,"15,772",24.9032618,20.1309581,45.0342199,19.88875129,1220.829895,850.6732333,69.67991501,145.9092176,11.95164192,83.29563885,6.822870179,4.60759405,0.37741491,24.17166135,1.979936881,7.40796753,0.606797684,3.50926995,0.287449543,0,0,92.79142156,7.600683923,3.56893101,0.292336469,4.89495993,0.400953478,"2,642",-17,-0.6,0.29,"$99,140,719 ","$4,000 ","$526,897,754 ","$449,714,879 ",$0 ,"$62,602,563 ","$14,580,312 ",$0 ,$0 ,70,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,24678,5114489
Elwood,146,158,162,161,155,65,68942,1555,1468,252,1699,1173,1010,163,526,878,603,185,26,29,0,5.6,170,509,52,0,186300,296,336,178,68,1994,59,248,421,126,24,960,925,20,15,0,0,23,731,116,31,2216,847,2.616292798,2126,53,37,0,0,589,410,496,383,244,94,38.7,2279,1620,659,1211,Manufacturing,Retail Trade,Health Care,Education,Construction,150,134,131,123,88,1000,Manufacturing,Transportation,Education,Retail Trade,Public Administration,481,314,60,44,33,Joliet,Chicago,Elwood,Manhattan,Channahon,239,126,33,31,28,Joliet,Braidwood,Elwood,Chicago,Wilmington,134,36,33,29,23,N/A,25.17812536,27.00054736,52.17867273,627.2211767,3894.985922,345.2374165,8.86363708,0,0,14.82269979,0.380558495,0,0,297.5229265,7.638613655,253.2038363,6.500763838,968.7127621,24.87076414,763.3459012,19.59816842,202.2594473,5.192815876,12.62689972,0.324183449,1037.254033,26.63049504,N/A,N/A,N/A,N/A,"$14,622,073 ","$6,419 ","$56,479,184 ","$44,751,700 ","$2,525,300 ","$2,642,962 ","$6,477,723 ","$81,499 ",$0 ,N/A,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,2216,670303
Evanston,5640,5477,4342,2967,4411,5824,68051,47508,44607,31067,61105,39624,36538,3069,21481,31655,10146,1789,2288,2250,15059,5.1,1058,5138,4784,5230,367800,2499,3841,9950,15365,1942,8537,10000,7844,3574,1700,32748,17471,2437,7224,5220,396,2870,16210,12451,2994,74619,28661,2.359826943,45126,7436,13340,6405,2312,19796,18041,14913,13400,5500,2969,34.4,74486,74239,247,31252,Education,Health Care,Professional,Retail Trade,Accommodation and Food Service,5198,4585,3088,2638,2156,41748,Education,Health Care,Accommodation and Food Service,Retail Trade,Professional,12188,10576,3178,3123,2612,Chicago,Evanston,Skokie,Glenview,Northbrook,10979,6326,894,632,578,Chicago,Evanston,Skokie,Wilmette,Glenview,15675,6326,2183,1016,851,"12,120",33.40063321,19.71918653,53.11981975,9.29691458,5018.016484,2516.0721,50.14076992,726.5293895,14.47841775,443.97751,8.84766942,82.97865701,1.653614676,643.268015,12.81916903,69.90244174,1.393029337,61.70341267,1.229637505,6.90340006,0.137572287,417.7613779,8.325229286,41.09728764,0.818994672,7.82289257,0.155896111,"40,659","1,351",3.4,1.42,"$633,868,225 ","$8,549 ","$2,727,367,573 ","$2,100,690,657 ","$15,956 ","$513,880,731 ","$111,899,205 ","$881,024 ",$0 ,75,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,67635,5114489
Evergreen Park,1174,1409,1374,942,1286,770,65980,12973,11721,4011,15498,10377,9060,1261,5121,7498,6148,139,121,164,926,5.9,805,4034,767,83,214500,224,584,5964,726,1955,520,1664,3721,1214,379,8633,6895,404,997,268,69,330,5689,1266,543,19852,6955,2.815672178,12973,2323,4151,258,147,5493,3913,3398,4387,1351,1310,37.5,19852,20821,-969,8754,Health Care,Education,Retail Trade,Manufacturing,Accommodation and Food Service,1400,1279,843,606,568,7051,Health Care,Retail Trade,Accommodation and Food Service,Education,Finance,2637,1727,637,503,304,Chicago,Evergreen Park,Oak Lawn,Alsip,Palos Heights,3725,820,408,156,119,Chicago,Evergreen Park,Oak Lawn,Orland Park,Tinley Park,2075,820,408,253,163,"17,761",25.41346127,21.86917097,47.28263224,11.51907512,2034.009472,1361.574638,66.94042758,38.1221703,1.874237599,163.8617091,8.056093708,61.11901212,3.004853859,256.8160046,12.62609678,3.05945194,0.150414832,2.08328009,0.10242234,0,0,143.1961664,7.040093389,2.60617995,0.128130178,1.57086003,0.07722973,"15,455","6,965",82,2.22,"$229,395,286 ","$11,567 ","$418,329,782 ","$301,077,208 ",$0 ,"$98,925,362 ","$17,269,436 ","$1,057,776 ",$0 ,66,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,19583,5114489
Flossmoor,221,312,605,504,881,937,106250,6427,6348,4151,7487,4666,4315,351,2821,3712,3121,350,0,0,241,7.8,269,1633,971,462,270800,336,1430,1557,389,1968,154,401,1147,1343,667,3988,3173,216,490,43,66,260,3335,125,252,9387,3460,2.697398844,3957,136,4539,183,572,2531,993,1845,2308,1298,412,45.7,9464,9301,163,4409,Health Care,Education,Retail Trade,Accommodation and Food Service,Manufacturing,735,681,475,289,275,3530,Health Care,Education,Accommodation and Food Service,Finance,Professional,1586,1014,191,164,144,Chicago,Chicago Heights,Homewood,Flossmoor,Harvey,1507,198,175,166,97,Chicago,Homewood,Chicago Heights,Flossmoor,Park Forest,320,268,198,166,123,"24,653",35.70342556,24.67696637,60.38039193,37.70143745,2337.045071,1693.170476,72.44920081,15.53935969,0.664914848,39.97580231,1.710527658,26.61841035,1.138977193,179.8727274,7.696587869,0,0,10.39397001,0.444748377,0,0,241.7332907,10.34354424,0,0,129.741034,5.551499013,N/A,N/A,N/A,N/A,"$16,194,265 ","$1,720 ","$242,666,993 ","$218,540,063 ",$0 ,"$15,075,283 ","$8,648,077 ","$403,570 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,9333,5114489
