GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV
Cook County,5376741,5194675,5227575.0,1316810.0,1214796.0,1046126.0,972184.0,377451.0,205204.0,95004.0,36.1,2241001.0,1300843.0,1232816.0,355071.0,97844.0,5137167.0,4173072.0,2759566.0,2492088.0,266397.0,1413506.0,107374,2334882.0,1513861.0,203847.0,453217.0,133146.0,30811.0,76092250.0,348198.0,793776.0,587226.0,222406.0,3546688.0,503252.0,839916.0,679437.0,230565.0,775888.0,517630.0,456075.0,414969.0,325112.0,233500.0,269196.0,252754.0,56902.0,1951606.0,1105168.0,846438.0,225736.0,2177342.0,874907.0,114564.0,211843.0,241638.0,718925.0,5.1,186929.0,549047.0,780125.0,661241.0,1958.0,439547.0,694276.0,693551.0,264646.0,85322.0,313699.0,438755.0,221456.0,119124.0,219800.0,2148319.0,Health Care,Retail Trade,Education,Professional,Manufacturing,289475.0,211597.0,205319.0,190793.0,176791.0,2370505.0,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,315907.0,232765.0,227460.0,207988.0,191309.0,Cook County,DuPage County,Lake County,Will County,Kane County,1684039.0,187876.0,81894.0,57291.0,33919.0,Cook County,DuPage County,Will County,Lake County,Kane County,1684039.0,173312.0,106213.0,103704.0,60155.0,29.95518,18.27696,48.23213,38.09548,9.219,47.31448,51.08278,24.70505,75.78783,36.59955,16.80863,53.40819,2322816,2037597,2246987,15073,71329621416,94238539928,40840105401,8029945564,369620127,5044999,0,143483256019,72,3.535312998253277,612992.2555984589,180985.67936767015,0.29524953653937347,30674.09634929601,0.050039941074539615,2482.5432498810237,0.004049877020807283,32479.66819198315,0.052985446219501645,35382.8820124159,0.05772158080181928,36258.87403753774,0.05915062336658482,157150.9429348794,0.25636693041326325,15375.514815761157,0.025082722783749,98588.4360636302,0.16083145449754366,23613.61857540411,0.038521887282817864,631626.0,573259.0,295187.0,451534.0,1185605.0,181348.0,766001.0,307649.0,8558.0,22982.0,276109.0,506071.0,60485.0,121159.0,324427.0,322097.0,113005.0,109263.0,99829.0,751180.0,495879.0,188516.0,66785.0,3797090.0,1095636.0,4892726.0,3183874.0,1708852.0,704337.0,3183874.0,1007534.0,209746.0,62699.0,47227.0,44364.0,27129.0,61230.0,202944.0,45979.0,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,
DuPage County,904161,916924,930514.0,242958.0,176737.0,187904.0,198053.0,72343.0,35204.0,17315.0,38.9,635648.0,129964.0,42320.0,102474.0,20108.0,918050.0,738676.0,514364.0,482850.0,31180.0,224312.0,27079,447048.0,367244.0,35649.0,30972.0,9405.0,3778.0,13017535.0,14084.0,104981.0,152403.0,67519.0,629381.0,47598.0,117893.0,120900.0,45217.0,180458.0,117315.0,41839.0,59092.0,55454.0,46329.0,64529.0,71744.0,81521.0,338987.0,247155.0,91832.0,18562.0,357549.0,213411.0,43425.0,2611.0,11493.0,85845.0,6.2,34749.0,207045.0,95520.0,20235.0,1977.0,43359.0,88192.0,119431.0,86055.0,20512.0,34214.0,100471.0,73679.0,35879.0,283500.0,443177.0,Health Care,Professional,Retail Trade,Manufacturing,Education,49198.0,44857.0,44826.0,42169.0,38767.0,577817.0,Retail Trade,Health Care,Professional,Manufacturing,Wholesale Trade,60343.0,59483.0,58848.0,55960.0,54513.0,DuPage County,Cook County,Kane County,Will County,Lake County,195579.0,173312.0,22454.0,18376.0,10667.0,DuPage County,Cook County,Will County,Kane County,Lake County,195579.0,187876.0,59945.0,44410.0,16072.0,32.22849,20.84434,53.07283,41.40158,11.63052,53.0321,55.21277,29.23816,84.45094,39.44489,19.78022,59.22511,532523,500128,565134,21800,20594427668,27412791883,6018321080,2703608086,42278395,2310379,0,36179309823,43,8.290084943672559,215303.80391683264,74340.23463562471,0.3452806373283623,5236.495719772616,0.024321426860601892,27.057202716446128,0.00012566987774585608,12971.73089283615,0.06024849843269309,15774.336812717587,0.07326548126762723,12030.192968792295,0.05587543159915236,43132.80377901977,0.20033461088165944,3734.352048861759,0.017344570699290855,41832.198204694745,0.1942938185191268,6224.401651796542,0.02890985453374014,85089.0,107614.0,56032.0,90252.0,238201.0,20615.0,100786.0,26644.0,411.0,1385.0,24848.0,68745.0,5851.0,14746.0,48148.0,54955.0,16225.0,19654.0,19076.0,181928.0,116528.0,47786.0,17614.0,700974.0,174227.0,875201.0,645145.0,230056.0,82734.0,645145.0,92004.0,27533.0,11911.0,10292.0,3894.0,3149.0,18067.0,60474.0,2732.0,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,
Kane County,404119,515269,526615.0,156687.0,97639.0,111426.0,99048.0,36906.0,17439.0,7470.0,36.2,305349.0,165114.0,28207.0,19559.0,8386.0,520985.0,400949.0,277674.0,258412.0,19128.0,123275.0,11994,241076.0,203542.0,24717.0,6418.0,4328.0,2071.0,7020850.0,8259.0,46770.0,76626.0,42063.0,336969.0,56865.0,78152.0,68939.0,24832.0,69910.0,38271.0,25870.0,34013.0,30412.0,23798.0,32271.0,27354.0,71602.0,173718.0,127075.0,46643.0,10357.0,184075.0,127621.0,20356.0,7364.0,7212.0,20311.0,6.2,42487.0,72119.0,40199.0,29270.0,1980.0,15839.0,46071.0,63653.0,48671.0,9841.0,33318.0,59364.0,26549.0,7429.0,215800.0,219829.0,Manufacturing,Retail Trade,Health Care,Education,Administration,29097.0,24495.0,21627.0,19249.0,17947.0,195764.0,Manufacturing,Education,Health Care,Retail Trade,Administration,32569.0,21566.0,20534.0,20048.0,17935.0,Kane County,Cook County,DuPage County,Lake County,Will County,76586.0,60155.0,44410.0,7748.0,6534.0,Kane County,Cook County,DuPage County,McHenry County,Will County,76586.0,33919.0,22454.0,12785.0,9821.0,30.6083,22.21555,52.82385,39.02244,13.09484,52.11728,52.64311,31.65156,84.29467,37.58724,21.36567,58.95291,165585,156499,175520,24121,7142502079,9789442804,1768368917,1109300287,21937710,249749524,0,12938799242,n/a,9.288488261387442,335401.348909858,60707.445181789786,0.18099940676775703,1304.8710720703182,0.003890476518092399,77.30605854716826,0.00023048821597895523,6524.313542818993,0.01945225791137906,9522.885897550366,0.02839250923856518,9880.196385778745,0.029457831394810917,33868.95619021663,0.10098038156465258,167974.075974094,0.5008151473452735,33187.60566561837,0.0989489331914936,12353.692941373542,0.036832567851996637,36343.0,52962.0,28255.0,56158.0,129475.0,15371.0,44243.0,16981.0,540.0,958.0,15483.0,40198.0,5337.0,9037.0,25824.0,30294.0,9189.0,10299.0,10806.0,82902.0,51300.0,24283.0,7319.0,395279.0,95927.0,491206.0,334982.0,156224.0,68304.0,334982.0,128282.0,4737.0,1106.0,3587.0,1460.0,594.0,3948.0,11148.0,1362.0,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,
Kendall County,54544,114736,121452.0,39037.0,22947.0,29329.0,19481.0,6788.0,2842.0,1028.0,34.4,87391.0,20608.0,7725.0,3821.0,1907.0,121124.0,89307.0,66123.0,62605.0,3518.0,23184.0,2645,58843.0,51788.0,4617.0,1745.0,415.0,278.0,,580.0,8329.0,20195.0,10171.0,76080.0,5195.0,18426.0,19426.0,6959.0,16580.0,9494.0,3107.0,6401.0,7174.0,7244.0,8588.0,6761.0,85736.0,39275.0,32152.0,7123.0,1813.0,41088.0,30725.0,6249.0,349.0,518.0,3209.0,6.8,21873.0,12866.0,4136.0,2213.0,2001.0,1921.0,6864.0,16294.0,13616.0,2393.0,7583.0,19479.0,4607.0,476.0,205500.0,60027.0,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,7268.0,6579.0,6280.0,6248.0,4297.0,23831.0,Retail Trade,Education,Accommodation and Food Service,Transportation,Health Care,4470.0,4184.0,2386.0,2322.0,1538.0,DuPage County,Cook County,Kane County,Kendall County,Will County,14706.0,14263.0,9812.0,7734.0,6125.0,Kendall County,Kane County,Will County,Cook County,DuPage County,7734.0,3310.0,2953.0,2220.0,2039.0,30.45137,24.13736,54.58874,38.98115,15.19916,54.18031,52.20119,35.07961,87.2808,37.28876,23.61634,60.9051,n/a,n/a,n/a,30402,1529371238,2336235004,298185370,79933808,4014905,121124183,0,2839493270,n/a,8.218343140864292,206339.8926130506,20251.082992156378,0.09814429355225679,185.58042549771557,0.0008993918875674455,30.984963046184124,0.00015016467564171054,1656.7640999582036,0.008029296123872348,1717.23857207423,0.00832237794799365,2270.394189526406,0.011003176170998977,10213.676442400007,0.049499281564296074,157425.08159351093,0.7629406005785335,6980.94643299662,0.03383226745246008,5608.1429018838835,0.02717915004637925,6447.0,11511.0,6846.0,14471.0,31251.0,3491.0,8024.0,1935.0,12.0,151.0,1772.0,7323.0,583.0,1689.0,5051.0,7170.0,1783.0,1958.0,3429.0,22502.0,12123.0,8185.0,2194.0,101470.0,10887.0,112357.0,93283.0,19074.0,6329.0,93283.0,13192.0,523.0,587.0,404.0,412.0,170.0,550.0,2695.0,541.0,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,
Lake County,644356,703462,702890.0,201533.0,126082.0,143733.0,145861.0,50001.0,24231.0,11449.0,37.8,445468.0,146608.0,46668.0,48172.0,15974.0,685017.0,545839.0,379883.0,343717.0,25717.0,165956.0,21938,326810.0,269150.0,27763.0,15069.0,11117.0,3711.0,9764005.0,11162.0,68421.0,107769.0,55924.0,452827.0,46165.0,94844.0,85420.0,28530.0,117263.0,80605.0,32826.0,42986.0,39022.0,30351.0,41993.0,56098.0,79886.0,243276.0,178807.0,64469.0,18439.0,261715.0,176566.0,28614.0,6795.0,7587.0,37764.0,6.3,42426.0,131919.0,64737.0,22633.0,1981.0,23967.0,61250.0,90190.0,68685.0,17623.0,45415.0,61625.0,37508.0,31313.0,246700.0,300916.0,Manufacturing,Retail Trade,Health Care,Education,Professional,40390.0,33155.0,32773.0,26663.0,25562.0,307455.0,Manufacturing,Retail Trade,Health Care,Education,Administration,51833.0,35695.0,32918.0,28168.0,26634.0,Lake County,Cook County,DuPage County,McHenry County,Kane County,146847.0,103704.0,16072.0,7475.0,4501.0,Lake County,Cook County,McHenry County,DuPage County,Kane County,146847.0,81894.0,19589.0,10667.0,7748.0,31.79921,22.27251,54.07172,40.3842,13.16869,53.55289,56.25734,31.76583,88.02317,39.04972,21.43937,60.48909,273823,262027,284927,23215,12578587159,19966206603,3773485288,986650294,36302923,139161272,0,24901806380,55,9.01403491312366,301189.1487985378,98707.41074469192,0.32772565392359554,3364.982288684484,0.011172322449555726,146.3487518657377,0.00048590313578537593,12151.292273131492,0.0403443893035448,11662.375998338497,0.03872110281814746,7926.644696359381,0.026317829603022747,49366.67258753688,0.16390588035612705,42416.23887717378,0.14082923985267992,56368.8882184528,0.18715444578037355,19078.29436230289,0.06334323277716808,53646.0,75780.0,41223.0,72627.0,178965.0,20332.0,64311.0,21025.0,722.0,1542.0,18761.0,50692.0,5891.0,10553.0,34248.0,38657.0,10824.0,13279.0,14554.0,127899.0,80559.0,33775.0,13565.0,531739.0,128811.0,660550.0,475908.0,184642.0,68670.0,475908.0,111884.0,19597.0,7204.0,6914.0,1163.0,6035.0,7890.0,21724.0,2231.0,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,
McHenry County,260077,308760,307083.0,84885.0,51679.0,66309.0,66873.0,23248.0,9908.0,4181.0,39.6,252800.0,37727.0,3759.0,8102.0,4695.0,305497.0,240033.0,170616.0,159419.0,11147.0,69417.0,9142,147469.0,129169.0,11081.0,4290.0,1741.0,1188.0,4986910.0,3616.0,27158.0,49679.0,29656.0,203847.0,15060.0,54761.0,48604.0,17650.0,45268.0,22504.0,13012.0,19690.0,19250.0,17623.0,22067.0,18467.0,79836.0,110109.0,86922.0,23187.0,7133.0,117242.0,90785.0,11363.0,2339.0,3008.0,9052.0,6.6,26471.0,58308.0,22121.0,10342.0,1987.0,6859.0,25877.0,46046.0,32019.0,6441.0,22347.0,45710.0,15681.0,2982.0,208500.0,145942.0,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19415.0,16702.0,14533.0,14363.0,10669.0,86212.0,Manufacturing,Retail Trade,Education,Health Care,Construction,14560.0,11414.0,10300.0,9332.0,6210.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,47206.0,42253.0,19589.0,12785.0,10405.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,47206.0,8092.0,7475.0,6452.0,2124.0,30.57602,23.6657,54.24172,38.9871,14.66238,53.64948,52.68985,34.24164,86.9315,37.57113,23.05786,60.62898,75126,74845,80857,26485,4151133465,6107631235,855140219,293998748,14643690,254714500,10321538,7536449930,n/a,11.22566382935836,391047.6548342393,68159.66166433904,0.17430014173907055,583.433107885263,0.0014919744452439531,100.13778774048605,0.0002560756636756544,4784.913692754879,0.012236139594758982,5003.6344503216,0.012795459551963262,8788.441823600757,0.022474094179969137,28118.753839719382,0.07190620757369995,220299.83728012524,0.5633580320882065,37565.647304374674,0.09606411607377707,17643.193883377862,0.04511775908963478,22606.0,37113.0,18953.0,31437.0,82034.0,7830.0,28075.0,8332.0,183.0,461.0,7688.0,22870.0,2821.0,4708.0,15341.0,19193.0,5855.0,6256.0,7082.0,57890.0,35856.0,16528.0,5506.0,261482.0,28287.0,289769.0,248247.0,41522.0,14963.0,248247.0,26021.0,4500.0,1056.0,1156.0,302.0,460.0,972.0,6585.0,470.0,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,
Will County,502266,677560,685378.0,201716.0,122887.0,153469.0,130783.0,46477.0,21356.0,8690.0,37.0,447069.0,113180.0,75365.0,34899.0,14865.0,676492.0,524998.0,362694.0,337942.0,24556.0,162304.0,14087,317668.0,278589.0,19893.0,12816.0,2859.0,3511.0,10378425.0,8482.0,57561.0,100746.0,58170.0,440254.0,40402.0,118245.0,97742.0,36580.0,94754.0,52531.0,28527.0,39969.0,40088.0,33254.0,45796.0,37325.0,77507.0,224959.0,182341.0,42618.0,14994.0,239953.0,178465.0,28771.0,5020.0,5748.0,18408.0,6.5,67571.0,111372.0,42997.0,18013.0,1990.0,14080.0,48394.0,97291.0,67105.0,13083.0,45476.0,90457.0,36604.0,9428.0,210600.0,312434.0,Health Care,Retail Trade,Education,Manufacturing,Professional,39185.0,35323.0,30307.0,29418.0,22470.0,226791.0,Education,Retail Trade,Health Care,Manufacturing,Wholesale Trade,34844.0,25981.0,23766.0,22054.0,17752.0,Cook County,Will County,DuPage County,Kane County,Lake County,106213.0,99915.0,59945.0,9821.0,5297.0,Will County,Cook County,DuPage County,Kane County,Kendall County,99915.0,57291.0,18376.0,6534.0,6125.0,31.12459,22.99297,54.11756,39.77915,13.95851,53.73766,54.34335,33.10088,87.44423,38.31954,22.29183,60.61137,119021,161330,202554,26430,9602208063,14080995422,2170926066,2791558846,77134856,274434100,2650,19395051940,20,8.856270009044557,543442.167871002,85192.69634190162,0.15676497220606553,1204.3102065278197,0.002216077952224144,109.7971297049182,0.00020204013636825654,10018.97225433196,0.0184361333121838,13344.787092733766,0.02455603904462093,19823.65601956879,0.03647794961739953,66699.56946412427,0.12273535880630612,255697.94519978986,0.4705154666254854,63630.852726196244,0.11708854499730399,27719.58143612276,0.05100741730204237,46072.0,65752.0,39136.0,73999.0,170326.0,18959.0,54633.0,18209.0,462.0,1065.0,16682.0,46953.0,6241.0,10691.0,30021.0,39816.0,12121.0,12935.0,14760.0,115885.0,71350.0,33249.0,11286.0,563140.0,80074.0,643214.0,516924.0,126290.0,47710.0,516924.0,75596.0,9830.0,3073.0,5269.0,3514.0,1431.0,6586.0,17775.0,3216.0,388523,43768,51980,11021,6974,,,,,,,,,,,,,,,,,,
CMAP Region,8146264,8431386,8501507.0,2243626.0,1812767.0,1738296.0,1632283.0,613214.0,316184.0,145137.0,36.68422434545401,4414726.0,1914044.0,1436860.0,572098.0,163779.0,8364332.0,6712874.0,4530920.0,4137033.0,381643.0,2181954.0,194259.0,3873796.0,2813343.0,327567.0,524527.0,163011.0,45348.0,N/A,394381.0,1106996.0,1094644.0,485909.0,5686046.0,714537.0,1322237.0,1120468.0,390333.0,1300121.0,838350.0,601256.0,617120.0,516512.0,392099.0,484440.0,470503.0,65173.650874081584,3081930.0,1959620.0,1122310.0,297034.0,3378964.0,1692480.0,253342.0,236321.0,277204.0,893514.0,5.996278526790746,422506.0,1142676.0,1049835.0,763947.0,1966.9318869018969,545572.0,970924.0,1126456.0,580797.0,155215.0,502052.0,815861.0,416084.0,206631.0,225905.2209507578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3488894,3192426,3555979,16723,126927851088,173931842879,55724532341,15994995633,565932606,1046538957,10324188,247274166604,,5.634188792,2605716.272541979,588344.2109281736,0.2257898210668273,42553.76916973422,0.016330929663428532,2974.1751435019637,0.0011414040641502916,80587.65494781484,0.03092725627767539,92408.14083615194,0.03546362349957778,96978.40012116413,0.03721755938782924,388551.37523789634,0.14911499741253453,862923.0457893166,0.33116539006278733,338154.5746159637,0.12977413472806099,112240.9257522616,0.04307488383712865,881829.0,923991.0,485632.0,790478.0,2015857.0,267946.0,1066073.0,400775.0,10888.0,28544.0,361343.0,742852.0,87209.0,172583.0,483060.0,512182.0,169002.0,173644.0,169536.0,1340186.0,863595.0,352322.0,124269.0,6351174.0,1613849.0,7965023.0,5498363.0,2466660.0,993047.0,5498363.0,1454513.0,276466.0,87636.0,74849.0,55109.0,38968.0,99243.0,323345.0,56531.0,4687259,1409202,1537534,375993,136276,,,,,,,,,,,,,,,,,,
