CCA,2000_POP,2010_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MED_INC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV
Fuller Park,3420,2876,-544,754,Health Care,Education,Accommodation and Food Service,Administration,Retail Trade,159,86,67,66,59,1293,Manufacturing,Health Care,Wholesale Trade,Retail Trade,Accommodation and Food Service,426,249,244,163,103,Chicago,Evanston,Oak Brook,Rolling Meadows,Willow Springs,550,9,9,9,9,Chicago,Evanston,Tinley Park,Orland Park,Lansing,706,16,14,11,9,5607,3.598379828,457.2264586,28.175227,6.162203974,28.5592556,6.24619487,3.970976726,0.868492331,14.49331306,3.169832539,18.78483376,4.108431043,36.53074945,7.989640311,263.3553565,57.59845074,0,0,11.25372789,2.461302857,52.1030186,11.39545134,2867,751,567,456,536,473,85,38.47454545,79,228,2534,15,11,2854,2288,1114,725,388,1174,60,659,305,50,227,56,21,1896,1353,185,705,281,73,75,37,15,16965.64885,1186,405,784,413,1603,336,55,503,195,502,5.170926518,27,223,655,698,n/a,550,415,408,131,99,308,37,23,34,106166.6667
Gage Park,39193,39894,701,9748,Manufacturing,Administration,Retail Trade,Health Care,Accommodation and Food Service,1718,1149,1099,953,897,3852,Wholesale Trade,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,1164,837,668,243,232,Chicago,Bedford Park,Cicero town,Bridgeview,Elk Grove Village,5329,241,158,105,100,Chicago,Oak Lawn,Burbank,Cicero town,Orland Park,1891,104,64,50,46,15110,1.30871361,1406.913252,409.0939022,29.07740769,155.5935161,11.05921178,18.5011768,1.315019016,63.42243295,4.507913537,70.04885912,4.978903924,150.6192322,10.70565168,491.320014,34.92184136,0,0,25.2941829,1.797849502,23.01993587,1.63620151,39580,14512,10060,8359,4531,1632,486,27.67160804,1627,35998,1545,365,45,39530,27966,19066,15457,3609,8900,268,14595,8154,3178,2801,375,87,21526,10843,1212,2577,3588,1698,888,520,122,37321.42857,9393,5179,4214,1075,10468,4863,55,2630,2061,832,5.66858679,104,937,4033,5394,n/a,1252,3709,3626,1201,680,2301,2720,158,0,158993.1421
Garfield Ridge,36101,34513,-1588,13756,Manufacturing,Public Administration,Education,Health Care,Retail Trade,1569,1494,1470,1351,1181,12075,Transportation,Retail Trade,Accommodation and Food Service,Manufacturing,Administration,4852,1144,1049,973,897,Chicago,Bedford Park,Cicero town,Bridgeview,Berwyn,8408,243,178,158,125,Chicago,Oak Lawn,Burbank,Orland Park,Cicero town,5106,259,192,131,128,16173,1.345309055,2706.41069,1033.300914,38.17975291,95.16380635,3.516236716,15.06253634,0.556550283,102.231991,3.777401242,56.43537572,2.085248035,116.5902518,4.307929031,1206.1236,44.56543143,0,0,42.37232689,1.565628123,39.12988746,1.445822233,34672,8705,6573,7678,6712,3391,1613,39.01281337,17700,14368,1770,600,234,34524,28047,18258,15945,2313,9789,156,15220,11304,1452,1950,457,57,23889,19402,4782,2105,2505,2476,1874,1841,1060,62946.80111,11861,9684,2190,804,12678,10387,281,538,629,830,5.942902639,408,1835,9031,1404,n/a,809,2665,6709,1657,838,1608,6695,1290,87,214217.033
Grand Boulevard,28006,21929,-6077,6736,Health Care,Education,Administration,Retail Trade,Public Administration,1256,1006,571,539,515,2224,Health Care,Accommodation and Food Service,Retail Trade,Education,Transportation,1036,227,192,171,107,Chicago,Evanston,Schaumburg,Rolling Meadows,Broadview,5298,62,45,44,38,Chicago,Oak Lawn,Dolton,Oak Park,South Holland,1503,29,21,21,20,8870,1.134130161,1113.239144,58.9639495,5.296611227,252.1315623,22.64846359,7.655942814,0.687717716,43.93141092,3.94626897,112.2790303,10.08579611,8.173371927,0.734197317,379.5324391,34.09262431,0,0,22.49331548,2.020528616,228.078122,20.48779215,22386,6355,4386,5156,3577,2209,703,36.2010846,957,631,20257,100,441,22107,17357,10807,8018,2754,6550,149,7604,4561,431,2404,155,53,14810,12400,3816,4392,1977,1400,890,675,531,30523.25581,9865,2695,7241,2373,12309,1096,734,897,3394,6148,5.141348089,2418,2671,2805,4415,n/a,3265,3529,3802,1216,497,659,1312,590,134,228747.3233
Greater Grand Crossing,38619,32602,-6017,9395,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,1900,1156,887,885,732,3594,Health Care,Education,Administration,Retail Trade,Wholesale Trade,729,673,443,393,293,Chicago,Oak Lawn,Rolling Meadows,Bedford Park,Evanston,6243,88,69,64,56,Chicago,Calumet City,Dolton,Harvey,Oak Lawn,2367,35,31,30,28,9602,0.980198541,2269.365548,376.8101484,16.60420679,330.6837061,14.57163683,21.85781801,0.963168672,88.05895109,3.880333477,253.3688968,11.16474589,43.00068524,1.894832909,991.7031925,43.69957908,0,0,33.559291,1.478796178,130.3228593,5.742700174,32804,10635,5766,6099,6391,2417,1496,35.002476,392,577,31348,37,450,32307,24538,14316,10845,3471,10222,361,9974,5346,754,3459,388,27,19836,16740,3362,5612,2911,1745,849,630,348,27865.13158,12095,4227,7868,3934,16029,4664,263,4572,2841,3672,5.586128414,436,1494,4825,9274,n/a,3532,5614,4777,1349,757,2255,1748,144,80,141617.2986
Hegewisch,9781,9426,-355,3971,Public Administration,Health Care,Education,Manufacturing,Retail Trade,485,441,436,414,385,2085,Manufacturing,Wholesale Trade,Retail Trade,Transportation,Construction,773,421,249,148,135,Chicago,South Holland,Calumet City,Lansing,Elgin,1933,55,43,39,25,Chicago,Calumet City,Lansing,Dolton,Tinley Park,707,66,60,31,26,15981,47.16968852,3350.925697,374.8906649,11.18767465,33.89231755,1.011431485,6.957145629,0.207618618,47.39048728,1.414250615,17.41752732,0.519782558,307.467339,9.175594053,1550.756118,46.27843939,0,0,475.4473145,14.18853647,536.7067832,16.01667216,9854,2661,1945,1901,1956,976,416,37.20055788,4002,5079,686,20,67,9835,7577,4473,4035,437,3105,87,3887,2659,493,671,64,0,6606,5342,1333,950,894,613,506,388,258,48177.57009,3609,2694,915,364,3973,2546,41,624,350,167,5.776633523,177,716,1780,1300,n/a,217,1114,1899,611,133,1406,1183,76,28,146517.8571
Hermosa,26908,25010,-1898,6985,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,1037,802,748,720,668,3599,Manufacturing,Construction,Retail Trade,Accommodation and Food Service,Other Service,2468,299,239,113,108,Chicago,Elk Grove Village,Franklin Park,Skokie,Des Plaines,4270,144,110,110,97,Chicago,Cicero town,Berwyn,Elmwood Park,Des Plaines,1883,128,66,52,29,12490,0.639123172,748.4432924,167.3631058,22.36149452,146.0269609,19.51075818,14.26011286,1.905303048,26.64481567,3.560031327,18.92923861,2.529148007,110.8723899,14.81373285,246.993516,33.00096594,0,0,14.86225776,1.985756023,2.490894852,0.332810098,25265,8036,6225,5053,3978,1502,471,31.00368652,1842,22750,332,149,192,25247,18653,12989,11176,1813,5664,335,10678,6617,1470,2007,510,74,14898,8605,1160,1939,2282,1393,637,509,188,38477.40668,6948,2820,4128,864,7812,2090,24,2503,2377,780,5.70203252,83,465,2267,4997,n/a,1180,3135,2454,676,367,568,1708,515,29,217574.2574
Humboldt Park,65836,56323,-9513,16063,Health Care,Retail Trade,Manufacturing,Administration,Accommodation and Food Service,2450,1810,1786,1700,1572,8166,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,1491,1139,996,877,809,Chicago,Elk Grove Village,Des Plaines,Oak Park,Cicero town,9413,204,180,174,166,Chicago,Cicero town,Oak Park,Berwyn,Maywood,4647,136,103,100,100,9961,0.325004941,2306.732746,284.2900231,12.32435893,430.5469468,18.66479537,39.28661765,1.703128276,142.6205634,6.182795282,99.87196692,4.329585518,328.4734673,14.23977129,831.8028964,36.0597862,0,0,11.01037994,0.477314936,138.8298847,6.018464208,52788,17213,13151,9986,8141,3447,850,30.2483979,2852,27886,21481,104,465,52500,39386,21651,17930,3721,17735,482,16947,9307,1730,3867,1153,890,31233,20933,3460,6774,4626,2414,1375,721,394,30580.13766,16304,6013,10291,3592,19896,4043,173,7058,5084,3528,5.570872947,719,1644,3549,13984,n/a,4344,6752,6366,1525,909,2215,2532,1009,257,182039.6146
Hyde Park,29920,25681,-4239,10200,Education,Health Care,Professional,Accommodation and Food Service,Retail Trade,2956,1915,661,653,578,24429,Education,Health Care,Accommodation and Food Service,Retail Trade,Arts and Entertainment,12543,8090,862,841,528,Chicago,Evanston,Schaumburg,Oak Brook,Downers Grove,7948,112,70,51,43,Chicago,Oak Park,Evanston,Oak Lawn,Calumet City,15194,315,272,191,184,8018,9.218327828,1032.12418,98.02233249,9.497145246,178.7925081,17.322771,6.447770428,0.624708785,35.4138644,3.431163138,173.1291726,16.7740642,0,0,254.9267671,24.69923407,0,0,278.7624296,27.0086134,6.629335198,0.642300154,26831,5591,8922,4849,3964,2367,1138,32.3355031,12561,1324,8888,3204,854,24149,23527,14559,13227,1320,8968,822,11998,3453,645,3662,4069,169,17671,16944,12460,3772,2724,2324,1062,1203,1473,47864.17323,12558,4587,7971,2151,14709,690,1009,135,1207,11653,4.478776088,172,1877,3941,8719,n/a,6903,3529,2716,1133,428,1122,1572,1124,769,253212.6168
Irving Park,58643,53359,-5284,20791,Health Care,Retail Trade,Accommodation and Food Service,Education,Professional,2668,2048,1952,1896,1735,9214,Health Care,Wholesale Trade,Retail Trade,Manufacturing,Construction,1463,1339,1104,868,844,Chicago,Evanston,Skokie,Des Plaines,Elk Grove Village,13192,420,404,319,309,Chicago,Cicero town,Skokie,Des Plaines,Park Ridge,5403,121,102,83,82,12029,1.717191878,2057.202497,512.8052186,24.92730878,402.9779782,19.58863937,46.29683003,2.250475104,104.7321831,5.091000194,71.89344758,3.494719051,69.98453762,3.401927507,743.2954267,36.13136907,0,0,94.56849689,4.596946437,10.64837817,0.517614488,56841,14952,14540,13760,9002,3589,998,33.94208174,23748,26387,1536,3984,1186,56344,44258,31868,28509,3339,12390,1394,26798,15745,2816,6699,1327,211,38424,30141,12882,4501,6122,3017,2319,2251,2092,48078.1759,20302,9485,10817,2058,22360,5477,499,4734,4683,6967,5.441475827,1592,1490,4373,14905,n/a,5252,9123,5303,1740,942,1080,3887,3082,1436,291098.3347
