CCA,2000_POP,2010_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MED_INC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV
Jefferson Park,25859,25448,-411,12546,Health Care,Retail Trade,Manufacturing,Public Administration,Education,1512,1294,1140,1107,1084,4559,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,919,568,545,466,426,Chicago,Skokie,Des Plaines,Elk Grove Village,Evanston,6321,342,224,216,195,Chicago,Park Ridge,Niles,Skokie,Des Plaines,2303,111,74,74,65,13854,5.201462914,1489.174041,500.916546,33.63720641,175.388197,11.77754864,10.18391644,0.683863414,50.58310834,3.396722408,28.12247173,1.88846105,53.30808337,3.579708073,525.5160686,35.28909678,0,0,133.448309,8.961229871,11.70734058,0.786163353,27212,6399,5267,6335,5266,2788,1157,39.65068493,18061,5682,344,2689,436,27185,21802,14635,12779,1856,7167,431,12170,8897,1204,1684,325,60,19291,16817,5845,2056,2244,1557,1263,1727,1062,60412.17672,9909,6439,3470,1031,10940,5189,114,2486,1711,1424,5.645083102,356,1383,4311,4890,n/a,1617,4164,3442,1180,537,585,3120,2394,340,283987.467
Kenwood,18363,17841,-522,6596,Education,Health Care,Administration,Public Administration,Retail Trade,1309,1231,474,470,468,1213,Real Estate,Retail Trade,Other Service,Health Care,Education,254,250,169,162,106,Chicago,Evanston,Naperville,Schaumburg,Oak Brook,4947,65,43,43,34,Chicago,Oak Lawn,Riverdale,Chicago Heights,Cicero town,822,9,8,7,7,8749,5.849047991,664.4173746,134.2074976,20.19927575,127.6456559,19.21166736,0.459896648,0.069218035,25.92640076,3.902125645,54.66220066,8.227087784,0.607838776,0.091484479,190.6891238,28.70020127,0,0,110.2455752,16.59281943,19.97318521,3.006120245,18021,3806,4714,3093,3535,2072,801,37.08632813,3204,745,12552,1155,365,17671,14752,8956,7563,1393,5796,449,6856,3089,442,2634,592,99,12552,11176,6466,3368,2124,1152,813,810,878,37056.45161,9145,2659,6486,1419,10564,710,646,176,857,8162,4.470791566,791,3538,3114,3121,n/a,4049,3615,1882,661,357,646,981,449,583,261956.5217
Lake View,94817,94368,-449,53406,Professional,Finance,Health Care,Education,Accommodation and Food Service,9570,6471,5549,5254,4580,18383,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Professional,5279,3205,2482,1539,1180,Chicago,Evanston,Skokie,Schaumburg,Oak Brook,39074,1452,583,564,553,Chicago,Evanston,Skokie,Cicero town,Berwyn,11854,327,264,122,110,7225,1.926511268,1989.756326,209.8899158,10.54852361,643.6362166,32.34748939,88.55389854,4.450489608,126.1475646,6.339849907,97.72843863,4.911578234,17.25573846,0.867228727,627.8382369,31.55352384,0,0,170.249128,8.556280271,8.457188854,0.42503641,96541,10607,50274,19032,10018,4872,1738,30.55735821,77336,7294,3245,6310,2356,96103,87064,72560,68982,3487,14504,4230,64039,21857,3702,33041,4512,927,73111,71306,57080,9104,9250,8333,6281,8319,11057,73364.38704,52344,19360,32984,5320,57664,3587,1555,3783,8899,39630,4.412085345,5290,11739,15720,24915,n/a,27159,18066,8796,2665,978,1416,5690,6373,5881,370270.2703
Lincoln Park,64320,64116,-204,31523,Professional,Finance,Health Care,Education,Accommodation and Food Service,5847,4100,3346,2967,2277,24414,Health Care,Retail Trade,Accommodation and Food Service,Other Service,Transportation,6581,4629,3355,1650,1168,Chicago,Evanston,Oak Brook,Schaumburg,Skokie,22389,694,334,330,315,Chicago,Evanston,Skokie,Oak Park,Cicero town,14689,359,259,252,167,7760,5.872814977,2023.634107,298.6402217,14.7576195,375.7000915,18.56561372,62.03328394,3.065439731,248.9878864,12.30399732,108.5799559,5.365592303,48.76278213,2.409663978,585.9583239,28.95574461,0,0,264.537823,13.07241373,30.43373895,1.503915102,65889,11459,29136,12028,7797,4088,1381,29.7271455,53706,4665,2766,3330,1422,62259,57314,44320,41964,2356,12994,2740,38685,14449,2024,17023,4009,1180,45456,43892,37308,5815,4202,4405,3501,5389,9000,87382.17652,32312,14077,18235,3543,35855,3363,3353,1803,5567,21664,4.528458162,2889,12270,6051,14645,n/a,15079,10925,6283,2299,1269,440,2708,3998,6931,494291.025
Lincoln Square,44574,39493,-5081,19227,Health Care,Professional,Education,Accommodation and Food Service,Finance,2464,2271,2097,1818,1649,6487,Health Care,Accommodation and Food Service,Manufacturing,Retail Trade,Administration,1875,852,709,599,472,Chicago,Evanston,Skokie,Glenview,Des Plaines,13121,628,405,240,175,Chicago,Skokie,Evanston,Glenview,Des Plaines,3867,147,73,56,55,9777,1.809048207,1638.030616,221.0638557,13.49570963,350.1925895,21.37887937,34.85355811,2.12777208,61.18140704,3.735058822,387.7455879,23.67144936,41.54282718,2.536144732,458.0243439,27.96189151,0,0,80.01606469,4.884894329,3.410382376,0.208200161,38667,6432,12669,9067,6624,3048,827,35.31497097,24949,6333,1793,4513,1079,38083,33132,25435,23343,2065,7697,1223,21791,11054,1550,7509,1445,233,30366,26665,17360,3464,3889,3250,2231,2376,2456,61121.27548,17666,7133,10533,1707,19373,2684,479,2506,3662,10021,5.047843992,1206,1405,6032,10730,n/a,6868,7190,3814,1014,487,594,2329,2431,1779,353759.3985
Logan Square,82715,72791,-9924,32596,Health Care,Professional,Accommodation and Food Service,Retail Trade,Education,3523,3330,3182,3089,2963,14306,Retail Trade,Manufacturing,Health Care,Accommodation and Food Service,Construction,3166,2155,1660,1453,894,Chicago,Evanston,Des Plaines,Elk Grove Village,Skokie,21024,430,388,354,352,Chicago,Cicero town,Skokie,Evanston,Berwyn,8126,224,158,124,122,9881,0.554996884,2297.014851,275.3052858,11.98535071,622.865224,27.11629068,76.3084064,3.322068482,189.5467076,8.251871227,72.05607669,3.13694431,129.785009,5.650159768,860.2277771,37.44981346,0,0,41.43578622,1.803897184,29.48457867,1.283604181,73002,16445,26635,16984,8541,3555,842,31.64537102,30632,34770,4286,2103,1211,72529,59461,43723,40360,3363,15738,2355,37448,18927,2841,12350,2889,441,50379,43868,22183,7094,6733,5035,3043,3463,3698,53148.97413,29066,10790,18276,3020,32086,4828,910,6946,9023,10348,5.452754469,2908,2485,3409,23284,n/a,7106,13442,8745,1756,1037,790,3424,4066,2510,344166.0434
Lower West Side,44031,35769,-8262,10306,Manufacturing,Health Care,Administration,Education,Accommodation and Food Service,1282,1120,1070,1056,1054,15123,Health Care,Wholesale Trade,Manufacturing,Administration,Retail Trade,3578,2835,2088,1473,976,Chicago,Cicero town,Bolingbrook,Oak Brook,Schaumburg,7050,125,76,75,73,Chicago,Cicero town,Berwyn,Oak Lawn,Oak Park,8353,362,192,163,134,10046,0.834707402,1872.1545,63.72316389,3.403734248,224.8666243,12.0111147,52.88803204,2.824982235,71.15373573,3.800633747,98.2351856,5.247173008,468.46552,25.02280234,789.9847756,42.19655886,0,0,35.93565388,1.919481212,66.90180903,3.573519655,35353,9800,11035,7185,4535,1925,873,30.03312893,4385,28835,1349,379,405,35231,27340,19760,16586,3174,7580,398,15601,6942,2213,4528,1815,103,22142,13488,4433,4003,3923,2041,971,769,290,35689.75904,11997,3224,8773,1972,13969,1695,185,3473,4674,3942,4.789132119,686,818,1527,10938,n/a,2885,6687,3482,573,342,620,1760,716,128,228961.7486
McKinley Park,15962,15612,-350,5149,Manufacturing,Accommodation and Food Service,Retail Trade,Health Care,Administration,675,663,528,520,438,4649,Administration,Wholesale Trade,Retail Trade,Manufacturing,Accommodation and Food Service,1145,975,886,458,201,Chicago,Bedford Park,Cicero town,Des Plaines,Elk Grove Village,3717,57,41,41,39,Chicago,Cicero town,Oak Lawn,Berwyn,Orland Park,2225,71,44,42,40,12739,4.601544395,905.2331805,119.6360979,13.21605311,107.5280736,11.87849451,12.39077726,1.368793978,60.70343429,6.705833988,24.77638172,2.737016523,175.5001969,19.38729166,301.507438,33.30715715,0,0,73.64789795,8.135793024,29.54288285,3.263566061,16538,5118,3873,3219,3016,855,457,32.47019231,2987,10026,473,2852,200,16502,12377,8183,7004,1179,4194,171,6702,3384,1284,1689,302,43,10429,7241,1542,1541,1459,1092,486,382,182,41618.85246,5142,2832,2310,538,5680,1715,290,1912,1143,596,5.598137536,365,397,952,3966,n/a,498,2226,2360,356,240,640,1596,543,53,211512.605
Montclare,12646,13426,780,4607,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,644,556,501,397,371,2062,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Other Service,625,500,420,119,85,Chicago,Elk Grove Village,Skokie,Des Plaines,Melrose Park,2354,132,83,73,73,Chicago,Elmwood Park,Oak Park,Park Ridge,Berwyn,831,52,38,35,29,13325,0.815786352,633.0694217,249.9898621,39.48853847,63.4212269,10.01805248,5.958817487,0.941258144,54.54164065,8.615428069,28.52741971,4.506207176,18.84138736,2.976196088,193.1698486,30.51321735,0,0,10.45545381,1.651549333,8.163765038,1.289552892,12333,2953,2892,2524,2431,1104,429,37.48477918,4405,6352,521,913,142,12218,9997,6652,5690,962,3346,67,5343,3675,709,583,122,254,8377,6478,1530,1095,1289,807,491,492,201,43738.73874,4376,2578,1797,550,4926,2238,110,935,585,1036,5.510300429,670,447,2035,1774,n/a,1047,1867,1399,365,247,418,1570,542,48,225813.7432
Morgan Park,25226,22544,-2682,8330,Education,Health Care,Public Administration,Retail Trade,Administration,1465,1255,1175,638,520,2683,Health Care,Retail Trade,Construction,Education,Accommodation and Food Service,779,701,243,201,178,Chicago,Oak Lawn,Evergreen Park,Blue Island,Orland Park,5621,126,97,89,74,Chicago,Blue Island,Oak Lawn,Evergreen Park,Orland Park,1201,85,71,50,44,16440,2.787221418,2109.222,909.4989098,43.120113,68.92632741,3.267855513,6.911618884,0.3276857,106.5771093,5.052910946,183.0124449,8.676774892,63.12583423,2.992849223,658.8749913,31.23782093,0,0,55.36506711,2.624904686,56.92969697,2.699085112,23584,6264,4376,4369,4911,2334,1330,39.20808495,7774,466,14828,103,413,23206,18475,11501,9860,1632,6975,390,9275,6900,471,1645,204,54,15806,14394,4712,1571,1685,1344,1155,1371,863,63541.66667,7990,6044,1947,1069,9060,6580,570,282,412,1166,6.54305835,399,1317,4804,2540,n/a,709,2221,3714,1929,487,1930,3325,653,135,178496.9088
Mount Greenwood,18820,19093,273,9340,Public Administration,Education,Health Care,Retail Trade,Accommodation and Food Service,2066,1435,1020,736,602,2887,Education,Retail Trade,Administration,Health Care,Accommodation and Food Service,1025,568,296,271,217,Chicago,Oak Lawn,Evergreen Park,Alsip,Orland Park,5301,320,241,151,111,Chicago,Oak Lawn,Evergreen Park,Orland Park,Tinley Park,1029,215,137,101,55,15149,2.847803775,1735.183435,748.8761447,43.15832722,19.35898839,1.115673882,8.183037484,0.471594952,37.03622638,2.134427153,523.1997404,30.15241674,0.181816514,0.01047823,365.317166,21.05351853,0,0,30.37510665,1.75054153,2.655208215,0.153021759,18397,5623,3132,3986,3613,1345,698,36.74410112,16110,1120,827,169,171,17774,14076,9763,8905,849,4313,236,8539,7186,541,577,222,13,11637,11132,3843,684,802,1123,1193,1670,989,88023.88935,6461,5758,703,558,7019,6189,69,55,104,585,6.288783482,161,935,5198,725,n/a,462,1717,3548,1047,245,581,3986,1099,92,233836.858
Near North Side,72811,80484,7673,38971,Professional,Finance,Health Care,Education,Accommodation and Food Service,7601,5340,4206,3641,2479,146962,Accommodation and Food Service,Professional,Health Care,Retail Trade,Other Service,25781,20821,14665,14317,12984,Chicago,Evanston,Schaumburg,Oak Brook,Naperville,29380,702,373,372,323,Chicago,Evanston,Oak Park,Skokie,Berwyn,83257,1753,1697,1343,962,5527,0.848131933,1754.455245,84.75737739,4.830979739,293.5673541,16.73267842,20.87319919,1.189725372,293.181718,16.71069803,120.5066696,6.86860893,81.68138586,4.655655145,715.6667152,40.79139194,0.981436983,0.055939699,78.94193334,4.499512517,64.29745491,3.664810209,83215,7375,34090,15326,13984,9411,3029,35.11989183,59441,4853,8217,8762,1942,81442,77348,57401,53232,4169,19947,3902,48817,13787,1435,13694,16754,3147,69102,67402,53430,10108,6623,7958,6117,7844,13889,81459.45725,52539,22377,30162,9434,61973,1089,1924,286,1709,56915,3.724824481,14843,23538,15046,8546,n/a,36271,17170,7123,980,429,859,6057,6625,8836,421504.8382
Near South Side,9509,21390,11881,10805,Professional,Health Care,Education,Finance,Administration,1717,1421,1325,1271,663,13346,Arts and Entertainment,Health Care,Administration,Accommodation and Food Service,Other Service,4062,2706,1927,1581,602,Chicago,Evanston,Schaumburg,Naperville,Oak Brook,7685,149,97,84,80,Chicago,Oak Park,Oak Lawn,Cicero town,Berwyn,8969,113,102,91,84,9031,34.83690488,1140.711237,57.73754471,5.061539052,98.16442397,8.605545454,8.57851467,0.7520321,327.2670656,28.68973804,49.05460307,4.300352403,17.05036026,1.494713098,324.1649542,28.41779267,0,0,179.2748469,15.71605864,79.41892324,6.962228537,21042,3050,7468,5166,3474,1552,332,35.00581717,10384,1257,5078,3762,561,20844,18387,14943,14144,796,3444,1011,12551,5945,1016,3865,1397,328,16839,15669,11747,1939,2172,2094,1247,1933,2806,73763.17771,12191,5930,6261,2177,14368,354,1544,44,422,11991,3.797743056,9142,2293,1101,1832,n/a,5966,6389,1770,204,39,126,1972,2160,1672,354459.799
Near West Side,46419,54881,8462,24630,Professional,Health Care,Education,Finance,Administration,3691,3395,2857,2680,1540,110158,Health Care,Finance,Education,Professional,Administration,19892,16112,13945,12948,8475,Chicago,Evanston,Naperville,Schaumburg,Oak Brook,16932,371,212,210,207,Chicago,Oak Park,Evanston,Berwyn,Cicero town,56499,1976,997,874,866,9167,1.478760344,3638.50093,146.2824381,4.020404032,346.8398734,9.53249374,43.68096011,1.20052079,394.0454939,10.82988575,554.7432568,15.24647836,314.5847638,8.645999268,1566.145443,43.0437005,0,0,56.59490421,1.555445644,215.583797,5.925071922,55877,10637,24280,10457,6827,2746,930,30.96867671,23559,5890,17328,7917,1183,51886,48558,34956,31226,3709,13602,1456,29468,11835,1778,7814,7547,494,38583,34891,24243,7140,3242,3890,3206,4116,4697,67446.35673,26291,10052,16239,3216,29507,1418,2269,1653,3226,20919,3.981521608,10667,7953,2987,7900,n/a,12229,10968,4833,1191,286,563,3640,4553,1296,325377.7367
New City,51721,44377,-7344,10609,Manufacturing,Health Care,Retail Trade,Administration,Accommodation and Food Service,1425,1229,1123,1101,1069,11444,Manufacturing,Transportation,Wholesale Trade,Retail Trade,Other Service,4720,1327,1248,1125,779,Chicago,Bedford Park,Cicero town,Schaumburg,Des Plaines,7051,115,111,84,83,Chicago,Cicero town,Oak Lawn,Burbank,Berwyn,6340,185,146,142,82,10976,1.615763713,3090.85174,245.299122,7.93629532,336.4571336,10.88557983,31.90855669,1.032354813,166.2006327,5.377179065,83.04921118,2.686936099,689.927428,22.32159566,1160.916839,37.55977111,0,0,83.76433226,2.710072799,293.3284848,9.490215302,41689,14826,9895,8508,5905,1997,557,28.71724138,6120,22419,11974,804,372,41428,30023,18736,14305,4432,11287,345,13489,7166,2263,3171,889,0,23155,14052,1696,4230,3741,1734,846,563,256,32332.81087,11370,4679,6688,4192,15558,3496,285,5774,4277,1692,5.365767878,723,1210,3094,10531,n/a,1731,6003,5736,1498,590,2069,2232,339,42,156926.0204
North Center,31895,31867,-28,17942,Professional,Health Care,Finance,Education,Retail Trade,2437,1965,1880,1754,1527,9875,Retail Trade,Finance,Manufacturing,Information,Accommodation and Food Service,1928,1667,997,951,864,Chicago,Evanston,Skokie,Des Plaines,Glenview,11332,382,230,183,179,Chicago,Skokie,Evanston,Berwyn,Des Plaines,5491,128,124,63,62,11230,1.307108584,1309.788707,227.2726415,17.35185533,314.4925883,24.01094059,46.47470642,3.548259821,73.63276984,5.621728868,76.16209074,5.814837946,87.53733154,6.683317018,437.1241641,33.37363972,0,0,38.39883878,2.931681925,8.693575641,0.663738784,34534,6732,12069,8722,4441,1936,634,33.45976241,26755,4962,639,1270,908,34442,28442,22870,21629,1225,5572,1685,19763,10782,1375,6107,1364,135,26176,24805,17465,1590,2292,2622,1864,2712,3850,87888.9485,14930,7510,7420,1515,16445,3881,457,4100,3660,4305,5.635305139,2607,1372,1951,10515,n/a,3371,6463,4098,1648,865,269,1270,2376,3595,484659.6357
North Lawndale,41768,35912,-5856,9247,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,1903,1044,887,885,723,5760,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Education,1271,1216,641,598,588,Chicago,Cicero town,Oak Park,Broadview,Melrose Park,6033,160,142,99,84,Chicago,Cicero town,Berwyn,Oak Park,Oak Lawn,3303,159,122,75,51,7938,4.13367433,2054.356754,114.3742516,5.567399691,354.9611164,17.27845544,21.36860205,1.040160235,75.59585889,3.67978243,122.6788059,5.971640789,233.3701168,11.35976584,669.4243828,32.58559553,0,0,168.3816091,8.196317837,294.2020108,14.3208822,36169,13552,8213,5514,5863,2077,950,27.30709078,681,2187,32807,85,409,35342,25565,11960,9019,2941,13605,344,8371,4294,523,2946,267,341,19376,13911,1693,5706,2595,1380,599,380,151,23066.28057,10811,2663,8148,4037,14848,1651,431,4046,4995,3672,5.657724329,1342,1038,2134,10334,n/a,1994,5032,6030,1382,410,1290,1044,299,30,152914.3258
North Park,18514,17931,-583,6529,Health Care,Education,Retail Trade,Accommodation and Food Service,Manufacturing,1092,715,665,568,541,4726,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Finance,907,684,602,526,295,Chicago,Skokie,Evanston,Lincolnwood,Glenview,3628,212,159,111,99,Chicago,Skokie,Glenview,Northbrook,Des Plaines,2269,201,71,65,62,13238,16.64846258,1613.613122,250.884366,15.54798747,248.0244195,15.3707488,5.214501716,0.323156874,80.46635036,4.98671889,392.9565932,24.35259034,70.33247103,4.358694787,323.2232072,20.03102248,0,0,237.5642715,14.72250493,4.946941387,0.306575431,19218,5064,4115,3889,2867,2297,986,36.4352861,9531,3457,381,5402,447,18593,15408,9700,8695,1005,5708,367,8203,5285,947,1270,600,101,13089,11547,5897,1681,1105,1070,955,871,761,58744.97992,6443,3478,2965,513,6956,2475,91,1076,1155,2128,5.740181269,306,1421,2913,2316,n/a,1727,2091,2101,693,344,294,1210,1612,362,322531.1601
Norwood Park,37543,37023,-520,17158,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2232,1823,1802,1538,1313,13500,Health Care,Administration,Retail Trade,Finance,Accommodation and Food Service,8320,1330,683,597,559,Chicago,Des Plaines,Skokie,Niles,Park Ridge,9078,383,335,294,289,Chicago,Des Plaines,Skokie,Park Ridge,Mount Prospect,6435,372,336,279,236,13877,3.012774864,2799.807021,1322.440251,47.23326434,133.6874603,4.774881244,13.20083296,0.471490816,100.5487102,3.591272879,202.4609264,7.231245757,15.80775243,0.5646015,896.1232126,32.00660638,0,0,109.162007,3.898911825,6.375867811,0.22772526,37140,7902,6067,8260,7975,4012,2924,43.85221667,29301,5436,363,1475,564,36558,30308,19946,18132,1814,10362,556,17136,13192,1698,1782,365,100,27222,24587,8590,2426,3009,2276,2440,2440,1827,68811.57635,14419,11410,3008,1186,15604,10809,404,1107,600,2642,6.125721352,315,2282,9759,3247,n/a,1778,4719,6764,1856,486,1052,4699,4722,938,298903.0858
O'Hare,11665,12756,1091,5185,Health Care,Manufacturing,Retail Trade,Administration,Accommodation and Food Service,556,476,467,415,409,50522,Transportation,Information,Accommodation and Food Service,Administration,Professional,30492,3072,3033,2727,2285,Chicago,Elk Grove Village,Des Plaines,Rosemont,Schaumburg,2538,158,120,114,96,Chicago,Schaumburg,Des Plaines,Arlington Heights,Mount Prospect,15264,1040,686,669,618,15336,124.7169742,8536.205097,97.33730016,1.14028774,134.0280923,1.570113309,0,0,139.8222445,1.637990687,55.98485032,0.655851748,33.10546972,0.387824207,6620.046087,77.55256595,0,0,1454.737199,17.04196634,1.143853763,0.013400027,13890,2830,3736,2891,2672,1428,333,36.61486957,10239,1751,176,1319,405,13877,11314,7632,7006,626,3682,180,6684,5104,561,713,80,226,10315,9126,3355,1738,1629,1100,971,544,207,44300,6189,2781,3413,435,6630,855,28,350,446,4950,4.54377312,295,2953,3206,175,n/a,1611,3510,1472,21,16,1170,1045,502,62,170833.3333
Oakland,6110,5918,-192,1985,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,374,283,186,167,166,278,Health Care,Construction,Real Estate,Education,Finance,153,63,48,10,2,Chicago,Bedford Park,Evanston,Oak Lawn,Oak Brook,1558,15,14,13,10,Chicago,Calumet City,Calumet Park,Oak Lawn,Chicago Heights,174,5,5,4,3,8028,20.20603072,365.5176032,24.67093324,6.749588262,55.02136443,15.0529999,0.38070128,0.104154021,2.306626467,0.63105756,12.95268502,3.543655602,0,0,133.901826,36.63348217,0,0,93.29741944,25.52474043,42.98604729,11.76032205,6247,2165,1226,1303,930,489,134,31.67155172,105,200,5779,149,14,6241,4514,2976,2111,865,1538,91,1971,935,112,834,70,20,3738,3036,846,1595,533,278,98,143,178,21305.66802,2825,532,2293,319,3144,255,85,162,279,2363,4.366080662,1619,756,476,293,n/a,1033,1258,687,106,60,59,261,132,80,245180.7229
Portage Park,65340,64124,-1216,24338,Health Care,Retail Trade,Manufacturing,Administration,Accommodation and Food Service,2947,2738,2648,2228,2087,10187,Administration,Health Care,Retail Trade,Accommodation and Food Service,Finance,2421,2196,1948,738,637,Chicago,Elk Grove Village,Skokie,Des Plaines,Evanston,13655,577,567,461,361,Chicago,Des Plaines,Park Ridge,Niles,Skokie,4937,165,145,127,123,13081,1.089605753,2529.764416,938.0515981,37.08059107,398.7095665,15.76073898,41.85989895,1.654695539,146.4550861,5.789277657,89.76159501,3.548219528,24.75670014,0.978616822,811.8642879,32.09248588,0,0,70.06112711,2.769472393,8.244556142,0.325902131,63589,15771,13727,14419,12588,5287,1797,37.25598436,31863,27362,757,2461,1146,63452,50976,36359,31875,4433,14617,784,30441,20214,3781,5242,879,325,43962,35510,10135,4708,5934,4357,3006,3053,1432,53556.6706,22489,12662,9828,2278,24767,10074,274,5664,4439,4244,5.702366223,552,2424,7258,14534,n/a,4614,8790,7269,2837,1258,1292,7167,3752,451,257670.1154
Pullman,8921,7325,-1596,2402,Health Care,Education,Administration,Retail Trade,Public Administration,443,381,213,200,190,1699,Manufacturing,Education,Wholesale Trade,Retail Trade,Construction,758,431,161,97,65,Chicago,South Holland,Rolling Meadows,Oak Lawn,Alsip,1584,26,23,22,19,Chicago,Lansing,Calumet City,Oak Lawn,Tinley Park,726,28,25,18,16,12042,3.325613687,1354.494757,139.7074099,10.3143559,78.54793418,5.799057825,2.658253775,0.196254268,45.90089536,3.388783539,161.6066968,11.93114229,400.8160184,29.59155186,439.9181927,32.47839761,0,0,2.452325167,0.181050916,82.88703056,6.119405789,6934,1591,1379,1364,1432,850,318,40.44308511,582,675,5626,30,21,6934,5638,3436,2599,837,2202,30,2430,1298,281,789,62,0,4970,4234,1043,976,773,547,440,154,25,40818.45238,2915,1424,1491,530,3445,1047,1416,283,438,246,5.541595197,6,409,1637,1393,n/a,342,1575,1263,198,67,936,425,63,0,131935.4839
Riverdale,9809,6482,-3327,1288,Health Care,Retail Trade,Administration,Transportation,Accommodation and Food Service,292,162,153,111,110,1315,Manufacturing,Utilities,Transportation,Wholesale Trade,Health Care,474,233,228,116,80,Chicago,Calumet City,Rolling Meadows,Lansing,Oak Brook,764,21,14,13,12,Chicago,Calumet City,Orland Park,Tinley Park,Lansing,313,44,36,28,27,10209,27.94073406,2258.721095,223.5550319,9.897416394,49.8569831,2.207310288,0.977390241,0.043271843,28.59030657,1.265774098,58.48802626,2.58943109,331.3889544,14.6715305,1138.798354,50.41783852,6.687370084,0.296068873,269.2048118,11.91846184,151.1738662,6.692896549,7006,3282,1512,1223,581,332,76,21.64109589,0,308,6670,0,28,6956,4190,2340,1368,972,1850,91,1230,614,79,396,133,8,3010,2185,180,1643,377,175,98,0,0,14008.45865,2293,261,2032,1007,3300,610,1601,87,105,897,5.049147442,147,372,2242,539,n/a,471,1245,1142,359,83,248,13,0,0,80581.39535
Rogers Park,63484,54991,-8493,22568,Health Care,Education,Accommodation and Food Service,Retail Trade,Professional,3569,2577,2237,2185,1968,9724,Education,Health Care,Manufacturing,Other Service,Retail Trade,3242,2125,1649,795,609,Chicago,Evanston,Skokie,Glenview,Northbrook,12601,1576,580,279,245,Chicago,Skokie,Evanston,Niles,Oak Park,5478,489,347,140,120,8041,1.139995613,1175.400564,146.1614364,12.43503201,370.845858,31.55059385,21.38082507,1.819024571,63.57863747,5.409103876,79.32176396,6.748487825,50.45838877,4.292867497,370.9506368,31.55950815,0,0,68.60583659,5.836804804,4.097180935,0.348577418,57165,13194,18055,12566,9101,3044,1205,32.6592437,22304,14189,15461,3450,1761,54085,47074,33040,29747,3283,14034,1730,27541,10714,2391,11615,2499,322,37660,31060,15360,8253,5904,4171,2109,2562,1005,39440.38929,24004,6748,17256,3713,27717,1468,718,884,3295,21325,4.485426334,1195,3080,7747,15695,n/a,13556,9597,3259,865,440,1494,3735,1076,443,211241.2178
