GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Cook County,5376741,5194675,-182066,5227827.0,1345694.0,1214211.0,1057577.0,961163.0,462687.0,186495.0,35.7,2266635.0,1281217.0,1248338.0,343048.0,88589.0,5140700.0,4157059.0,2757313.0,2433661.0,322732.0,1399746.0,99838,2283178.0,1483723.0,212463.0,430767.0,128317.0,27908.0,3513404.0,2980558.0,1238952.0,462004.0,429872.0,331375.0,231831.0,255320.0,226658.0,54828.0,1937060.0,1115461.0,821599.0,239973.0,2177033.0,872996.0,114759.0,213916.0,248817.0,710928.0,5.1,179484.0,534329.0,784646.0,678574.0,1957.0,442534.0,692524.0,697854.0,258292.0,85829.0,302465.0,460890.0,226625.0,125481.0,222200.0,2104183.0,Health Care,Retail Trade,Education,Professional,Manufacturing,291662.0,205288.0,203262.0,180856.0,177385.0,2348313.0,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,322986.0,226687.0,219107.0,217326.0,185784.0,Cook County,DuPage County,Lake County,Will County,Kane County,1654603.0,181866.0,79007.0,46790.0,33502.0,Cook County,DuPage County,Will County,Lake County,Kane County,1654603.0,172470.0,106219.0,100797.0,61200.0,29.95518,18.27696,48.23213,38.09548,9.219,47.31448,51.08278,24.70505,75.78783,36.59955,16.80863,53.40819,2131857.0,-17545.0,-0.8162735495733231,13903,70046938551,82948767647,37136249633,7795871659,324507862,5150390,0,128210547191,72,18.85832975,612941.8586,180711.381,29.48263012,30615.16207,4.994790557,2501.193832,0.408063799,32519.18071,5.305426649,34961.26683,5.703847166,36647.18998,5.9789015,157506.5162,25.69681186,16022.45123,2.614024642,97867.78644,15.96689557,23589.73025,3.848608138
DuPage County,904161,916924,12763,926485.0,247437.0,174059.0,193699.0,195299.0,84202.0,31789.0,38.7,640577.0,127142.0,41920.0,97496.0,19350.0,913884.0,731189.0,515925.0,474601.0,41012.0,215264.0,23002,442325.0,364075.0,35490.0,29440.0,9506.0,3814.0,623597.0,575445.0,291269.0,40871.0,62680.0,56776.0,48203.0,62317.0,66156.0,79016.0,337003.0,248836.0,88167.0,19622.0,356625.0,213040.0,43913.0,2586.0,11395.0,85071.0,6.1,33173.0,205618.0,97098.0,20736.0,1977.0,43646.0,88013.0,119445.0,86169.0,19352.0,34177.0,104388.0,74628.0,35643.0,279700.0,438737.0,Health Care,Retail Trade,Professional,Manufacturing,Education,51968.0,44063.0,42620.0,41236.0,38695.0,566812.0,Health Care,Retail Trade,Professional,Wholesale Trade,Manufacturing,62022.0,58733.0,56004.0,53729.0,53510.0,DuPage County,Cook County,Kane County,Will County,Lake County,193126.0,172470.0,22130.0,16465.0,10537.0,DuPage County,Cook County,Will County,Kane County,Lake County,193126.0,181866.0,58269.0,44695.0,15718.0,32.22849,20.84434,53.07283,41.40158,11.63052,53.0321,55.21277,29.23816,84.45094,39.44489,19.78022,59.22511,542236.0,29783.0,5.811850062347181,19551,19841563654,24551674202,5468064649,2448068227,34598681,2166831,0,32504572590,43,45.40336659,215304.6651,74159.96021,34.44419571,5376.291594,2.497062287,13.27813844,0.006167139,12899.09396,5.991088931,15679.92703,7.282669432,11959.66516,5.554763597,43173.19363,20.05214035,3975.908103,1.846642803,41644.77637,19.34225455,6422.5709,2.983015206
Kane County,404119,515269,111150,521874.0,159657.0,97789.0,113243.0,95170.0,42518.0,13497.0,35.5,305106.0,162048.0,27475.0,18546.0,8699.0,516031.0,392782.0,275166.0,250660.0,24397.0,117616.0,11107,234554.0,197455.0,23802.0,6709.0,4089.0,2499.0,330832.0,274685.0,105286.0,25350.0,34802.0,30156.0,24168.0,30856.0,25984.0,70514.0,171316.0,127614.0,43702.0,11536.0,182852.0,126687.0,19734.0,7619.0,7226.0,20223.0,6.2,41197.0,71089.0,41151.0,29415.0,1979.0,15337.0,46313.0,64950.0,46153.0,10099.0,32383.0,60105.0,27186.0,7940.0,216000.0,219049.0,Manufacturing,Health Care,Retail Trade,Education,Administration,28487.0,23897.0,23706.0,19188.0,17989.0,192135.0,Manufacturing,Health Care,Education,Retail Trade,Administration,30502.0,21816.0,21259.0,19178.0,18984.0,Kane County,Cook County,DuPage County,Lake County,McHenry County,74850.0,61200.0,44695.0,7721.0,6219.0,Kane County,Cook County,DuPage County,McHenry County,Kendall County,74850.0,33502.0,22130.0,12333.0,9497.0,30.6083,22.21555,52.82385,39.02244,13.09484,52.11728,52.64311,31.65156,84.29467,37.58724,21.36567,58.95291,169832.0,2786.0,1.6678040779186571,21448,6752164675,8664023693,1635006235,951961763,18291649,237050429,0,11506333769,N/A,60.53692107,335402.6908,60404.06715,18.00941638,1263.092802,0.376589943,56.19223537,0.016753663,6403.745944,1.909270891,9511.946519,2.835977999,9980.070387,2.975548694,33679.20969,10.04142501,169610.0245,50.56907089,31283.63363,9.327186242,13210.70798,3.938760286
Kendall County,54544,114736,60192,118194.0,38803.0,23050.0,28712.0,18530.0,7175.0,1924.0,33.7,86528.0,19155.0,6703.0,3948.0,1860.0,117910.0,85951.0,64369.0,59481.0,4831.0,21582.0,2522,55942.0,49332.0,4183.0,1569.0,378.0,480.0,73553.0,68339.0,25238.0,3426.0,6189.0,7367.0,6743.0,9026.0,5702.0,83844.0,38453.0,31961.0,6492.0,2294.0,40747.0,30282.0,6587.0,525.0,594.0,2683.0,6.7,20848.0,13102.0,4777.0,2020.0,2000.0,1737.0,7493.0,16715.0,12655.0,2147.0,7140.0,19118.0,4925.0,778.0,204100.0,58534.0,Retail Trade,Health Care,Manufacturing,Education,Wholesale Trade,6875.0,6839.0,6159.0,6103.0,4094.0,24222.0,Education,Retail Trade,Manufacturing,Transportation,Accommodation and Food Service,4303.0,3899.0,3086.0,2309.0,2157.0,DuPage County,Cook County,Kane County,Kendall County,Will County,14259.0,13952.0,9497.0,7728.0,5764.0,Kendall County,Kane County,Will County,DuPage County,Cook County,7728.0,3215.0,3214.0,2118.0,2052.0,30.45137,24.13736,54.58874,38.98115,15.19916,54.18031,52.20119,35.07961,87.2808,37.28876,23.61634,60.9051,,,,25109,1453134247,2031960284,302400517,77659872,3436234,113084918,0,2528541825,N/A,56.11816568,206340.7187,19743.58412,9.568438184,185.0371023,0.089675515,26.8620425,0.013018295,1597.035199,0.773979663,1691.666452,0.81984131,2352.044758,1.139883961,10240.96775,4.963134672,158230.891,76.68427831,6439.170145,3.120649276,5833.460145,2.827100817
Lake County,644356,703462,59106,703170.0,207638.0,123752.0,150013.0,142368.0,58006.0,21393.0,37.2,451700.0,143841.0,46644.0,45556.0,15429.0,684858.0,541258.0,378877.0,335183.0,33278.0,162381.0,21403,318692.0,262280.0,26856.0,14117.0,11650.0,3789.0,450871.0,402149.0,192336.0,34165.0,43309.0,39439.0,31143.0,41826.0,51964.0,77873.0,241846.0,181664.0,60182.0,18988.0,260834.0,175339.0,29968.0,6759.0,7434.0,36672.0,6.3,40719.0,132304.0,64756.0,23055.0,1980.0,23901.0,61886.0,89832.0,68289.0,16926.0,43628.0,65334.0,38936.0,33766.0,247300.0,292702.0,Manufacturing,Retail Trade,Health Care,Education,Professional,39226.0,32709.0,31731.0,26773.0,24288.0,299491.0,Manufacturing,Retail Trade,Health Care,Education,Administration,51550.0,35207.0,32288.0,28363.0,23150.0,Lake County,Cook County,DuPage County,McHenry County,Kane County,142576.0,100797.0,15718.0,6858.0,4466.0,Lake County,Cook County,McHenry County,DuPage County,Kane County,142576.0,79007.0,19248.0,10537.0,7721.0,31.79921,22.27251,54.07172,40.3842,13.16869,53.55289,56.25734,31.76583,88.02317,39.04972,21.43937,60.48909,280126.0,8430.0,3.1027324656969553,21120,12278897494,17986600287,3557931152,941835797,28494978,131981893,0,22646844107,55,76.77472825,301154.3722,99521.25023,33.04658986,3126.917631,1.038310554,117.4201695,0.038990026,12081.71757,4.011802146,11787.6191,3.9141451,7967.214245,2.645558219,48379.79,16.06478088,44276.26372,14.70218194,54439.09725,18.07680787,19457.08229,6.460833407
McHenry County,260077,308760,48683,307888.0,88455.0,50748.0,70314.0,64158.0,26645.0,7568.0,38.9,255364.0,36623.0,3563.0,7854.0,4484.0,306347.0,237884.0,171858.0,155400.0,16319.0,66026.0,8409,144263.0,125214.0,11827.0,4162.0,1994.0,1066.0,202364.0,186521.0,65235.0,13621.0,19882.0,20107.0,17128.0,21563.0,16920.0,76345.0,109221.0,89100.0,20121.0,7313.0,116534.0,90540.0,11841.0,2093.0,3028.0,8390.0,6.6,26175.0,58319.0,22194.0,9846.0,1987.0,6435.0,25562.0,47002.0,31288.0,6247.0,20937.0,47154.0,17305.0,3704.0,213400.0,144141.0,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19500.0,16570.0,14528.0,14109.0,10713.0,84430.0,Manufacturing,Retail Trade,Education,Health Care,Administration,15098.0,10785.0,10158.0,8962.0,6173.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,41786.0,19248.0,12333.0,10209.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,7646.0,6858.0,6219.0,2107.0,30.57602,23.6657,54.24172,38.9871,14.66238,53.64948,52.68985,34.24164,86.9315,37.57113,23.05786,60.62898,78429.0,-539.0,-0.6825549589707224,23160,3992941779,5564836513,816255227,281349955,12346414,234218929,10455494,6919462532,N/A,118.2516963,391049.2172,67308.16345,17.21219746,535.1468628,0.136848979,76.56675292,0.019579825,4786.006447,1.223888512,4976.680257,1.272648055,8980.421462,2.296493911,28040.23905,7.170514047,221678.0127,56.6880083,36587.5966,9.356263863,18080.38364,4.623557047
Will County,502266,677560,175294,682108.0,208312.0,120737.0,158169.0,125149.0,52977.0,16764.0,36.2,451501.0,109841.0,73878.0,32850.0,14038.0,674029.0,515967.0,359559.0,327270.0,32101.0,156408.0,12663,308461.0,267448.0,21424.0,13225.0,2645.0,3719.0,433388.0,392361.0,141404.0,29265.0,39975.0,40497.0,35127.0,44739.0,33776.0,76142.0,223379.0,182913.0,40466.0,15142.0,238521.0,176865.0,28808.0,4926.0,5644.0,18799.0,6.5,66613.0,109814.0,44455.0,17639.0,1990.0,14077.0,47809.0,98475.0,65701.0,12459.0,42966.0,94408.0,36360.0,9179.0,212700.0,304479.0,Health Care,Retail Trade,Education,Manufacturing,Professional,38319.0,34289.0,29829.0,28701.0,21715.0,206593.0,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,25130.0,22644.0,22206.0,21855.0,16877.0,Cook County,Will County,DuPage County,Kane County,Lake County,106219.0,94189.0,58269.0,9442.0,4904.0,Will County,Cook County,DuPage County,Kane County,Kendall County,94189.0,46790.0,16465.0,6152.0,5764.0,31.12459,22.99297,54.11756,39.77915,13.95851,53.73766,54.34335,33.10088,87.44423,38.31954,22.29183,60.61137,178695.0,50338.0,39.21718332463364,23984,9119801956,12870087673,2181381228,2649330030,66798394,265279914,150,18032877389,20,89.54963478,543444.34,84822.82339,15.60837369,1192.084251,0.219357193,73.27833801,0.013484056,9830.557393,1.808935464,14382.25944,2.646500917,19875.54069,3.657327757,66213.47856,12.18404051,257310.4917,47.34808568,61051.68874,11.2342119,28692.13747,5.279682823
CMAP Region,8146264.0,8431386.0,285122.0,8487546.0,2295996.0,1804346.0,1771727.0,1601837.0,734210.0,279430.0,36.2,4457411.0,1879867.0,1448521.0,549298.0,152449.0,8353759.0,6662090.0,4523067.0,4036256.0,474670.0,2139023.0,178944.0,3787415.0,2749527.0,336045.0,499989.0,158579.0,43275.0,5628009.0,4880058.0,2059720.0,608702.0,636709.0,525717.0,394343.0,465647.0,427160.0,62903.0,3058278.0,1977549.0,1080729.0,314868.0,3373146.0,1685749.0,255610.0,238424.0,284138.0,882766.0,6.0,408209.0,1124575.0,1059077.0,781285.0,1966.0,547667.0,969600.0,1134273.0,568547.0,153059.0,483696.0,851397.0,425965.0,216491.0,228938.0,3561825.0,0,0,0,0,0,0,0,0,0,0,3721996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381175.0,73253.0,2.214471804353307,16723.0,123485442356.0,154617950299.0,51097288641.0,15146077303.0,488474212.0,988933304.0,10455644.0,222349179403.0,0,38.95215466,2605637.8626,586671.22955,157.37184140400007,42293.732313099994,9.352635028000009,2864.79150874,0.5160568029999979,80117.33722299998,21.024392256000027,92991.36562799999,24.47562997899999,97762.14668199999,24.248477639000015,387233.39488,96.172847329,871104.042953,250.452292565,329313.749175,86.42426927100001,115286.072675,29.961557723999988
