,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR
56,Portage Park,53847.0889,36325.19572,31697.35471,10089.97196,352.0,5799.0,4471.476636,4070.0,1924.033092,4421.476636,8598.271028,7750.953271,2800.196262,1262.551402,208.0,12671.54093,9830.0,2331.476636,63613.58384,22501.54093,32424.35496,26387.22889,811.0,2715.0,65340,64124,2014
57,Pullman,42938.80606,3719.0,2872.0,1053.0,1442.0,269.0,483.0,271.0,1947.791781,318.0,1602.0,1259.0,302.0,37.0,0.0,1377.0,1607.0,534.0,7262.0,2984.0,522.0,549.0,6131.0,39.0,8921,7325,2014
58,Riverdale,14204.39034,2194.0,1434.0,680.0,1766.0,86.0,170.0,642.0,1947.456781,423.0,1266.0,1169.0,435.0,51.0,6.0,299.0,2023.0,1022.0,6820.0,2322.0,0.0,136.0,6678.0,0.0,9809,6482,2014
59,Rogers Park,39269.40559,33271.0,30380.0,1585.0,827.0,945.0,3479.0,21043.0,1927.136983,13500.0,9652.0,3391.0,826.0,543.0,322.0,6995.0,16986.0,3931.0,57559.0,23981.0,21819.0,14280.0,15662.0,3876.0,63484,54991,2014
60,Roseland,37967.11247,17935.0,14275.0,10671.0,1304.0,2597.0,1557.0,2140.0,1944.886308,1737.0,5945.0,6571.0,2692.0,1366.0,66.0,8896.0,6628.0,2787.0,45285.0,15524.0,503.0,357.0,43581.0,217.0,52723,44619,2014
61,South Chicago,30559.4811,11913.0,9548.0,4129.0,408.0,3683.0,3699.0,2518.0,1928.344853,2262.0,4991.0,5253.0,1465.0,489.0,152.0,4472.0,6298.0,3690.0,29458.0,10770.0,927.0,6962.0,21206.0,86.0,38596,31198,2014
62,South Deering,32278.30531,6897.0,5772.0,2649.0,1759.0,830.0,337.0,329.0,1951.134653,534.0,2027.0,2653.0,546.0,152.0,0.0,3128.0,2204.0,580.0,16445.0,5332.0,891.0,5198.0,10022.0,49.0,16990,15109,2014
63,South Lawndale,32837.37404,29169.0,24549.0,3559.0,312.0,7339.0,6816.0,2721.0,1908.428605,2369.0,10532.0,6060.0,1110.0,676.0,270.0,5915.0,10539.0,4293.0,70557.0,16454.0,3065.0,59370.0,7856.0,115.0,91071,79288,2014
64,South Shore,30421.32802,24725.40702,19838.26465,3577.0,865.0,2430.0,6554.0,16785.0,1943.098342,11877.0,10043.0,5966.0,1724.0,631.0,310.0,5675.0,17345.0,7221.0,50138.0,23020.0,762.0,843.0,47241.0,114.0,61556,52010,2014
65,The Loop,79016.47872,17499.0,16495.0,153.0,186.0,147.0,122.0,16761.0,1985.010865,10047.0,6035.0,1246.0,240.0,14.0,615.0,6257.0,8300.0,3025.0,26363.0,14557.0,16716.0,1452.0,3139.0,4362.0,16388,29283,2014
66,Uptown,43513.89218,35284.0,32104.0,1102.0,424.0,999.0,1931.0,27975.0,1929.320245,18038.0,9259.0,4343.0,428.0,376.0,571.0,9490.0,19951.0,3003.0,54995.0,29441.0,28769.0,7010.0,11062.0,6402.0,63551,56362,2014
