,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
0,Albany Park,57655,51542,51575.0,14932.0,24892.0,2337.0,7883.0,1531.0,29653.0,27243.0,55560.95736724009,16411.0,6415.0,9996.0,1685.0,3413.0,226.0,3476.0,3654.0,7303.0,,4353.0,7239.0,4790.0,1336.0,378.0,2018
1,Archer Heights,12644,13393,13233.0,2477.0,10178.0,79.0,439.0,60.0,6700.0,6038.0,44948.55967078189,3906.0,2188.0,1719.0,361.0,1904.0,44.0,1092.0,1019.0,183.0,,353.0,1497.0,1762.0,393.0,263.0,2018
2,Armour Square,12032,13391,13699.0,1599.0,423.0,1248.0,10299.0,130.0,6688.0,5879.0,26543.20987654321,5165.0,1912.0,3252.0,527.0,381.0,674.0,855.0,1114.0,2653.0,,1414.0,1813.0,2049.0,261.0,153.0,2018
3,Ashburn,39584,41081,43283.0,5044.0,16374.0,20721.0,314.0,830.0,22477.0,19608.0,65498.638529611984,12833.0,10784.0,2049.0,649.0,11887.0,103.0,347.0,388.0,748.0,,373.0,2421.0,6905.0,2802.0,981.0,2018
4,Auburn Gresham,55928,48743,45770.0,257.0,614.0,44267.0,153.0,479.0,20671.0,15788.0,29820.675105485232,17279.0,7529.0,9750.0,3304.0,8613.0,307.0,4152.0,3445.0,4031.0,,3573.0,7132.0,6686.0,2264.0,928.0,2018
5,Austin,117527,98514,97611.0,4407.0,12270.0,79668.0,475.0,791.0,41617.0,34244.0,31919.547588561672,32379.0,12960.0,19419.0,4834.0,9847.0,615.0,11490.0,6869.0,8293.0,,6583.0,14019.0,11165.0,3422.0,2024.0,2018
6,Avalon Park,11147,10185,9795.0,37.0,68.0,9573.0,19.0,99.0,4294.0,3255.0,37670.94017094017,3873.0,2528.0,1344.0,625.0,2760.0,233.0,362.0,441.0,701.0,,1016.0,935.0,1444.0,689.0,413.0,2018
7,Avondale,43083,39262,38191.0,11898.0,23368.0,800.0,1340.0,785.0,21034.0,19633.0,47714.28571428572,13518.0,4992.0,8526.0,1620.0,2397.0,376.0,4558.0,4625.0,3162.0,,2956.0,6989.0,3952.0,807.0,434.0,2018
8,Belmont Cragin,78144,78743,78107.0,10859.0,62945.0,2194.0,1333.0,775.0,40700.0,36277.0,44795.727136431786,21941.0,10981.0,10961.0,2325.0,9010.0,544.0,5977.0,5547.0,3096.0,,3588.0,9917.0,6759.0,2633.0,1370.0,2018
9,Beverly,21992,20034,20836.0,12043.0,1200.0,7047.0,89.0,457.0,10866.0,10152.0,91006.600660066,7610.0,6162.0,1448.0,424.0,6261.0,72.0,329.0,242.0,1114.0,,894.0,1434.0,3218.0,1724.0,764.0,2018
10,Bridgeport,33694,31977,32789.0,10955.0,8160.0,863.0,12193.0,618.0,18073.0,16279.0,42629.65425531915,12540.0,5572.0,6969.0,1184.0,3739.0,461.0,3387.0,3916.0,2206.0,,2163.0,5608.0,4258.0,1314.0,383.0,2018
11,Brighton Park,44912,45368,44231.0,2798.0,37468.0,453.0,3253.0,259.0,20782.0,18383.0,38673.096976016684,12185.0,5778.0,6407.0,1767.0,3305.0,255.0,6474.0,3475.0,411.0,,1196.0,5980.0,5104.0,1126.0,546.0,2018
12,Burnside,3294,2916,2442.0,11.0,0.0,2419.0,0.0,12.0,1029.0,840.0,24462.36559139785,926.0,437.0,489.0,378.0,685.0,53.0,221.0,117.0,228.0,,337.0,293.0,402.0,202.0,70.0,2018
13,Calumet Heights,15974,13812,13306.0,161.0,465.0,12566.0,12.0,102.0,6306.0,5395.0,48160.71428571428,5298.0,4058.0,1240.0,721.0,4595.0,176.0,557.0,454.0,189.0,,346.0,1463.0,3110.0,779.0,321.0,2018
14,Chatham,37275,31028,30991.0,459.0,311.0,29836.0,93.0,291.0,15032.0,12161.0,32348.214285714286,13534.0,5142.0,8393.0,3066.0,5268.0,534.0,1719.0,2422.0,6638.0,,4642.0,5705.0,4659.0,1238.0,357.0,2018
