,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
10,Bridgeport,33694,31977,33878.0,10818.0,9546.0,951.0,11702.0,861.0,18834.0,16720.0,43056.49241146712,12519.0,5609.0,6911.0,1310.0,3873.0,438.0,3622.0,3694.0,2168.0,-9999,2043.0,5442.0,4626.0,1297.0,422.0,2017
11,Brighton Park,44912,45368,44202.0,2844.0,37620.0,677.0,2955.0,106.0,20579.0,17856.0,36077.44107744108,12030.0,5554.0,6476.0,1963.0,3206.0,263.0,6402.0,3541.0,546.0,-9999,1217.0,6154.0,4998.0,1047.0,577.0,2017
12,Burnside,3294,2916,2601.0,0.0,0.0,2601.0,0.0,0.0,1089.0,855.0,23632.075471698117,887.0,405.0,482.0,389.0,683.0,12.0,219.0,174.0,188.0,-9999,290.0,276.0,458.0,235.0,17.0,2017
13,Calumet Heights,15974,13812,13732.0,308.0,443.0,12835.0,5.0,141.0,6486.0,5392.0,49922.94520547945,5369.0,4176.0,1193.0,621.0,4491.0,183.0,544.0,505.0,235.0,-9999,322.0,1450.0,3121.0,759.0,338.0,2017
14,Chatham,37275,31028,31392.0,389.0,287.0,30329.0,109.0,278.0,14979.0,11933.0,32221.746575342466,13560.0,5027.0,8534.0,2972.0,5366.0,454.0,1580.0,2938.0,6175.0,-9999,4594.0,5575.0,4653.0,1288.0,424.0,2017
15,Chicago Lawn,61412,55628,55551.0,1873.0,26377.0,26100.0,529.0,672.0,25571.0,19975.0,33121.70474516696,15705.0,7021.0,8684.0,3025.0,8045.0,114.0,4071.0,3609.0,2851.0,-9999,3259.0,5480.0,6749.0,2126.0,1116.0,2017
16,Clearing,22331,23139,24962.0,11871.0,12361.0,140.0,319.0,271.0,13331.0,11966.0,60623.916811091854,8530.0,6034.0,2496.0,622.0,5234.0,525.0,529.0,831.0,2007.0,-9999,971.0,2618.0,4227.0,926.0,410.0,2017
17,Douglas,26470,18238,20323.0,2165.0,485.0,14365.0,2913.0,395.0,9591.0,8101.0,29184.78260869565,9276.0,1688.0,7588.0,1267.0,706.0,675.0,290.0,604.0,8253.0,-9999,5067.0,3162.0,1633.0,558.0,123.0,2017
18,Dunning,42164,41932,43025.0,28340.0,11448.0,1035.0,1775.0,427.0,23552.0,21824.0,59737.31884057971,15432.0,11214.0,4218.0,1054.0,10595.0,483.0,1230.0,1203.0,2908.0,-9999,1585.0,6465.0,5767.0,2047.0,622.0,2017
19,East Garfield Park,20881,20567,20656.0,878.0,727.0,18854.0,57.0,140.0,7032.0,5604.0,21481.92771084337,6923.0,1580.0,5343.0,1488.0,967.0,330.0,2104.0,2467.0,2540.0,-9999,1880.0,2389.0,2982.0,879.0,282.0,2017
20,East Side,23653,23042,23784.0,4040.0,18968.0,684.0,28.0,64.0,11267.0,9330.0,43421.05263157895,6802.0,4564.0,2238.0,935.0,4804.0,226.0,1634.0,870.0,183.0,-9999,369.0,2373.0,3645.0,1019.0,331.0,2017
21,Edgewater,62198,56521,54873.0,29912.0,8918.0,7853.0,6324.0,1866.0,34299.0,31487.0,46173.6641221374,28675.0,10751.0,17924.0,3718.0,1963.0,421.0,1922.0,2825.0,25234.0,-9999,17589.0,9853.0,3750.0,803.0,398.0,2017
22,Edison Park,11328,11187,11208.0,9787.0,1060.0,120.0,164.0,78.0,6243.0,5930.0,86299.72565157751,4440.0,3510.0,928.0,409.0,3263.0,106.0,151.0,243.0,1085.0,-9999,483.0,1464.0,1765.0,856.0,279.0,2017
23,Englewood,40222,30654,26121.0,199.0,682.0,24810.0,76.0,354.0,9960.0,6371.0,19853.784403669724,9103.0,2500.0,6603.0,5177.0,3327.0,376.0,4988.0,2167.0,3374.0,-9999,2520.0,4878.0,4734.0,1508.0,640.0,2017
24,Forest Glen,18165,18508,18459.0,13258.0,2205.0,177.0,2475.0,344.0,9449.0,8875.0,101558.60349127182,6665.0,5958.0,709.0,498.0,5858.0,304.0,254.0,290.0,459.0,-9999,350.0,1483.0,3686.0,1262.0,383.0,2017
25,Fuller Park,3420,2876,2543.0,70.0,181.0,2273.0,16.0,3.0,1042.0,718.0,20092.59259259259,1086.0,385.0,706.0,436.0,303.0,69.0,442.0,216.0,482.0,-9999,476.0,431.0,462.0,95.0,63.0,2017
26,Gage Park,39193,39894,41202.0,1460.0,38009.0,1342.0,350.0,41.0,19821.0,16664.0,38582.31707317073,9742.0,5415.0,4327.0,933.0,5125.0,91.0,2562.0,2167.0,730.0,-9999,1250.0,3735.0,3799.0,1143.0,748.0,2017
27,Garfield Ridge,36101,34513,35570.0,16837.0,16581.0,1462.0,417.0,273.0,18312.0,16225.0,60851.41903171953,12016.0,9730.0,2308.0,608.0,10266.0,189.0,620.0,693.0,822.0,-9999,804.0,2547.0,6693.0,1828.0,774.0,2017
28,Grand Boulevard,28006,21929,22373.0,719.0,574.0,20274.0,117.0,689.0,10355.0,8132.0,30260.20408163265,9697.0,2476.0,7355.0,2379.0,1083.0,700.0,668.0,3193.0,6546.0,-9999,3408.0,3351.0,3667.0,1310.0,474.0,2017
29,Greater Grand Crossing,38619,32602,32346.0,466.0,358.0,31077.0,4.0,441.0,14274.0,10714.0,26515.052356020944,11959.0,3929.0,8030.0,3683.0,4302.0,213.0,4441.0,2605.0,4050.0,-9999,3156.0,5812.0,4638.0,1554.0,482.0,2017
30,Hegewisch,9781,9426,8985.0,4087.0,4267.0,566.0,0.0,65.0,4406.0,4007.0,50337.83783783784,3547.0,2516.0,1031.0,378.0,2507.0,18.0,770.0,259.0,164.0,-9999,416.0,1059.0,1747.0,541.0,162.0,2017
31,Hermosa,26908,25010,25489.0,1880.0,22491.0,379.0,355.0,384.0,13254.0,11975.0,39156.92007797271,7099.0,2883.0,4216.0,752.0,2246.0,60.0,2486.0,2115.0,937.0,-9999,1109.0,3050.0,2557.0,741.0,394.0,2017
32,Humboldt Park,65836,56323,55011.0,2958.0,28612.0,22481.0,271.0,689.0,24206.0,19993.0,32073.024740622503,16519.0,5983.0,10536.0,3124.0,4158.0,236.0,6552.0,5454.0,3225.0,-9999,3364.0,7342.0,6509.0,1671.0,757.0,2017
33,Hyde Park,29920,25681,26893.0,12584.0,1891.0,8047.0,3244.0,1127.0,14281.0,13153.0,51231.95380173244,12468.0,4489.0,7979.0,1909.0,745.0,1010.0,113.0,1246.0,11232.0,-9999,6559.0,3433.0,2699.0,1314.0,372.0,2017
34,Irving Park,58643,53359,56520.0,22650.0,26359.0,1271.0,4614.0,1626.0,31818.0,29649.0,51996.7707212056,20300.0,9127.0,11173.0,2177.0,5643.0,534.0,5063.0,4250.0,6898.0,-9999,4885.0,9232.0,5505.0,1966.0,889.0,2017
35,Jefferson Park,25859,25448,27264.0,17761.0,6218.0,250.0,2444.0,591.0,14915.0,13395.0,60471.74840085288,10255.0,6341.0,3914.0,827.0,5168.0,108.0,2463.0,1691.0,1652.0,-9999,1581.0,4118.0,3734.0,1193.0,456.0,2017
36,Kenwood,18363,17841,17601.0,2978.0,667.0,11916.0,1520.0,520.0,9185.0,7812.0,39157.608695652176,8928.0,2646.0,6282.0,1404.0,720.0,737.0,197.0,688.0,7985.0,-9999,3976.0,3494.0,1818.0,709.0,335.0,2017
37,Lake View,94817,94368,98212.0,78186.0,7125.0,3428.0,6748.0,2725.0,73436.0,70696.0,76854.22491456974,52403.0,18990.0,33413.0,5009.0,3464.0,1558.0,3489.0,8706.0,40066.0,-9999,26562.0,18455.0,8679.0,2713.0,1003.0,2017
38,Lincoln Park,64320,64116,66959.0,53676.0,4418.0,3204.0,3785.0,1876.0,45458.0,43557.0,94087.16449641244,32438.0,13806.0,18632.0,3097.0,3297.0,3218.0,1592.0,5328.0,22029.0,-9999,15475.0,10503.0,5963.0,2358.0,1236.0,2017
39,Lincoln Square,44574,39493,40761.0,26405.0,7184.0,1398.0,4480.0,1294.0,26626.0,24709.0,62933.9762611276,18253.0,6976.0,11277.0,1348.0,2773.0,487.0,2892.0,3264.0,10164.0,-9999,6914.0,6897.0,4184.0,1036.0,570.0,2017
40,Logan Square,82715,72791,73702.0,32145.0,34595.0,3438.0,2008.0,1516.0,45081.0,42336.0,59216.40091116173,28768.0,10522.0,18246.0,3242.0,4776.0,1015.0,6770.0,8595.0,10806.0,-9999,7417.0,13406.0,8358.0,1943.0,886.0,2017
41,Lower West Side,44031,35769,34410.0,4617.0,27693.0,1117.0,598.0,385.0,18478.0,16380.0,36089.74358974359,11958.0,3177.0,8781.0,1871.0,1607.0,243.0,3410.0,4629.0,3934.0,-9999,2901.0,6734.0,3278.0,624.0,292.0,2017
42,McKinley Park,15962,15612,16336.0,2802.0,9612.0,507.0,3136.0,279.0,8224.0,7088.0,43827.75119617225,5166.0,2883.0,2283.0,454.0,1786.0,319.0,1958.0,971.0,562.0,-9999,453.0,2154.0,2344.0,414.0,255.0,2017
43,Montclare,12646,13426,13024.0,3637.0,8114.0,577.0,615.0,81.0,6432.0,5737.0,43014.98127340824,4425.0,2642.0,1782.0,584.0,2520.0,91.0,820.0,648.0,928.0,-9999,827.0,2017.0,1402.0,468.0,293.0,2017
44,Morgan Park,25226,22544,22924.0,6558.0,641.0,15126.0,54.0,545.0,10699.0,9377.0,60747.01195219124,8139.0,5974.0,2165.0,868.0,6426.0,462.0,307.0,546.0,1215.0,-9999,826.0,2022.0,3798.0,1827.0,533.0,2017
45,Mount Greenwood,18820,19093,18783.0,16289.0,1205.0,664.0,383.0,242.0,9475.0,8791.0,89535.74975173784,6457.0,5621.0,836.0,559.0,6134.0,38.0,28.0,179.0,622.0,-9999,403.0,1769.0,3536.0,979.0,329.0,2017
46,Near North Side,72811,80484,85711.0,61334.0,4530.0,7910.0,9723.0,2214.0,58990.0,55273.0,84975.80290365157,53764.0,21884.0,31880.0,9769.0,1555.0,1837.0,533.0,1570.0,58031.0,-9999,36082.0,18217.0,7620.0,1253.0,361.0,2017
47,Near South Side,9509,21390,22401.0,10404.0,1393.0,5382.0,4450.0,772.0,15480.0,14893.0,78290.01650165017,12489.0,6025.0,6464.0,1876.0,422.0,1408.0,54.0,374.0,12107.0,-9999,5561.0,6580.0,1824.0,358.0,42.0,2017
48,Near West Side,46419,54881,61768.0,25876.0,6186.0,18772.0,9615.0,1319.0,38412.0,34543.0,72143.1484502447,27652.0,10245.0,17407.0,2885.0,1108.0,2677.0,1577.0,3231.0,21888.0,-9999,12984.0,11054.0,4903.0,1273.0,323.0,2017
49,New City,51721,44377,40997.0,5061.0,24961.0,9827.0,799.0,349.0,18738.0,14608.0,30420.918367346934,11710.0,4502.0,7203.0,3858.0,3565.0,319.0,6070.0,3985.0,1597.0,-9999,1989.0,5832.0,5601.0,1496.0,645.0,2017
50,North Center,31895,31867,34623.0,26322.0,4987.0,674.0,1493.0,1147.0,22271.0,21317.0,92663.61256544504,14543.0,7373.0,7170.0,1676.0,3930.0,470.0,4021.0,3494.0,4284.0,-9999,3081.0,6722.0,3959.0,1601.0,856.0,2017
51,North Lawndale,41768,35912,35276.0,811.0,2470.0,31397.0,99.0,499.0,12336.0,9450.0,22383.485309017226,10869.0,2687.0,8182.0,3774.0,1729.0,384.0,4055.0,4891.0,3565.0,-9999,1777.0,4892.0,6175.0,1463.0,336.0,2017
52,North Park,18514,17931,18442.0,9358.0,3632.0,473.0,4541.0,438.0,9334.0,8485.0,51818.181818181816,6530.0,3301.0,3229.0,538.0,2260.0,129.0,1055.0,1256.0,2339.0,-9999,1807.0,2338.0,2165.0,556.0,202.0,2017
53,Norwood Park,37543,37023,36247.0,29297.0,4295.0,335.0,1520.0,800.0,19425.0,18031.0,71282.05128205128,14311.0,11567.0,2743.0,1386.0,11193.0,202.0,923.0,571.0,2797.0,-9999,1931.0,4929.0,6668.0,1726.0,442.0,2017
54,O'Hare,11665,12756,13695.0,10316.0,1161.0,106.0,1501.0,612.0,7145.0,6522.0,46638.418079096045,6321.0,2778.0,3548.0,359.0,861.0,38.0,435.0,390.0,4962.0,-9999,1840.0,3371.0,1392.0,14.0,67.0,2017
55,Oakland,6110,5918,6422.0,142.0,209.0,5946.0,109.0,16.0,3155.0,2477.0,28435.672514619884,2793.0,558.0,2235.0,345.0,269.0,92.0,102.0,292.0,2383.0,-9999,1022.0,1188.0,700.0,151.0,77.0,2017
56,Portage Park,65340,64124,64841.0,32639.0,27107.0,812.0,2868.0,1415.0,37416.0,33926.0,57030.70827142149,22589.0,12933.0,9657.0,2193.0,10422.0,207.0,5835.0,4208.0,4047.0,-9999,3992.0,9370.0,7170.0,2969.0,1281.0,2017
57,Pullman,8921,7325,6501.0,464.0,551.0,5380.0,34.0,72.0,3384.0,2728.0,36728.39506172839,2894.0,1276.0,1618.0,556.0,985.0,1511.0,311.0,327.0,306.0,-9999,458.0,1489.0,1151.0,278.0,74.0,2017
58,Riverdale,9809,6482,7090.0,77.0,278.0,6676.0,26.0,33.0,2353.0,1393.0,14845.505617977527,2294.0,241.0,2053.0,972.0,540.0,1542.0,141.0,102.0,941.0,-9999,431.0,1263.0,1244.0,270.0,58.0,2017
59,Rogers Park,63484,54991,54402.0,22769.0,13135.0,13320.0,3501.0,1677.0,31691.0,28580.0,37223.34004024145,23820.0,5925.0,17895.0,3744.0,1515.0,609.0,855.0,3074.0,21498.0,-9999,14090.0,9008.0,3365.0,728.0,373.0,2017
60,Roseland,52723,44619,42505.0,557.0,450.0,40846.0,185.0,467.0,18155.0,13540.0,37241.97247706422,14332.0,8012.0,6320.0,3450.0,10414.0,1460.0,2511.0,1383.0,1955.0,-9999,1551.0,5408.0,6818.0,2656.0,1349.0,2017
61,South Chicago,38596,31198,28095.0,782.0,6083.0,20818.0,110.0,302.0,12409.0,9700.0,28503.81679389313,10190.0,3965.0,6225.0,3818.0,4151.0,373.0,3391.0,3121.0,2957.0,-9999,2463.0,4742.0,4803.0,1379.0,621.0,2017
62,South Deering,16990,15109,15305.0,592.0,4580.0,9971.0,8.0,154.0,6989.0,5222.0,35056.02240896359,5068.0,2928.0,2140.0,718.0,2737.0,1674.0,639.0,307.0,393.0,-9999,387.0,2054.0,2368.0,672.0,305.0,2017
63,South Lawndale,91071,79288,73826.0,2267.0,62928.0,8158.0,181.0,292.0,29229.0,25383.0,30700.55796652201,18048.0,6452.0,11596.0,3441.0,3700.0,477.0,8030.0,6324.0,2881.0,-9999,2617.0,10852.0,6056.0,1255.0,709.0,2017
64,South Shore,61556,52010,51451.0,1104.0,894.0,48089.0,182.0,1182.0,23772.0,18497.0,26425.173010380626,22545.0,5187.0,17358.0,6377.0,3775.0,655.0,2438.0,5763.0,16260.0,-9999,10623.0,9741.0,6033.0,1773.0,752.0,2017
65,The Loop,16388,29283,33442.0,20378.0,2156.0,4131.0,5733.0,1044.0,22787.0,21494.0,93254.38230383974,18095.0,7455.0,10640.0,3371.0,417.0,186.0,72.0,28.0,20639.0,-9999,11297.0,8093.0,1806.0,236.0,34.0,2017
66,Uptown,63551,56362,55137.0,30371.0,6402.0,11445.0,4831.0,2088.0,35418.0,31941.0,45710.645526613815,29231.0,8797.0,20434.0,3117.0,1354.0,578.0,600.0,2293.0,27492.0,-9999,18006.0,9023.0,4440.0,608.0,271.0,2017
67,Washington Heights,29843,26493,27116.0,351.0,287.0,25968.0,0.0,510.0,13177.0,10583.0,44071.26168224299,9501.0,6522.0,2979.0,959.0,7842.0,161.0,543.0,678.0,1218.0,-9999,884.0,2529.0,4910.0,1594.0,543.0,2017
68,Washington Park,14146,11717,12081.0,48.0,158.0,11595.0,9.0,271.0,4967.0,3389.0,22084.745762711864,4336.0,683.0,3653.0,1372.0,266.0,190.0,438.0,1299.0,3510.0,-9999,1104.0,2008.0,2030.0,481.0,85.0,2017
69,West Elsdon,15921,18109,19219.0,3241.0,15402.0,264.0,306.0,7.0,9285.0,7914.0,44791.1227154047,5088.0,3516.0,1571.0,303.0,3790.0,169.0,481.0,490.0,443.0,-9999,305.0,1742.0,2271.0,705.0,367.0,2017
70,West Englewood,45282,35505,32156.0,235.0,1563.0,29955.0,11.0,392.0,13296.0,8674.0,27399.38080495356,9744.0,4636.0,5108.0,3346.0,6562.0,232.0,3888.0,1533.0,849.0,-9999,1138.0,3782.0,5055.0,1981.0,1134.0,2017
71,West Garfield Park,23019,18001,17742.0,315.0,354.0,16962.0,61.0,50.0,5699.0,4682.0,23947.368421052637,5359.0,1380.0,3979.0,2271.0,824.0,78.0,2909.0,1842.0,1977.0,-9999,1497.0,2095.0,2979.0,818.0,240.0,2017
72,West Lawn,29235,33355,32749.0,4989.0,26395.0,1067.0,178.0,120.0,16396.0,14185.0,50384.16763678696,9074.0,6554.0,2520.0,700.0,6603.0,120.0,1243.0,805.0,955.0,-9999,898.0,2167.0,3953.0,1955.0,801.0,2017
73,West Pullman,36649,29651,27982.0,280.0,1351.0,26132.0,67.0,152.0,12304.0,9095.0,33898.4375,9058.0,5513.0,3546.0,2211.0,7633.0,329.0,1941.0,580.0,580.0,-9999,709.0,2664.0,5478.0,1727.0,693.0,2017
74,West Ridge,73199,71942,72211.0,31978.0,12672.0,8110.0,16868.0,2583.0,36075.0,32885.0,46091.2343470483,24406.0,11376.0,13030.0,3470.0,5096.0,1390.0,2605.0,6940.0,11750.0,-9999,7199.0,10066.0,8576.0,1489.0,546.0,2017
75,West Town,87435,82236,86429.0,50531.0,23321.0,6480.0,3517.0,2580.0,59403.0,55658.0,75509.48125544899,37721.0,14262.0,23459.0,3098.0,4242.0,1678.0,5580.0,13981.0,15306.0,-9999,9037.0,18792.0,9862.0,2502.0,626.0,2017
76,Woodlawn,27086,23740,24150.0,1865.0,585.0,20456.0,747.0,497.0,9533.0,7359.0,23985.557083906464,9117.0,1932.0,7185.0,2984.0,982.0,421.0,2096.0,3088.0,5488.0,-9999,3028.0,3853.0,3813.0,1080.0,327.0,2017
