,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
0,Albany Park,57655,51542,52079.0,15349.0,25003.0,2215.0,8223.0,1289.0,29624.0,26868.0,51968.84984025559,16473.0,6405.0,10068.0,1718.0,3500.0,164.0,3570.0,3643.0,7290.0,-9999,4459.0,7331.0,4826.0,1234.0,341.0,2017
1,Archer Heights,12644,13393,13266.0,2572.0,10109.0,114.0,388.0,82.0,6594.0,5808.0,43393.536121673,3839.0,2140.0,1700.0,407.0,1951.0,57.0,1044.0,958.0,201.0,-9999,357.0,1455.0,1806.0,402.0,227.0,2017
2,Armour Square,12032,13391,14068.0,1545.0,438.0,1348.0,10324.0,413.0,6997.0,5919.0,24336.46112600536,5221.0,1858.0,3362.0,498.0,441.0,753.0,751.0,1160.0,2599.0,-9999,1358.0,1877.0,2040.0,285.0,158.0,2017
3,Ashburn,39584,41081,42752.0,5555.0,15455.0,20817.0,284.0,641.0,21985.0,19004.0,63573.16227461858,12823.0,10850.0,1973.0,658.0,11826.0,50.0,316.0,472.0,809.0,-9999,397.0,2221.0,7452.0,2548.0,863.0,2017
4,Auburn Gresham,55928,48743,45842.0,231.0,689.0,44402.0,117.0,403.0,20187.0,14910.0,29388.71473354232,17150.0,7498.0,9652.0,3285.0,8335.0,372.0,4132.0,3666.0,3874.0,-9999,3672.0,7045.0,6608.0,2139.0,971.0,2017
5,Austin,117527,98514,97643.0,4353.0,11132.0,81066.0,467.0,625.0,41638.0,33519.0,31634.300421151147,32037.0,12670.0,19367.0,5258.0,9937.0,616.0,11234.0,7074.0,8364.0,-9999,6788.0,13808.0,11384.0,3333.0,1982.0,2017
6,Avalon Park,11147,10185,9780.0,52.0,62.0,9521.0,59.0,86.0,4498.0,3493.0,41351.35135135135,3775.0,2500.0,1274.0,639.0,2652.0,255.0,332.0,464.0,711.0,-9999,956.0,957.0,1503.0,655.0,341.0,2017
7,Avondale,43083,39262,39721.0,12327.0,24563.0,842.0,1277.0,712.0,21289.0,19621.0,44663.32378223496,13564.0,5050.0,8514.0,1596.0,2472.0,445.0,4544.0,4767.0,2920.0,-9999,2835.0,6944.0,4121.0,707.0,553.0,2017
8,Belmont Cragin,78144,78743,79159.0,11276.0,63355.0,2483.0,1183.0,862.0,40580.0,35575.0,43533.84841795438,21726.0,10745.0,10982.0,2492.0,8771.0,517.0,5917.0,5720.0,3198.0,-9999,3475.0,10290.0,6548.0,2401.0,1506.0,2017
9,Beverly,21992,20034,20815.0,11604.0,1414.0,7257.0,101.0,439.0,10947.0,10163.0,90765.76576576575,7492.0,6227.0,1265.0,486.0,6290.0,60.0,348.0,224.0,1039.0,-9999,860.0,1417.0,3181.0,1876.0,644.0,2017
