,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
0,Albany Park,57655,51542,50342.99998,16126.99999,22985.99999,2501.999998,7202.999996,1524.999999,27977.99998,26352.99998,59883.04094,16678.0,6867.999998,9809.999999,1769.0,3682.999999,216.0,3554.999999,3710.999999,7269.999999,1786.762779,4254.0,7381.999998,4646.999999,1682.999999,480.9999997,2020
1,Archer Heights,12644,13393,13055.08151,2130.751491,10109.73559,122.8409542,647.9125252,43.84095428,6331.047113,5809.924449,44108.84007,3929.986605,2239.008347,1691.367431,427.7053568,2064.334026,81.7494781,1006.597077,1032.55741,172.8622128,1952.857965,308.398747,1547.770353,1942.557409,335.4363253,223.9373691,2020
2,Armour Square,12032,13391,13779.1184,1694.669183,595.5206042,1393.301799,10027.62682,68.00000001,6469.138782,5766.881268,27463.83031,5467.903671,2054.822284,3411.770095,356.0779817,488.0084624,599.4019747,873.4428759,1184.765866,2648.967558,1972.655546,1573.973201,1940.093087,1952.447107,212.90409,143.1692523,2020
3,Ashburn,39584,41081,43985.99999,4423.999999,17303.0,20913.99999,370.0000001,975.0000001,22511.0,19862.0,68463.735,13080.0,10843.00001,2237.000001,648.0000002,11985.00001,194.0000007,337.9999988,622.0000005,588.9999998,1957.475856,501.9999998,2407.000001,7277.000007,2585.000001,957.0000014,2020
4,Auburn Gresham,55928,48743,45271.00001,362.0000001,835.9999999,43529.00001,120.0,424.0000001,20074.00001,16299.00001,34661.2265,16966.99999,7606.999998,9359.999999,3758.999999,9124.999997,347.9999998,3689.0,3035.0,4495.0,1945.100108,3771.999999,6503.999999,6922.999999,2313.999999,1212.999999,2020
5,Austin,117527,98514,94762.00002,4562.999998,13617.0,74996.00001,500.0000002,1086.0,41841.00002,36165.00001,33419.90397,32222.0,13204.0,19018.0,5483.0,9727.000001,735.9999997,11782.0,6672.999998,8630.0,1775.471097,6874.999999,13583.0,11787.0,3572.000001,1888.0,2020
6,Avalon Park,11147,10185,9737.719124,61.66566266,55.00000004,9368.527106,80.00000003,172.5263555,4237.292519,3546.562082,43372.9383,3883.8577,2581.733105,1300.046795,622.7465888,2669.949743,238.1074528,319.0,499.6897744,777.5580605,1946.111652,963.5736586,1233.722705,1202.544195,702.615252,401.8492209,2020
7,Avondale,43083,39262,37908.99999,13175.0,21652.99999,742.9999999,1417.999999,919.9999997,21829.0,20782.0,60000.0,13387.99999,5288.999999,8099.000001,1877.999999,2551.0,404.9999997,4696.000001,4305.000001,3294.0,1786.167069,2835.0,6865.999999,4211.000001,892.0000002,461.9999998,2020
8,Belmont Cragin,78144,78743,80648.43439,10390.12976,66123.07801,1890.69464,1458.120887,786.4110908,41366.92469,38393.31327,50767.45194,22469.3551,11459.85469,11010.21529,2187.943872,9628.727668,504.7416577,5983.708289,5278.835308,3183.086114,1766.425584,3865.381055,9409.310013,6571.059205,2940.865448,1871.483316,2020
9,Beverly,21992,20034,20437.00001,11595.0,1096.000001,7136.000001,190.0,420.0000002,10691.00001,10227.00001,98415.94828,7557.0,6242.0,1315.0,486.0000002,6248.0,107.0,353.0000001,287.0000003,1027.0,1941.938272,757.9999998,1428.0,3250.0,1881.0,725.9999999,2020
