,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
48,Near West Side,46419,54881,58899,25091,6046,17802,8731,1229,37077,33063,70925.36408,26973,10156,16817,3077,1186,2492,1755,3108,21476,,12604,11110,4899,1189,248,2016
49,New City,51721,44377,41520,5441,23511,11217,913,437,18540,13923,30769.00238,11508,4591,6913,4006,3523,301,5937,4029,1685,,1875,5817,5711,1447,659,2016
50,North Center,31895,31867,34815,27043,4817,594,1313,1048,22655,21591,91860.46512,14670,7417,7253,1653,3833,546,4137,3648,4141,,3217,6573,4046,1636,851,2016
51,North Lawndale,41768,35912,35623,713,2358,32077,84,391,12406,9257,23324.59207,10755,2534,8221,3922,1585,376,4149,4846,3677,,1928,4981,6034,1347,387,2016
52,North Park,18514,17931,18058,8998,3864,531,4359,306,9318,8389,52590.23355,6476,3396,3080,590,2337,100,1070,1275,2265,,1758,2416,2027,624,241,2016
53,Norwood Park,37543,37023,36651,29745,4529,343,1359,675,19447,17723,71071.15821,14397,11634,2761,1287,11065,255,1113,549,2658,,1912,4815,6552,1813,591,2016
54,O'Hare,11665,12756,14329,10543,1678,152,1372,584,7484,6818,43702.2293,6221,2790,3436,455,834,20,392,452,4981,,1701,3369,1537,16,57,2016
55,Oakland,6110,5918,6473,147,122,6052,140,12,3139,2274,24841.26984,2810,594,2216,341,316,93,107,290,2345,,1055,1129,753,158,56,2016
56,Portage Park,65340,64124,64421,32750,26979,827,2866,999,37412,32973,55212.82051,22485,12552,9934,2356,10206,178,5622,4535,4206,,4256,9081,7458,2804,1243,2016
57,Pullman,8921,7325,6970,605,570,5735,42,18,3564,2647,38286.51685,2927,1446,1481,515,1054,1436,259,386,294,,371,1526,1251,225,69,2016
58,Riverdale,9809,6482,7190,74,180,6910,0,26,2512,1496,14390.49587,2316,251,2065,964,569,1578,80,98,955,,439,1297,1101,358,85,2016
59,Rogers Park,63484,54991,55053,22094,13530,14325,3526,1578,31727,28748,37932.09877,23487,6206,17281,4048,1580,628,834,3138,21317,,13966,9203,3147,809,410,2016
60,Roseland,52723,44619,44267,471,489,42822,150,335,18183,13623,38105.9719,14649,8138,6511,3158,10485,1408,2487,1413,1977,,1536,5508,6517,2861,1385,2016
61,South Chicago,38596,31198,28550,875,6494,20802,106,273,12160,9533,29518.18182,10176,3884,6292,3896,4021,391,3527,3231,2857,,2407,4638,4962,1501,564,2016
62,South Deering,16990,15109,15570,709,4931,9722,36,172,6771,5299,33625.49801,5002,2949,2053,776,2717,1689,609,330,428,,444,2026,2351,723,234,2016
63,South Lawndale,91071,79288,72881,2393,61499,8570,170,249,29161,24642,31385.56338,17447,6168,11279,3874,3730,437,7751,6481,2883,,2521,10694,6341,1094,671,2016
64,South Shore,61556,52010,51450,928,1179,48198,155,990,24463,18963,27391.3872,22729,5247,17482,6602,3723,737,2396,6255,16187,,11030,9966,5762,1790,783,2016
65,The Loop,16388,29283,30642,19094,1823,3786,5131,808,20993,19875,90436.02103,16694,6969,9725,3850,358,218,91,47,19696,,10927,7694,1747,137,39,2016
66,Uptown,63551,56362,54062,28972,6964,10785,5285,2056,35021,31483,44288.14383,29295,8918,20377,3142,1092,624,732,2227,27732,,18482,8782,4337,573,263,2016
67,Washington Heights,29843,26493,26435,198,359,25394,1,483,12989,9977,40607.31132,9283,6254,3029,1135,7620,154,610,720,1307,,1009,2728,4681,1450,550,2016
68,Washington Park,14146,11717,11647,33,246,11070,11,287,4668,3280,22270.91633,4172,751,3421,1483,248,194,451,1391,3328,,965,2036,2053,528,73,2016
69,West Elsdon,15921,18109,19192,3403,15371,135,260,24,9415,8149,44883.38192,5087,3701,1386,330,3738,205,490,501,466,,317,1673,2236,733,457,2016
70,West Englewood,45282,35505,34272,258,1297,32203,11,503,14220,8987,27061.45967,10036,4816,5220,3231,6700,207,3851,1565,922,,1245,3618,5222,1969,1213,2016
71,West Garfield Park,23019,18001,18894,289,399,18091,49,65,5915,4702,25421.12299,5432,1358,4074,2339,751,99,3028,1932,1961,,1492,2333,2932,805,208,2016
72,West Lawn,29235,33355,33477,5350,26926,932,143,126,16123,14049,48891.99255,9050,6711,2339,699,6824,118,1058,726,991,,814,2171,4215,1772,777,2016
73,West Pullman,36649,29651,28171,279,1275,26308,51,258,11820,8796,34154.35746,9159,5556,3604,2136,7621,373,1991,551,602,,717,2620,5437,1833,689,2016
74,West Ridge,73199,71942,73019,32839,13088,7644,17097,2351,35670,32115,48066.74566,24245,11542,12703,3468,5053,1353,2859,7182,11155,,6852,9780,8785,1719,577,2016
75,West Town,87435,82236,85211,49536,23740,6205,3351,2379,58449,54058,71267.18213,37218,14267,22951,3518,4261,1663,5833,13895,15039,,8686,19128,9999,2330,593,2016
76,Woodlawn,27086,23740,22817,1951,438,19339,640,449,9723,7508,25801.33556,8954,1921,7033,3051,977,458,2089,3212,5254,,3072,3798,3795,1038,302,2016
