,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
59,Rogers Park,63484,54991,55062,23754,12072,14521,2792,1923,32411,29897,39106.1828,24088,5746,18342,3485,1528,541,997,2416,22057,0,14050,8576,3801,871,275,2019
60,Roseland,52723,44619,42433,456,548,40849,126,454,18876,14259,38685.63686,14330,7854,6476,3521,10596,1364,2508,1537,1737,0,1602,5428,7013,2628,1180,2019
61,South Chicago,38596,31198,28263,791,5885,21317,15,255,12909,10283,29580.68615,10406,4023,6383,3716,4572,216,3378,2780,3160,0,2372,4632,5017,1567,534,2019
62,South Deering,16990,15109,14614,600,4591,9360,1,62,6324,4907,34093.75,5009,2943,2066,832,2925,1541,600,352,400,0,417,2311,2295,644,174,2019
63,South Lawndale,91071,79288,74851,2856,62512,9101,142,240,28221,25763,32896.0396,17824,6363,11461,3141,3681,374,7951,6214,2674,0,2234,10958,5643,1327,803,2019
64,South Shore,61556,52010,50418,1459,660,47315,270,714,22835,18598,24344.64405,22654,4985,17669,6570,3692,655,2509,4746,17610,0,10504,10151,6183,1555,831,2019
65,The Loop,16388,29283,35880,22244,2471,3945,6226,994,24030,22828,103336.2793,19216,7613,11603,3820,630,187,17,43,22159,0,10938,9294,2469,234,101,2019
66,Uptown,63551,56362,57973,31602,8324,10487,5812,1748,36790,34325,49680.90452,29341,8794,20547,3258,1466,558,595,2391,27529,0,17866,9211,4362,1016,144,2019
67,Washington Heights,29843,26493,27453,183,215,26293,8,754,13405,10943,44706.60147,9570,6497,3073,900,7845,198,488,674,1253,0,1180,2313,4648,1829,500,2019
68,Washington Park,14146,11717,11502,85,278,10760,14,365,4757,3651,25384.61538,4334,584,3750,1342,295,234,437,1082,3606,0,1112,2173,1754,495,142,2019
69,West Elsdon,15921,18109,19237,2727,15840,266,380,24,9596,8466,54849.39759,5143,3668,1475,326,4034,166,392,509,346,0,212,1923,2046,901,386,2019
70,West Englewood,45282,35505,29929,289,1918,27304,4,414,12258,8386,28006.27943,9642,4481,5161,3247,6329,280,3951,1426,873,0,1119,4013,4779,1820,1158,2019
71,West Garfield Park,23019,18001,17163,384,356,16206,44,172,5705,4565,23250.0,5336,1375,3961,2137,766,89,2830,1915,1852,0,1282,2290,2923,753,224,2019
72,West Lawn,29235,33355,33108,5033,26666,1152,185,72,16394,14241,50497.88136,8988,6375,2613,819,6660,102,1205,934,843,0,838,2548,3761,1855,805,2019
73,West Pullman,36649,29651,27742,158,1682,25634,65,203,12895,9653,38144.49064,9137,5737,3401,2084,7858,349,1858,508,429,0,657,2852,5379,1634,700,2019
74,West Ridge,73199,71942,76215,32173,14256,9201,17200,3385,38121,34858,49855.33454,25194,11738,13456,2991,5340,1424,2951,5898,12504,0,7263,10235,8673,1311,703,2019
75,West Town,87435,82236,84502,51498,21219,5630,3725,2430,60234,57405,88761.04764,37529,14808,22721,3367,4113,1650,5366,13823,15914,0,8446,19319,10106,2372,653,2019
76,Woodlawn,27086,23740,23268,2051,695,19279,711,532,9437,7773,25122.2597,9247,1970,7277,2763,991,431,1800,2662,6118,0,3268,3713,3616,1137,276,2019
