,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
0,Albany Park,57655,51542,51992,15608,24927,2401,7536,1520,29224,27098,58128.20513,16563,6738,9825,1677,3507,175,3723,3598,7221,0,4182,7202,4869,1516,471,2019
1,Archer Heights,12644,13393,13142,2213,10181,115,581,52,6561,5956,46632.12435,3894,2110,1784,391,1834,89,1043,1135,153,0,325,1491,1907,353,210,2019
2,Armour Square,12032,13391,13455,1728,538,1218,9832,138,6620,5849,26466.21622,5209,1927,3280,517,365,670,883,1139,2645,0,1603,1843,1877,222,178,2019
3,Ashburn,39584,41081,43792,4745,16924,20837,315,971,22287,19383,66560.12658,12982,10946,2036,630,11934,121,352,530,675,0,457,2339,7225,2524,1067,2019
4,Auburn Gresham,55928,48743,46278,324,862,44435,143,514,20714,16330,31694.19134,17111,7389,9722,3503,9003,366,3906,3234,4076,0,3705,6833,6619,2295,1162,2019
5,Austin,117527,98514,95260,4403,12398,76989,483,987,41036,34730,32843.04285,31766,12886,18880,5482,9793,680,11465,6688,8476,0,6775,13795,11394,3272,2012,2019
6,Avalon Park,11147,10185,9985,61,66,9705,38,115,4244,3486,41394.23077,3880,2563,1315,673,2697,226,330,499,800,0,1054,1069,1297,707,424,2019
7,Avondale,43083,39262,37368,12843,21491,784,1537,713,21058,19896,51702.6749,13335,4934,8401,1774,2403,410,4557,4503,3219,0,2917,7040,3962,829,361,2019
8,Belmont Cragin,78144,78743,79910,10745,64782,2103,1562,719,40846,37066,47262.93103,22105,11204,10902,2273,9184,497,6100,5458,3076,0,3510,9710,6848,2828,1483,2019
9,Beverly,21992,20034,20822,12012,1095,7031,163,521,10756,10089,91903.40909,7673,6184,1489,375,6230,61,332,254,1154,0,848,1565,3173,1820,642,2019
10,Bridgeport,33694,31977,33637,11315,8061,848,13135,279,18656,17004,45670.73171,12734,5870,6866,1093,3876,492,3342,3839,2273,0,2215,5337,4331,1443,504,2019
11,Brighton Park,44912,45368,44813,3160,37301,433,3623,296,20894,18601,40513.36898,12314,6094,6220,1627,3432,276,6373,3335,509,0,1235,6123,4900,1109,574,2019
12,Burnside,3294,2916,2254,10,33,2197,0,14,1116,867,24940.94488,965,451,514,350,651,50,309,82,223,0,310,352,448,128,77,2019
13,Calumet Heights,15974,13812,13188,219,457,12426,13,73,6448,5652,49767.65799,5271,3922,1349,773,4565,153,548,557,199,0,295,1565,2844,993,347,2019
14,Chatham,37275,31028,31120,509,385,29829,111,286,15255,12360,32596.80135,13668,5332,8338,3078,5443,596,1849,2492,6367,0,4542,5677,4795,1312,422,2019
15,Chicago Lawn,61412,55628,53098,1878,26322,23801,227,870,25821,20135,33843.62348,16001,7005,8996,2996,7776,163,4195,4156,2663,0,3329,6270,6237,1939,1222,2019
16,Clearing,22331,23139,25891,11176,13698,400,184,433,13332,11986,62381.75676,8760,5970,2790,482,5263,509,658,927,1868,0,1006,2808,4012,939,477,2019
17,Douglas,26470,18238,20781,2297,661,14718,2655,450,9769,8306,31906.97674,9590,1811,7779,1196,789,669,379,579,8357,0,5221,3200,1587,591,187,2019
18,Dunning,42164,41932,43689,28165,12245,807,2202,270,23484,22210,65947.63092,15616,11505,4111,1008,10771,387,1191,1126,3080,0,1777,5996,5935,2301,615,2019
19,East Garfield Park,20881,20567,19996,1120,719,17729,145,284,7309,5959,23116.16162,6818,1540,5278,1517,852,374,2225,2521,2363,0,1745,2438,3022,911,220,2019
20,East Side,23653,23042,23737,3841,19092,695,65,44,11059,9032,43224.40087,6834,4573,2262,974,4755,187,1692,962,213,0,394,2218,3599,1282,317,2019
21,Edgewater,62198,56521,55965,30785,9326,7446,6579,1829,34615,32474,49287.01181,28890,10514,18376,3700,2169,397,1949,2399,25664,0,17914,9697,3602,909,468,2019
22,Edison Park,11328,11187,11605,9599,1201,194,309,301,6616,6425,99194.21488,4572,3593,978,325,3235,120,152,253,1137,0,402,1565,1793,972,165,2019
23,Englewood,40222,30654,25075,181,843,23711,68,272,9483,6251,19795.0429,9164,2302,6862,5063,3243,293,4983,1956,3652,0,2659,4671,4756,1555,586,2019
24,Forest Glen,18165,18508,19019,13444,2613,188,2395,378,9667,9299,110365.4791,6797,6050,748,435,5978,300,297,232,426,0,349,1626,3565,1318,375,2019
25,Fuller Park,3420,2876,2439,75,173,2175,12,4,929,650,23357.14286,1072,364,712,441,305,81,460,201,461,0,483,439,446,92,56,2019
26,Gage Park,39193,39894,40873,1532,37659,1448,193,41,19693,16980,41138.39286,9672,5336,4336,1050,5186,120,2524,2198,686,0,1347,3631,3578,1294,872,2019
27,Garfield Ridge,36101,34513,36396,16263,17848,1602,360,323,18731,16962,68211.92053,12160,9871,2308,668,10594,174,698,666,655,0,685,2630,6618,2179,735,2019
28,Grand Boulevard,28006,21929,22313,603,387,20546,88,689,10682,8735,31970.13487,10121,2409,7914,2006,1303,607,664,2945,6810,0,3525,3500,3817,1100,387,2019
29,Greater Grand Crossing,38619,32602,31766,393,450,30556,4,363,13880,10824,27035.42781,12129,4089,8040,3509,4798,268,3876,2114,4573,0,3038,5803,4441,1815,541,2019
30,Hegewisch,9781,9426,9418,3654,5405,341,0,18,4675,4285,55429.6875,3508,2541,966,444,2811,0,678,116,154,0,319,956,2023,523,129,2019
31,Hermosa,26908,25010,24144,2205,20469,753,440,277,12795,11852,39590.64327,7022,3186,3836,770,2414,101,2260,1983,1022,0,1155,3182,2311,812,332,2019
32,Humboldt Park,65836,56323,56427,3480,31676,19849,385,1037,25411,22324,35941.35802,16813,5959,10854,2814,3822,262,6568,5603,3336,0,3067,7765,6248,1786,761,2019
33,Hyde Park,29920,25681,26827,12453,2246,7366,3559,1203,14730,13741,52627.11864,12602,4575,8027,1673,815,1055,136,857,11369,0,6539,3307,2479,1434,516,2019
34,Irving Park,58643,53359,54606,22786,23704,1479,4786,1851,31388,29533,59537.67123,20236,9595,10641,2290,6073,708,5055,3513,7085,0,4677,9197,5597,2231,824,2019
35,Jefferson Park,25859,25448,26808,17522,5948,236,2476,626,14962,14103,71459.19421,10359,6559,3800,815,5447,96,2291,1530,1804,0,1742,4234,3656,1149,393,2019
36,Kenwood,18363,17841,17189,2913,397,11724,1582,573,9016,8039,44087.98283,9181,2986,6195,1246,775,758,136,629,8092,0,4379,3087,1882,739,340,2019
37,Lake View,94817,94368,100470,79382,8323,3475,6441,2849,75100,72712,86118.62301,52747,19971,32776,4892,4113,1576,3226,8372,40293,0,26124,18720,8687,2823,1285,2019
38,Lincoln Park,64320,64116,67710,53512,4446,3206,4653,1893,45750,44327,99684.56573,32336,13784,18552,3111,3350,3186,1679,4809,22325,0,15215,10788,5778,2354,1312,2019
39,Lincoln Square,44574,39493,41715,26782,6978,1594,4650,1711,26914,25776,71736.93086,18296,7552,10744,1407,2910,492,2994,3811,9487,0,6078,7003,4911,1117,594,2019
40,Logan Square,82715,72791,73046,33559,31793,3657,2347,1690,46345,44373,70338.93986,29171,10850,18321,3223,4857,797,7018,8494,11165,0,7405,13205,8705,2226,853,2019
41,Lower West Side,44031,35769,32888,5268,25116,1288,803,413,17885,16640,42457.55518,11947,3557,8390,1769,1641,311,3584,4262,3911,0,2590,6726,3411,655,334,2019
42,McKinley Park,15962,15612,15767,2667,9550,164,3106,280,7943,6986,44904.21456,5140,2830,2310,414,1780,249,2022,914,574,0,524,2149,2085,538,258,2019
43,Montclare,12646,13426,13830,4535,8088,518,448,240,6758,6233,48122.3176,4538,2826,1711,531,2702,91,626,520,1129,0,893,2034,1189,566,386,2019
44,Morgan Park,25226,22544,22394,6209,843,14712,30,599,10204,9005,58816.25442,8079,5650,2429,910,6304,392,412,569,1294,0,815,2076,3825,1852,422,2019
45,Mount Greenwood,18820,19093,19277,16330,1652,629,433,233,9932,9620,94677.08333,6595,5606,989,437,6105,49,46,138,677,0,453,1697,3609,921,352,2019
46,Near North Side,72811,80484,88893,63507,5305,8049,9982,2050,61173,58780,93707.26029,55152,22713,32439,10027,1593,1833,481,1336,59923,0,37499,18946,7066,1230,438,2019
47,Near South Side,9509,21390,23620,11063,1247,5537,5098,675,16607,16092,94151.75613,13436,7230,6206,1336,300,1451,102,338,12560,0,5398,7147,1789,416,22,2019
48,Near West Side,46419,54881,62872,26122,6245,18151,10780,1574,38516,35286,80727.42475,28162,10145,18017,3080,1251,2516,1443,3044,22959,0,13926,10722,4994,1254,346,2019
49,New City,51721,44377,39561,4858,24525,8838,1031,309,18029,14730,32861.79922,12112,4486,7622,3319,3775,320,6286,3631,1359,0,1765,6281,5420,1304,658,2019
50,North Center,31895,31867,35789,27568,4192,668,1791,1570,22288,21477,104351.2165,14488,7724,6764,1739,4322,570,3661,3426,4239,0,2685,6531,4108,1821,1082,2019
51,North Lawndale,41768,35912,35947,966,3140,31270,77,494,13817,11064,26361.91199,11295,2913,8382,3426,1678,353,4097,5130,3463,0,1506,5227,6106,1502,380,2019
52,North Park,18514,17931,18842,9789,3154,541,4703,655,9199,8552,56086.95652,6514,3193,3321,521,2167,95,1112,1155,2468,0,1770,2498,2037,515,215,2019
53,Norwood Park,37543,37023,37089,30218,4377,165,1231,1098,19646,18734,74069.37653,14809,11494,3314,1009,10918,220,1128,673,2878,0,2036,4953,6432,1865,532,2019
54,Oakland,6110,5918,6645,172,324,5959,140,50,3240,2509,28291.45729,2934,486,2448,273,263,125,111,267,2441,0,1137,1057,744,155,114,2019
55,O'Hare,11665,12756,12377,9886,800,151,981,559,6915,6387,49294.87179,6125,2464,3666,540,858,38,440,310,5024,0,2247,3110,1219,24,71,2019
56,Portage Park,65340,64124,64307,32324,26215,901,3260,1607,36593,34010,61392.54837,22689,13010,9679,2331,10550,336,5657,4135,4254,0,4153,9312,7111,3156,1289,2019
57,Pullman,8921,7325,6613,680,307,5495,10,121,3525,2911,40662.05534,3083,1366,1717,397,1052,1559,256,299,309,0,506,1410,1180,311,73,2019
58,Riverdale,9809,6482,7394,151,306,6882,23,32,2742,1766,13344.7099,2428,239,2189,876,526,1674,86,114,904,0,435,1301,1308,237,23,2019
