GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Montclare,12646,13426,780,13024.0,3409.0,2937.0,2708.0,2364.0,1213.0,393.0,35.88679347826087,3637.0,8114.0,577.0,615.0,81.0,12941.0,10191.0,6432.0,5737.0,696.0,3759.0,108.0,5373.0,3798.0,570.0,765.0,101.0,140.0,8532.0,6618.0,1316.0,1049.0,1412.0,605.0,564.0,610.0,186.0,43014.98127340824,4425.0,2642.0,1782.0,584.0,5008.0,2520.0,91.0,820.0,648.0,928.0,5.540579710144928,545.0,635.0,2173.0,1655.0,-9999,827.0,2017.0,1402.0,468.0,293.0,534.0,1646.0,418.0,44.0,208347.97891036907,5114.0,Manufacturing,Health Care,Retail Trade,Administration,Accommodation and Food Service,615.0,593.0,586.0,516.0,461.0,2298.0,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Other Service,689.0,549.0,412.0,195.0,89.0,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,2595.0,692.0,270.0,176.0,127.0,Outside of Chicago,Belmont Cragin,Montclare,Austin,Portage Park,1264.0,116.0,109.0,84.0,74.0,,,,,,,,,,,,,,,,13473,,,,,,,,,,0.8027803696703342,633.066887030142,249.145843460763420,0.39355374379090047,66.422055891669032,0.10492107114189737,5.827577207211466,0.009205310412853737,55.159080789118036,0.0871299414314364,28.527306419504960,0.045062073224731304,19.826208327782279,0.03131771497446573,193.169076716636000,0.30513217587929015,n/a,n/a,10.455411534586432,0.016515492673507378,4.534326682870255,0.0071624764709173035
Morgan Park,25226,22544,-2682,22924.0,5741.0,3857.0,3934.0,5241.0,2695.0,1457.0,42.66311760612387,6558.0,641.0,15126.0,54.0,545.0,22564.0,18423.0,10699.0,9377.0,1314.0,7724.0,305.0,8864.0,6713.0,275.0,1590.0,247.0,38.0,15652.0,14224.0,5023.0,1793.0,1676.0,1315.0,1193.0,1320.0,841.0,60747.011952191235,8139.0,5974.0,2165.0,868.0,9007.0,6426.0,462.0,307.0,546.0,1215.0,6.533657745336577,564.0,1240.0,4597.0,2607.0,-9999,826.0,2022.0,3798.0,1827.0,533.0,2063.0,3062.0,763.0,86.0,184338.80308880308,9155.0,Education,Health Care,Public Administration,Retail Trade,Administration,1398.0,1385.0,1229.0,765.0,692.0,3176.0,Health Care,Retail Trade,Accommodation and Food Service,Education,Professional,893.0,797.0,416.0,220.0,205.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Morgan Park,3605.0,2600.0,460.0,385.0,232.0,Outside of Chicago,Morgan Park,Beverly,West Pullman,Mount Greenwood,1671.0,232.0,120.0,82.0,72.0,,,,,,,,,,,,,,,,16625,,,,,,,,,,2.987908198837948,2109.213553675568,907.743040100246840,0.43037038071293976,70.636182648831621,0.033489346076758915,6.631301152660384,0.003143968585402134,106.750763831135840,0.05061164320943666,183.089598649297440,0.08680467576658653,63.017071942519514,0.029877046746975618,645.875478258305980,0.30621625635431143,n/a,n/a,68.494807550161113,0.032474097955041276,56.975309542409512,0.027012584592547736
Mount Greenwood,18820,19093,273,18783.0,5513.0,3510.0,4122.0,3516.0,1488.0,634.0,36.3141557496361,16289.0,1205.0,664.0,383.0,242.0,18056.0,14574.0,9475.0,8791.0,672.0,5099.0,178.0,8398.0,7170.0,406.0,615.0,175.0,32.0,12040.0,11451.0,4274.0,748.0,817.0,1078.0,1007.0,1912.0,895.0,89535.74975173784,6457.0,5621.0,836.0,559.0,7016.0,6134.0,38.0,28.0,179.0,622.0,6.207945375543141,228.0,1124.0,4994.0,670.0,-9999,403.0,1769.0,3536.0,979.0,329.0,745.0,3787.0,1009.0,80.0,228886.8613138686,9757.0,Public Administration,Education,Health Care,Retail Trade,Accommodation and Food Service,2123.0,1561.0,1098.0,670.0,607.0,2915.0,Education,Retail Trade,Health Care,Accommodation and Food Service,Administration,1036.0,514.0,439.0,257.0,200.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Mount Greenwood,4303.0,3203.0,334.0,313.0,228.0,Outside of Chicago,Mount Greenwood,Beverly,Morgan Park,Ashburn,1894.0,228.0,94.0,66.0,44.0,,,,,,,,,,,,,,,,20779,,,,,,,,,,1.6171530185176537,1735.1765477858312,747.927257690118150,0.4310381319091186,19.691162680790509,0.01134821854635909,7.919742929514460,0.004564228890495571,36.744147865987138,0.021176028406374232,524.149192564147260,0.30207254312708803,0.181815786957802,0.00010478229848703736,365.265753754679390,0.2105063915373776,n/a,n/a,30.374985146817092,0.017505414757695428,2.922489366819744,0.0016842605270045755
Near North Side,72811,80484,7673,85711.0,7721.0,36283.0,14429.0,14208.0,10183.0,2887.0,34.47304832713755,61334.0,4530.0,7910.0,9723.0,2214.0,83788.0,79466.0,58990.0,55273.0,3717.0,20476.0,4323.0,50102.0,14458.0,1373.0,14048.0,17115.0,3108.0,71363.0,69676.0,56374.0,9766.0,6404.0,7991.0,6819.0,7974.0,14810.0,84975.80290365157,53764.0,21884.0,31880.0,9769.0,63533.0,1555.0,1837.0,533.0,1570.0,58031.0,3.733956403572023,16300.0,24485.0,13919.0,8829.0,-9999,36082.0,18217.0,7620.0,1253.0,361.0,971.0,5441.0,6591.0,7094.0,396356.6507684155,43261.0,Professional,Finance,Health Care,Education,Accommodation and Food Service,8989.0,5290.0,4644.0,3645.0,2947.0,150936.0,Accommodation and Food Service,Professional,Retail Trade,Health Care,Other Service,28550.0,20814.0,16824.0,14072.0,12178.0,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,13654.0,12496.0,7480.0,3213.0,748.0,Outside of Chicago,Near North Side,Lake View,West Town,Lincoln Park,65776.0,7480.0,7309.0,5002.0,4060.0,,,,,,,,,,,,,,,,6581,,,,,,,,,,0.8693829655778799,1754.479941981974,86.015374292735075,0.04902613716721466,294.446169224236940,0.16782532657034055,22.617367010063539,0.012891208653268215,296.509110444299150,0.16900114008105632,121.115595702571650,0.06903219170790385,82.697289198610420,0.04713492996972665,715.454041688851590,0.40778695986722335,0.981433057139127,0.000559386877931723,74.515683362645660,0.042471664440043654,60.127878000820729,0.03427105466529095
Near South Side,9509,21390,11881,22401.0,3634.0,7309.0,5679.0,3605.0,1827.0,347.0,35.48791569992266,10404.0,1393.0,5382.0,4450.0,772.0,22195.0,19032.0,15480.0,14893.0,583.0,3552.0,937.0,13388.0,6336.0,1011.0,3893.0,1624.0,524.0,17356.0,16245.0,12206.0,2082.0,2036.0,1967.0,1212.0,2181.0,3011.0,78290.01650165017,12489.0,6025.0,6464.0,1876.0,14365.0,422.0,1408.0,54.0,374.0,12107.0,3.808596837944664,9477.0,2283.0,1107.0,1498.0,-9999,5561.0,6580.0,1824.0,358.0,42.0,111.0,2009.0,2252.0,1556.0,353215.6368221942,10920.0,Professional,Health Care,Education,Finance,Administration,1771.0,1612.0,1262.0,1124.0,681.0,14620.0,Arts and Entertainment,Health Care,Accommodation and Food Service,Administration,Construction,3695.0,3129.0,2710.0,1516.0,731.0,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,3322.0,3015.0,1152.0,994.0,519.0,Outside of Chicago,West Town,South Shore,Austin,Near South Side,5018.0,276.0,273.0,272.0,265.0,,,,,,,,,,,,,,,,10237,,,,,,,,,,7.499208876909834,1140.882984757923,57.521785122161049,0.05041865457776658,96.602646374186193,0.08467357973147766,8.569154193245185,0.007510984305777355,320.780473367335110,0.28116860155943124,48.586638049997497,0.04258687236036464,21.743697498740467,0.01905865701323798,335.435980857464190,0.2940143602269941,n/a,n/a,167.989778051657200,0.14724540579181478,83.652831243136006,0.07332288443313562
Near West Side,46419,54881,8462,61768.0,12086.0,26997.0,11762.0,7005.0,3024.0,894.0,30.43560395599511,25876.0,6186.0,18772.0,9615.0,1319.0,56877.0,53553.0,38412.0,34543.0,3844.0,15141.0,1867.0,32186.0,12573.0,1600.0,8550.0,8796.0,667.0,41339.0,37942.0,27244.0,7277.0,3083.0,3933.0,2955.0,4663.0,5741.0,72143.1484502447,27652.0,10245.0,17407.0,2885.0,30537.0,1108.0,2677.0,1577.0,3231.0,21888.0,3.991077931536781,11822.0,7750.0,2926.0,8039.0,-9999,12984.0,11054.0,4903.0,1273.0,323.0,635.0,3804.0,4341.0,1404.0,321444.9917898194,26284.0,Professional,Health Care,Education,Finance,Administration,4223.0,3608.0,2854.0,2829.0,1858.0,129742.0,Health Care,Finance,Education,Professional,Administration,29566.0,18154.0,16118.0,15180.0,8504.0,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,7947.0,7307.0,3863.0,2303.0,527.0,Outside of Chicago,Lake View,Near West Side,West Town,Near North Side,64980.0,3929.0,3863.0,3649.0,3213.0,,,,,,,,,,,,,,,,10068,,,,,,,,,,0.9009402487112304,3638.4863771820887,146.504251243081030,0.04026516415228266,351.163372767202990,0.09651358734484797,47.575098333391942,0.013075519158666631,392.941826823276240,0.10799595933284743,567.487317327767300,0.15596796538435062,300.506244118841890,0.08259100432624844,1571.425148091139100,0.4318897984463985,n/a,n/a,55.649277282395275,0.015294622959532465,205.233841194992490,0.056406378894825124
New City,51721,44377,-7344,40997.0,13788.0,9660.0,8114.0,6303.0,2365.0,767.0,29.653877617801047,5061.0,24961.0,9827.0,799.0,349.0,40641.0,30092.0,18738.0,14608.0,4130.0,11354.0,294.0,13946.0,7425.0,2296.0,3164.0,1014.0,47.0,23402.0,15647.0,1794.0,4648.0,3783.0,1579.0,917.0,526.0,256.0,30420.918367346938,11710.0,4502.0,7203.0,3858.0,15564.0,3565.0,319.0,6070.0,3985.0,1597.0,5.39976275207592,772.0,1729.0,3690.0,9372.0,-9999,1989.0,5832.0,5601.0,1496.0,645.0,2473.0,1686.0,291.0,55.0,133750.0,11961.0,Manufacturing,Health Care,Retail Trade,Administration,Accommodation and Food Service,1488.0,1426.0,1354.0,1309.0,1261.0,10396.0,Manufacturing,Retail Trade,Wholesale Trade,Transportation,Other Service,4223.0,1310.0,1077.0,1047.0,827.0,Outside of Chicago,The Loop,Near West Side,New City,Near North Side,4597.0,1618.0,684.0,661.0,640.0,Outside of Chicago,New City,Brighton Park,Chicago Lawn,Bridgeport,4378.0,661.0,397.0,252.0,245.0,,,,,,,,,,,,,,,,11730,,,,,,,,,,2.0319397761698306,3090.8393777387523,244.780283980776200,0.07919540748178788,330.237745614541150,0.10684403336938912,31.041348897207765,0.010043015861897524,162.766175128538410,0.05266083262069011,87.993301952447439,0.028469063318593748,702.639141548863340,0.22732955539828528,1141.026400669119300,0.3691639264360254,n/a,n/a,83.303435003634547,0.02695171920081433,307.051544943624260,0.09934244631251661
North Center,31895,31867,-28,34623.0,7493.0,11068.0,9170.0,4035.0,2023.0,834.0,33.68496725540782,26322.0,4987.0,674.0,1493.0,1147.0,34542.0,27681.0,22271.0,21317.0,943.0,5410.0,1719.0,19385.0,9861.0,1302.0,6561.0,1511.0,150.0,25565.0,23859.0,17419.0,1480.0,2139.0,2303.0,1910.0,2717.0,3994.0,92663.61256544503,14543.0,7373.0,7170.0,1676.0,16219.0,3930.0,470.0,4021.0,3494.0,4284.0,5.67822759812392,2769.0,1577.0,1753.0,10120.0,-9999,3081.0,6722.0,3959.0,1601.0,856.0,339.0,1286.0,2277.0,3305.0,470878.0487804878,16804.0,Professional,Health Care,Education,Finance,Accommodation and Food Service,2661.0,1896.0,1818.0,1751.0,1286.0,9585.0,Finance,Retail Trade,Accommodation and Food Service,Manufacturing,Information,1940.0,1052.0,1008.0,997.0,858.0,Outside of Chicago,The Loop,Near North Side,Near West Side,North Center,5009.0,4461.0,1797.0,1171.0,555.0,Outside of Chicago,North Center,Lake View,Lincoln Square,Logan Square,3929.0,555.0,419.0,306.0,297.0,,,,,,,,,,,,,,,,11868,,,,,,,,,,1.1169508264573136,1309.7834744550944,238.677932428527610,0.18222701468105187,303.332849254295240,0.231590072076982,46.827471151094741,0.03575207052492111,73.453856817129918,0.056080915853430446,76.234124864344949,0.05820360872705347,87.000257438499617,0.06642338915956632,437.140407622113460,0.333750132100251,n/a,n/a,38.672188464431564,0.029525634747010567,8.444386414657432,0.006447162129733334
North Lawndale,41768,35912,-5856,35276.0,12408.0,8324.0,5653.0,5820.0,2120.0,951.0,28.5875,811.0,2470.0,31397.0,99.0,499.0,34401.0,25141.0,12336.0,9450.0,2886.0,12805.0,448.0,8725.0,4347.0,805.0,2913.0,342.0,318.0,19565.0,14403.0,2134.0,5951.0,2436.0,1315.0,634.0,427.0,106.0,22383.485309017226,10869.0,2687.0,8182.0,3774.0,14643.0,1729.0,384.0,4055.0,4891.0,3565.0,5.594815668202765,1443.0,1079.0,1662.0,10459.0,-9999,1777.0,4892.0,6175.0,1463.0,336.0,1473.0,1021.0,146.0,47.0,135284.0909090909,10610.0,Health Care,Administration,Retail Trade,Education,Accommodation and Food Service,2120.0,1332.0,1223.0,983.0,913.0,5771.0,Manufacturing,Health Care,Retail Trade,Education,Wholesale Trade,1281.0,1048.0,764.0,684.0,566.0,Outside of Chicago,The Loop,Near West Side,Near North Side,North Lawndale,4062.0,1490.0,797.0,706.0,270.0,Outside of Chicago,North Lawndale,South Lawndale,Austin,West Town,2573.0,270.0,234.0,221.0,101.0,,,,,,,,,,,,,,,,8495,,,,,,,,,,4.859889408899745,2054.348526413519,112.578842895410200,0.05480026463277403,353.545088718574450,0.17209596335427726,20.742111191590691,0.010096685603684914,72.115962762485751,0.035104054562925494,126.769582350345900,0.06170792381157457,227.850030473544420,0.11091108813523719,671.907683896239860,0.3270660626749913,n/a,n/a,171.437458788347410,0.08345100969193522,297.401765336980190,0.14476694753260008
North Park,18514,17931,-583,18442.0,4406.0,4007.0,3655.0,2729.0,2539.0,1106.0,38.18008032128514,9358.0,3632.0,473.0,4541.0,438.0,17774.0,14931.0,9334.0,8485.0,849.0,5597.0,371.0,7893.0,5039.0,878.0,1397.0,496.0,83.0,12831.0,11349.0,5831.0,1721.0,1464.0,971.0,847.0,774.0,753.0,51818.181818181816,6530.0,3301.0,3229.0,538.0,7068.0,2260.0,129.0,1055.0,1256.0,2339.0,5.572229140722292,307.0,1659.0,2675.0,2427.0,-9999,1807.0,2338.0,2165.0,556.0,202.0,371.0,1272.0,1411.0,220.0,299451.55393053015,6666.0,Health Care,Education,Retail Trade,Accommodation and Food Service,Professional,1137.0,700.0,678.0,601.0,528.0,5184.0,Health Care,Retail Trade,Education,Accommodation and Food Service,Manufacturing,909.0,741.0,618.0,601.0,568.0,Outside of Chicago,The Loop,Near North Side,Near West Side,North Park,2916.0,1039.0,366.0,255.0,197.0,Outside of Chicago,West Ridge,North Park,Albany Park,Belmont Cragin,2463.0,265.0,197.0,140.0,134.0,,,,,,,,,,,,,,,,15313,,,,,,,,,,13.261457838740615,1613.6066617178965,250.837365629984450,0.1554513696435382,247.841187730962670,0.15359454916175366,5.214480750232990,0.003231568680239266,79.261752962134494,0.0491208637411982,390.977224280671920,0.24230020460155094,70.332189962333203,0.043586948189378034,316.217405165567810,0.19596932304983966,n/a,n/a,244.567805462054420,0.15156593689423656,8.357249773954381,0.005179236038265354
Norwood Park,37543,37023,-520,36247.0,7398.0,5975.0,7934.0,8084.0,3987.0,2869.0,44.25344827586207,29297.0,4295.0,335.0,1520.0,800.0,35694.0,29620.0,19425.0,18031.0,1394.0,10194.0,525.0,17224.0,13507.0,1582.0,1767.0,333.0,35.0,27019.0,24911.0,9524.0,2418.0,2565.0,2520.0,1979.0,2803.0,2026.0,71282.05128205128,14311.0,11567.0,2743.0,1386.0,15696.0,11193.0,202.0,923.0,571.0,2797.0,5.943055883046451,298.0,2635.0,9529.0,3235.0,-9999,1931.0,4929.0,6668.0,1726.0,442.0,1329.0,5024.0,4368.0,802.0,286599.4562754871,18172.0,Public Administration,Health Care,Education,Retail Trade,Professional,2280.0,2195.0,2011.0,1588.0,1412.0,13648.0,Health Care,Administration,Accommodation and Food Service,Retail Trade,Finance,7976.0,1410.0,840.0,637.0,539.0,Outside of Chicago,The Loop,Near North Side,Norwood Park,Near West Side,8548.0,4062.0,848.0,717.0,606.0,Outside of Chicago,Norwood Park,Portage Park,Dunning,Belmont Cragin,7249.0,717.0,420.0,333.0,318.0,,,,,,,,,,,,,,,,14904,,,,,,,,,,3.0877428364462376,2799.7958134309406,1320.782311783493000,0.4717423697283742,133.696898902307540,0.04775237474852567,13.144118306270729,0.0046946703196057695,98.051051540691347,0.03502078654105033,197.634770906013470,0.07058899436806673,15.398395640565010,0.005499828082711298,895.534618427695930,0.3198571174839658,n/a,n/a,111.921414592666780,0.03997484889996869,13.632233331236769,0.004869009827731504
O'Hare,11665,12756,1091,13695.0,3011.0,3191.0,3169.0,2372.0,1577.0,375.0,37.13712837837838,10316.0,1161.0,106.0,1501.0,612.0,13683.0,11064.0,7145.0,6522.0,624.0,3919.0,250.0,6092.0,4783.0,315.0,926.0,39.0,29.0,10250.0,8833.0,3297.0,2031.0,1249.0,1311.0,1006.0,458.0,267.0,46638.418079096045,6321.0,2778.0,3548.0,359.0,6685.0,861.0,38.0,435.0,390.0,4962.0,4.541978021978022,371.0,3420.0,2727.0,167.0,-9999,1840.0,3371.0,1392.0,14.0,67.0,1231.0,951.0,545.0,48.0,168483.41232227487,5231.0,Health Care,Retail Trade,Accommodation and Food Service,Manufacturing,Professional,632.0,486.0,452.0,446.0,418.0,48138.0,Transportation,Accommodation and Food Service,Information,Professional,Administration,27468.0,3589.0,2840.0,2745.0,2593.0,Outside of Chicago,The Loop,O'Hare,Near North Side,Near West Side,2774.0,766.0,426.0,184.0,134.0,Outside of Chicago,Lake View,Austin,Portage Park,West Town,32852.0,741.0,686.0,677.0,640.0,,,,,,,,,,,,,,,,31817,,,,,,,,,,106.20762012234829,8536.170970857527,97.336908731013622,0.011402877128787797,134.027558728977790,0.015701133352008487,n/a,n/a,139.821688091055730,0.01637990717013597,55.984625374830557,0.006558517345301771,32.673972867936385,0.0038277083459885316,6481.928012194052800,0.75934842850774,n/a,n/a,1454.513357575559900,0.17039412197122877,139.884847294100780,0.016387306178808674
Oakland,6110,5918,-192,6422.0,2248.0,1143.0,1468.0,977.0,511.0,75.0,32.516216216216215,142.0,209.0,5946.0,109.0,16.0,6422.0,4732.0,3155.0,2477.0,678.0,1577.0,108.0,2306.0,1160.0,178.0,880.0,75.0,13.0,3708.0,3156.0,1044.0,1279.0,709.0,348.0,130.0,149.0,178.0,28435.672514619884,2793.0,558.0,2235.0,345.0,3138.0,269.0,92.0,102.0,292.0,2383.0,4.4059304703476485,1515.0,786.0,569.0,268.0,-9999,1022.0,1188.0,700.0,151.0,77.0,122.0,281.0,110.0,45.0,196666.66666666666,2206.0,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,410.0,291.0,229.0,203.0,193.0,249.0,Health Care,Real Estate,Accommodation and Food Service,Education,Retail Trade,115.0,56.0,50.0,16.0,4.0,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,597.0,511.0,198.0,191.0,83.0,Outside of Chicago,South Shore,Oakland,South Chicago,Austin,89.0,11.0,11.0,9.0,8.0,,,,,,,,,,,,,,,,10286,,,,,,,,,,10.388483233239233,372.03683702784053,25.680359923009391,0.06902639031168749,56.809016250293823,0.15269728853770104,0.142606976504522,0.0003833141299764634,2.285026309413492,0.006141935641825966,63.400708542244246,0.1704151369760726,n/a,n/a,117.155008429099690,0.31490163545372973,n/a,n/a,66.714839323862350,0.17932320857482695,39.849271273413009,0.10711109037417975
Portage Park,65340,64124,-1216,64841.0,15210.0,14414.0,14529.0,13380.0,5286.0,2023.0,37.9223395180209,32639.0,27107.0,812.0,2868.0,1415.0,64760.0,52653.0,37416.0,33926.0,3490.0,15237.0,793.0,32533.0,21454.0,3998.0,5830.0,856.0,395.0,45298.0,37503.0,11163.0,4722.0,5153.0,4606.0,2890.0,3154.0,2065.0,57030.70827142149,22589.0,12933.0,9657.0,2193.0,24782.0,10422.0,207.0,5835.0,4208.0,4047.0,5.751557745254311,592.0,2380.0,6982.0,14827.0,-9999,3992.0,9370.0,7170.0,2969.0,1281.0,1704.0,7031.0,3845.0,258.0,253753.99361022364,26218.0,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Administration,3340.0,2865.0,2585.0,2424.0,2219.0,7775.0,Retail Trade,Health Care,Accommodation and Food Service,Finance,Other Service,1957.0,1922.0,694.0,563.0,514.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Portage Park,11895.0,3932.0,1570.0,1055.0,830.0,Outside of Chicago,Portage Park,Belmont Cragin,Dunning,Logan Square,3713.0,830.0,343.0,295.0,189.0,,,,,,,,,,,,,,,,15569,,,,,,,,,,1.080502206304467,2529.754309269443,936.151451836375600,0.37005627321442247,401.264544930491470,0.1586179904744864,42.144648466496250,0.016659581648728182,145.721532182501820,0.057603037436700366,90.090488206377074,0.03561234696834805,21.744740678463423,0.00859559388782818,811.887237097850970,0.32093521261055286,n/a,n/a,70.060843558987926,0.027694722488374967,10.688822311898685,0.004225241270558588
Pullman,8921,7325,-1596,6501.0,1531.0,1353.0,1274.0,1316.0,820.0,207.0,40.04090909090909,464.0,551.0,5380.0,34.0,72.0,6501.0,5238.0,3384.0,2728.0,656.0,1854.0,37.0,2628.0,1551.0,254.0,730.0,93.0,0.0,4656.0,4070.0,1005.0,1085.0,710.0,499.0,337.0,225.0,38.0,36728.39506172839,2894.0,1276.0,1618.0,556.0,3450.0,985.0,1511.0,311.0,327.0,306.0,5.552356020942408,8.0,328.0,1509.0,1605.0,-9999,458.0,1489.0,1151.0,278.0,74.0,921.0,315.0,16.0,24.0,123391.08910891089,2709.0,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,518.0,383.0,261.0,254.0,233.0,2539.0,Manufacturing,Transportation,Wholesale Trade,Education,Retail Trade,745.0,525.0,485.0,364.0,192.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,1078.0,567.0,150.0,138.0,60.0,Outside of Chicago,Roseland,East Side,West Pullman,Washington Heights,1320.0,80.0,79.0,49.0,48.0,,,,,,,,,,,,,,,,13259,,,,,,,,,,0.42446191390320814,1354.4893302414346,139.514087174996890,0.10300124486778263,78.205518068743885,0.05773800968576396,2.180721407390549,0.0016099952644158817,55.892250810930612,0.04126444525108806,164.389415616313300,0.12136634224133111,255.756464621322660,0.1888213210034919,445.248705833155780,0.32872071849675716,n/a,n/a,2.759426902284756,0.0020372452116643063,210.542739806296140,0.155440677977705
Riverdale,9809,6482,-3327,7090.0,3466.0,1463.0,1108.0,706.0,276.0,71.0,20.59747899159664,77.0,278.0,6676.0,26.0,33.0,7042.0,4151.0,2353.0,1393.0,960.0,1798.0,80.0,1280.0,654.0,77.0,437.0,104.0,8.0,3003.0,2238.0,151.0,1543.0,534.0,110.0,91.0,16.0,0.0,14845.505617977527,2294.0,241.0,2053.0,972.0,3266.0,540.0,1542.0,141.0,102.0,941.0,4.9968823070927515,30.0,279.0,2375.0,582.0,-9999,431.0,1263.0,1244.0,270.0,58.0,228.0,13.0,0.0,0.0,55571.42857142857,1533.0,Health Care,Retail Trade,Administration,Accommodation and Food Service,Transportation,337.0,169.0,163.0,161.0,130.0,1153.0,Manufacturing,Utilities,Transportation,Professional,Health Care,290.0,255.0,166.0,138.0,95.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Douglas,720.0,177.0,98.0,93.0,29.0,Outside of Chicago,West Pullman,Auburn Gresham,Roseland,Ashburn,834.0,18.0,16.0,15.0,13.0,,,,,,,,,,,,,,,,9844,,,,,,,,,,37.99731727160854,2258.712054038908,222.463742071374550,0.09849141313678156,49.856782594811925,0.022073102459280146,0.834437822144472,0.00036943080932001716,28.729125681396436,0.01271925105726715,58.487785987594791,0.02589430816690869,252.313617480759180,0.11170685392570757,1143.900386808742000,0.5064392270645037,6.084900240831962,0.002693968994388315,269.400979455704540,0.11927194481207826,226.640295895547580,0.10034049957376441
