GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Cook County,5376741,5194675,-182066,5236393.0,1332360.0,1216029.0,1054127.0,970994.0,477643.0,185240.0,35.9,2256002.0,1295026.0,1239171.0,352123.0,94071.0,5147238.0,4173224.0,2761294.0,2463655.0,296577.0,1411930.0,102231,2310522.0,1497683.0,208944.0,444730.0,130257.0,28908.0,3537179.0,3016875.0,1265223.0,463890.0,424589.0,328904.0,231125.0,258409.0,236042.0,55251.0,1942959.0,1107485.0,835474.0,233590.0,2176549.0,873073.0,114638.0,213338.0,245885.0,714143.0,5.1,184204.0,542204.0,777968.0,672173.0,1958.0,441334.0,692164.0,695827.0,261922.0,85302.0,313979.0,447609.0,219756.0,114241.0,218700.0,2104183.0,Health Care,Retail Trade,Education,Professional,Manufacturing,291662.0,205288.0,203262.0,180856.0,177385.0,2348313.0,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,322986.0,226687.0,219107.0,217326.0,185784.0,Cook County,DuPage County,Lake County,Will County,Kane County,1654603.0,181866.0,79007.0,46790.0,33502.0,Cook County,DuPage County,Will County,Lake County,Kane County,1654603.0,172470.0,106219.0,100797.0,61200.0,29.95518,18.27696,48.23213,38.09548,9.219,47.31448,51.08278,24.70505,75.78783,36.59955,16.80863,53.40819,2176451.0,24406.0,1.1340840921077395,15073,70705972394,86012268532,38707818491,7627094084,362982426,4686886,0,1.33E+11,72,18.827547142399396,612992.2555984589,180985.67936767015,0.29524953653937347,30674.09634929601,0.050039941074539615,2482.5432498810237,0.004049877020807283,32479.66819198315,0.052985446219501645,35382.8820124159,0.05772158080181928,36258.87403753774,0.05915062336658482,157150.9429348794,0.25636693041326325,15375.514815761157,0.025082722783749,98588.4360636302,0.16083145449754366,23613.61857540411,0.038521887282817864
DuPage County,904161,916924,12763,930412.0,245897.0,175819.0,190925.0,197408.0,88262.0,32101.0,38.8,638010.0,129549.0,42526.0,100181.0,20146.0,917990.0,736804.0,516237.0,479592.0,36311.0,220567.0,24244,446304.0,367120.0,35595.0,30269.0,9518.0,3802.0,627482.0,579645.0,293166.0,42209.0,61051.0,56810.0,47261.0,62654.0,68098.0,79658.0,338083.0,248508.0,89575.0,18933.0,357016.0,213557.0,43691.0,2441.0,11585.0,84942.0,6.2,33997.0,205817.0,96630.0,20572.0,1977.0,42816.0,88113.0,119867.0,86014.0,20206.0,35315.0,103530.0,73233.0,33711.0,278500.0,438737.0,Health Care,Retail Trade,Professional,Manufacturing,Education,51968.0,44063.0,42620.0,41236.0,38695.0,566812.0,Health Care,Retail Trade,Professional,Wholesale Trade,Manufacturing,62022.0,58733.0,56004.0,53729.0,53510.0,DuPage County,Cook County,Kane County,Will County,Lake County,193126.0,172470.0,22130.0,16465.0,10537.0,DuPage County,Cook County,Will County,Kane County,Lake County,193126.0,181866.0,58269.0,44695.0,15718.0,32.22849,20.84434,53.07283,41.40158,11.63052,53.0321,55.21277,29.23816,84.45094,39.44489,19.78022,59.22511,544363.0,24522.0,4.71721160893427,21800,20274952381,25583305234,5728648276,2546924540,39270054,2148686,0,33900296790,43,44.960940104700654,215303.80391683264,74340.23463562471,0.3452806373283623,5236.495719772616,0.024321426860601892,27.057202716446128,0.00012566987774585608,12971.73089283615,0.06024849843269309,15774.336812717587,0.07326548126762723,12030.192968792295,0.05587543159915236,43132.80377901977,0.20033461088165944,3734.352048861759,0.017344570699290855,41832.198204694745,0.1942938185191268,6224.401651796542,0.02890985453374014
Kane County,404119,515269,111150,524886.0,158271.0,97675.0,112464.0,97541.0,45139.0,13796.0,35.9,305352.0,163756.0,27673.0,19321.0,8784.0,519190.0,397542.0,276637.0,255530.0,21010.0,120905.0,11908,238687.0,200267.0,25416.0,6671.0,4331.0,2002.0,334407.0,276388.0,105686.0,25403.0,34275.0,31175.0,24082.0,31438.0,26106.0,70696.0,172479.0,126903.0,45576.0,10905.0,183384.0,126734.0,20076.0,7284.0,7466.0,20608.0,6.2,41931.0,71506.0,40440.0,29507.0,1979.0,15889.0,45837.0,64173.0,47569.0,9916.0,33483.0,59389.0,26442.0,7305.0,213200.0,219049.0,Manufacturing,Health Care,Retail Trade,Education,Administration,28487.0,23897.0,23706.0,19188.0,17989.0,192135.0,Manufacturing,Health Care,Education,Retail Trade,Administration,30502.0,21816.0,21259.0,19178.0,18984.0,Kane County,Cook County,DuPage County,Lake County,McHenry County,74850.0,61200.0,44695.0,7721.0,6219.0,Kane County,Cook County,DuPage County,McHenry County,Kendall County,74850.0,33502.0,22130.0,12333.0,9497.0,30.6083,22.21555,52.82385,39.02244,13.09484,52.11728,52.64311,31.65156,84.29467,37.58724,21.36567,58.95291,171562.0,414.0,0.2418959029611798,24121,6940737022,9066517421,1680989128,1023930426,20041173,240884213,0,12032362361,n/a,63.22821653772128,335401.348909858,60707.445181789786,0.18099940676775703,1304.8710720703182,0.003890476518092399,77.30605854716826,0.00023048821597895523,6524.313542818993,0.01945225791137906,9522.885897550366,0.02839250923856518,9880.196385778745,0.029457831394810917,33868.95619021663,0.10098038156465258,167974.075974094,0.5008151473452735,33187.60566561837,0.0989489331914936,12353.692941373542,0.036832567851996637
Kendall County,54544,114736,60192,120036.0,39018.0,23436.0,28795.0,19190.0,7840.0,1757.0,33.8,86912.0,19965.0,7664.0,3861.0,1634.0,119742.0,87815.0,65176.0,61270.0,3906.0,22639.0,2221,58021.0,51224.0,4426.0,1604.0,335.0,432.0,75012.0,70256.0,26132.0,3511.0,6124.0,7214.0,6886.0,8983.0,5798.0,84385.0,38516.0,31778.0,6738.0,2414.0,40930.0,30444.0,6540.0,424.0,628.0,2857.0,6.8,21282.0,13088.0,4510.0,2050.0,2000.0,1782.0,6980.0,16968.0,12744.0,2456.0,7616.0,19315.0,4252.0,573.0,200200.0,58534.0,Retail Trade,Health Care,Manufacturing,Education,Wholesale Trade,6875.0,6839.0,6159.0,6103.0,4094.0,24222.0,Education,Retail Trade,Manufacturing,Transportation,Accommodation and Food Service,4303.0,3899.0,3086.0,2309.0,2157.0,DuPage County,Cook County,Kane County,Kendall County,Will County,14259.0,13952.0,9497.0,7728.0,5764.0,Kendall County,Kane County,Will County,DuPage County,Cook County,7728.0,3215.0,3214.0,2118.0,2052.0,30.45137,24.13736,54.58874,38.98115,15.19916,54.18031,52.20119,35.07961,87.2808,37.28876,23.61634,60.9051,n/a,n/a,n/a,30402,1474168940,2142955920,297671045,77504415,3585712,116901452,0,2638618544,n/a,58.15710647636226,206339.8926130506,20251.082992156378,0.09814429355225679,185.58042549771557,0.0008993918875674455,30.984963046184124,0.00015016467564171054,1656.7640999582036,0.008029296123872348,1717.23857207423,0.00832237794799365,2270.394189526406,0.011003176170998977,10213.676442400007,0.049499281564296074,157425.08159351093,0.7629406005785335,6980.94643299662,0.03383226745246008,5608.1429018838835,0.02717915004637925
Lake County,644356,703462,59106,702898.0,204679.0,124273.0,146829.0,144740.0,60796.0,21581.0,37.6,448118.0,145475.0,47253.0,47137.0,14915.0,685133.0,543597.0,378547.0,338959.0,29217.0,165050.0,21060,322901.0,265787.0,27084.0,14760.0,11194.0,4076.0,451898.0,403931.0,195118.0,33790.0,43385.0,39891.0,30291.0,41436.0,53633.0,78026.0,242426.0,179785.0,62641.0,18803.0,261229.0,175280.0,30293.0,6682.0,7369.0,37028.0,6.3,40820.0,133391.0,64490.0,22528.0,1980.0,23566.0,62203.0,89863.0,68049.0,17548.0,45495.0,62572.0,37866.0,30810.0,245300.0,292702.0,Manufacturing,Retail Trade,Health Care,Education,Professional,39226.0,32709.0,31731.0,26773.0,24288.0,299491.0,Manufacturing,Retail Trade,Health Care,Education,Administration,51550.0,35207.0,32288.0,28363.0,23150.0,Lake County,Cook County,DuPage County,McHenry County,Kane County,142576.0,100797.0,15718.0,6858.0,4466.0,Lake County,Cook County,McHenry County,DuPage County,Kane County,142576.0,79007.0,19248.0,10537.0,7721.0,31.79921,22.27251,54.07172,40.3842,13.16869,53.55289,56.25734,31.76583,88.02317,39.04972,21.43937,60.48909,280011.0,3899.0,1.4121081300341891,23215,12427831006,18742201521,3586175203,944060087,34447002,129826150,0,23436709963,55,80.19497596870782,301189.1487985378,98707.41074469192,0.32772565392359554,3364.982288684484,0.011172322449555726,146.3487518657377,0.00048590313578537593,12151.292273131492,0.0403443893035448,11662.375998338497,0.03872110281814746,7926.644696359381,0.026317829603022747,49366.67258753688,0.16390588035612705,42416.23887717378,0.14082923985267992,56368.8882184528,0.18715444578037355,19078.29436230289,0.06334323277716808
McHenry County,260077,308760,48683,307357.0,86555.0,51165.0,68239.0,65748.0,27743.0,7907.0,39.3,253736.0,37205.0,3844.0,8005.0,4567.0,305776.0,238924.0,171104.0,157226.0,13756.0,67820.0,8493,145877.0,127297.0,11279.0,4476.0,1728.0,1097.0,202962.0,187517.0,65907.0,13411.0,19543.0,20143.0,17294.0,21802.0,17298.0,77222.0,109491.0,88257.0,21234.0,7281.0,116772.0,90458.0,11717.0,2240.0,3009.0,8618.0,6.6,26691.0,58017.0,21825.0,10239.0,1987.0,6794.0,25252.0,47110.0,31095.0,6521.0,22591.0,46117.0,16128.0,3184.0,208200.0,144141.0,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19500.0,16570.0,14528.0,14109.0,10713.0,84430.0,Manufacturing,Retail Trade,Education,Health Care,Administration,15098.0,10785.0,10158.0,8962.0,6173.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,41786.0,19248.0,12333.0,10209.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,7646.0,6858.0,6219.0,2107.0,30.57602,23.6657,54.24172,38.9871,14.66238,53.64948,52.68985,34.24164,86.9315,37.57113,23.05786,60.62898,78116.0,-2686.0,-3.3241751441795997,26485,4076387390,5711573628,817005856,282628575,14628932,239586973,10507731,7075931695,n/a,122.22154466751911,391047.6548342393,68159.66166433904,0.17430014173907055,583.433107885263,0.0014919744452439531,100.13778774048605,0.0002560756636756544,4784.913692754879,0.012236139594758982,5003.6344503216,0.012795459551963262,8788.441823600757,0.022474094179969137,28118.753839719382,0.07190620757369995,220299.83728012524,0.5633580320882065,37565.647304374674,0.09606411607377707,17643.193883377862,0.04511775908963478
Will County,502266,677560,175294,683995.0,204934.0,121725.0,155999.0,128319.0,55632.0,17386.0,36.6,448959.0,111709.0,74943.0,33994.0,14390.0,675572.0,521187.0,361907.0,333433.0,28218.0,159280.0,13211,313862.0,274272.0,20320.0,12867.0,2769.0,3634.0,437079.0,395596.0,144415.0,29305.0,39612.0,41066.0,34043.0,44912.0,34702.0,76101.0,223640.0,182276.0,41364.0,15592.0,239232.0,177835.0,28614.0,4987.0,5853.0,18319.0,6.4,66105.0,110802.0,43988.0,18337.0,1990.0,14386.0,47768.0,98536.0,66094.0,12448.0,45532.0,91736.0,36172.0,8557.0,209800.0,304479.0,Health Care,Retail Trade,Education,Manufacturing,Professional,38319.0,34289.0,29829.0,28701.0,21715.0,206593.0,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,25130.0,22644.0,22206.0,21855.0,16877.0,Cook County,Will County,DuPage County,Kane County,Lake County,106219.0,94189.0,58269.0,9442.0,4904.0,Will County,Cook County,DuPage County,Kane County,Kendall County,94189.0,46790.0,16465.0,6152.0,5764.0,31.12459,22.99297,54.11756,39.77915,13.95851,53.73766,54.34335,33.10088,87.44423,38.31954,22.29183,60.61137,182500.0,49068.0,36.77378739732598,26430,9292879860,13290685113,2145743747,2681372100,73130255,270201797,2650,18461135662,20,93.02824249621159,543442.167871002,85192.69634190162,0.15676497220606553,1204.3102065278197,0.002216077952224144,109.7971297049182,0.00020204013636825654,10018.97225433196,0.0184361333121838,13344.787092733766,0.02455603904462093,19823.65601956879,0.03647794961739953,66699.56946412427,0.12273535880630612,255697.94519978986,0.4705154666254854,63630.852726196244,0.11708854499730399,27719.58143612276,0.05100741730204237
CMAP Region,8146264.0,8431386.0,285122.0,8505977.0,2271714.0,1810122.0,1757378.0,1623940.0,763055.0,279768.0,36.5,4437089.0,1902685.0,1443074.0,564622.0,158507.0,8370641.0,6699093.0,4530902.0,4089665.0,428995.0,2168191.0,183368.0,3836174.0,2783650.0,333064.0,515377.0,160132.0,43951.0,5666019.0,4930208.0,2095647.0,611519.0,628579.0,525203.0,390982.0,469634.0,441677.0,63441.0,3067594.0,1964992.0,1102602.0,307518.0,3375112.0,1687381.0,255569.0,237396.0,281795.0,886515.0,6.0,415030.0,1134825.0,1049851.0,775406.0,1967.0,546567.0,968317.0,1132344.0,573487.0,154397.0,504011.0,830268.0,413849.0,198381.0,224246.0,3561825.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3721996.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3433003.0,99623.0,2.988648158925775,16723.0,125192928993.0,160549507369.0,52964051746.0,15183514227.0,548085554.0,1004236157.0,10510381.0,230545055015.0,n/a,39.754936395426846,2605716.2725419793,588344.2109281736,1.578464642056531,42553.76916973422,0.09403161118783032,2974.1751435019637,0.005500218726012918,80587.65494781484,0.21173216089795233,92408.14083615194,0.24377455067076426,96978.40012116413,0.2407569359318984,388551.37523789634,0.9657286511600205,862923.0457893166,2.4808857799731925,338154.5746159637,0.8882135805120868,112240.9257522616,0.29091186888376797
